Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,28846669,28846669,100.0,0,0.0
2,EnablePriceRamp__c,28846669,28846669,100.0,0,0.0
3,HasCriteria__c,28846669,28846669,100.0,0,0.0
4,IsQuantityReadOnly__c,28846669,28846669,100.0,0,0.0
5,IsSellingTermReadOnly__c,28846669,28846669,100.0,0,0.0
6,IsUsageTierModifiable__c,28846669,28846669,100.0,0,0.0
7,ListPrice__c,28846461,28846669,100.0,208,0.0
8,New_APTS_Ext_ID__c,28846669,28846669,100.0,0,0.0
9,PriceIncludedInBundle__c,28846669,28846669,100.0,0,0.0
10,PriceMethod__c,28846669,28846669,100.0,0,0.0
11,PriceType__c,28846669,28846669,100.0,0,0.0
12,PriceUom__c,28846669,28846669,100.0,0,0.0
13,ProductActive__c,28846669,28846669,100.0,0,0.0
14,ProductCode__c,28846648,28846669,100.0,21,0.0
15,ProductFamily__c,28845483,28846669,100.0,1186,0.0
16,ProductId__c,28846648,28846669,100.0,21,0.0
17,ProductName__c,28846648,28846669,100.0,21,0.0
18,ChargeType__c,28846668,28846669,100.0,1,0.0
19,CCX_IsExcludedPLI_from_Auditlog__c,28846669,28846669,100.0,0,0.0
20,ExpirationDate__c,28846668,28846669,100.0,1,0.0
21,EnableCommitment__c,28846669,28846669,100.0,0,0.0
22,APTS_Is_Discount_Changed__c,28846669,28846669,100.0,0,0.0
23,EnableAutoRampCreation__c,28846669,28846669,100.0,0,0.0
24,IsDeleted,28846669,28846669,100.0,0,0.0
25,AutoRenew__c,28846669,28846669,100.0,0,0.0
26,AutoCascadeSellingTerm__c,28846669,28846669,100.0,0,0.0
27,AutoCascadeQuantity__c,28846669,28846669,100.0,0,0.0
28,AllowProration__c,28846669,28846669,100.0,0,0.0
29,AllowPriceRampOverlap__c,28846669,28846669,100.0,0,0.0
30,AllowManualAdjustment__c,28846669,28846669,100.0,0,0.0
31,AllocateGroupAdjustment__c,28846669,28846669,100.0,0,0.0
32,Active__c,28846669,28846669,100.0,0,0.0
33,APTS_uniqueProductKey__c,28846668,28846669,100.0,1,0.0
34,APTS_Unique_Agreement_Number__c,28846669,28846669,100.0,0,0.0
35,APTS_UniquePLIKey__c,28846660,28846669,100.0,9,0.0
36,Diff_in_List_Price__c,28846669,28846669,100.0,0,0.0
37,DisableAssetIntegration__c,28846669,28846669,100.0,0,0.0
38,DisableCostModel__c,28846669,28846669,100.0,0,0.0
39,DisableSyncWithOpportunity__c,28846669,28846669,100.0,0,0.0
40,EffectiveDate__c,28846668,28846669,100.0,1,0.0
41,CCX_IsExcludeFromContractPriceList__c,28846669,28846669,100.0,0,0.0
42,Purge_Price_List_Item__c,28846669,28846669,100.0,0,0.0
43,APTS_Not_Discountable__c,28846669,28846669,100.0,0,0.0
44,PriceListId__c,28846669,28846669,100.0,0,0.0
45,RollupPriceToBundle__c,28846669,28846669,100.0,0,0.0
46,APTS_Country_Pricelist_List_Price__c,28845970,28846669,100.0,699,0.0
47,APTS_Contract_List_Price__c,28846460,28846669,100.0,209,0.0
48,APTS_Original_Product_Code__c,28846648,28846669,100.0,21,0.0
49,ADLS_LOADED_DATE,28846669,28846669,100.0,0,0.0
50,LAST_UPDATED_DATE,28846669,28846669,100.0,0,0.0
51,SystemModstamp,28846669,28846669,100.0,0,0.0
52,APTS_Expiration_Date__c,28846669,28846669,100.0,0,0.0
53,LastModifiedById,28846669,28846669,100.0,0,0.0
54,LastModifiedDate,28846669,28846669,100.0,0,0.0
55,CreatedById,28846669,28846669,100.0,0,0.0
56,CreatedDate,28846669,28846669,100.0,0,0.0
57,CurrencyIsoCode,28846669,28846669,100.0,0,0.0
58,Name,28846669,28846669,100.0,0,0.0
59,APTS_Effective_Date__c,28846669,28846669,100.0,0,0.0
60,APTS_Country_Target_Price__c,28846608,28846669,100.0,61,0.0
61,CCX_Is_Previous_PLI__c,28846669,28846669,100.0,0,0.0
62,APTS_IsFuturePLI__c,28846669,28846669,100.0,0,0.0
63,TaxInclusive__c,28846669,28846669,100.0,0,0.0
64,APTS_Is_Local__c,28846669,28846669,100.0,0,0.0
65,APTS_Is_Initial_Version__c,28846669,28846669,100.0,0,0.0
66,APTS_IsPrevious__c,28846669,28846669,100.0,0,0.0
67,APTS_IsPreviousPLI__c,28846669,28846669,100.0,0,0.0
68,ContractNumber__c,28846669,28846669,100.0,0,0.0
69,Taxable__c,28846669,28846669,100.0,0,0.0
70,APTS_Country_pricelist_update_rule__c,28793699,28846669,99.8,52970,0.2
71,APTS_Related_Agreement__c,28791875,28846669,99.8,54794,0.2
72,ProductDescription__c,27781487,28846669,96.3,1065182,3.7
73,NumberOfMatrices__c,27332143,28846669,94.7,1514526,5.3
74,MinPrice__c,27299642,28846669,94.6,1547027,5.4
75,Frequency__c,27296643,28846669,94.6,1550026,5.4
76,APTS_Agreement_Group__c,27214832,28846669,94.3,1631837,5.7
77,APTS_Country_Pre_Escalation_Price__c,27205788,28846669,94.3,1640881,5.7
78,CCX_Original_Contracted_List_Price__c,27036970,28846669,93.7,1809699,6.3
79,APTS_Tier_1_Discount__c,26380973,28846669,91.5,2465696,8.5
80,APTS_Tier_1_List_Price__c,26087061,28846669,90.4,2759608,9.6
81,IsLocked,25409390,28846669,88.1,3437279,11.9
