Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,4692954,4692954,100.0,0,0.0
2,APTS_Status__c,4692954,4692954,100.0,0,0.0
3,APTS_Norm_Type__c,4692954,4692954,100.0,0,0.0
4,APTS_Expiry_Date__c,4692378,4692954,100.0,576,0.0
5,APTS_Effective_Date__c,4692954,4692954,100.0,0,0.0
6,APTS_Mapping_Label__c,4692954,4692954,100.0,0,0.0
7,ADLS_LOADED_DATE,4692954,4692954,100.0,0,0.0
8,APTS_Product_Code__c,4692954,4692954,100.0,0,0.0
9,OwnerId,4692954,4692954,100.0,0,0.0
10,APTS_Ext_ID__c,4692954,4692954,100.0,0,0.0
11,APTS_Description__c,4692954,4692954,100.0,0,0.0
12,APTS_ConditionType__c,4692954,4692954,100.0,0,0.0
13,LAST_UPDATED_DATE,4692954,4692954,100.0,0,0.0
14,SystemModstamp,4692954,4692954,100.0,0,0.0
15,LastModifiedById,4692954,4692954,100.0,0,0.0
16,LastModifiedDate,4692954,4692954,100.0,0,0.0
17,CreatedById,4692954,4692954,100.0,0,0.0
18,CreatedDate,4692954,4692954,100.0,0,0.0
19,CurrencyIsoCode,4692954,4692954,100.0,0,0.0
20,Name,4692954,4692954,100.0,0,0.0
21,IsDeleted,4692954,4692954,100.0,0,0.0
22,APTS_Quotes_Updated__c,4692954,4692954,100.0,0,0.0
23,APTS_System_Norm__c,4187182,4692954,89.2,505772,10.8
24,MayEdit,3366361,4692954,71.7,1326593,28.3
25,IsLocked,3366361,4692954,71.7,1326593,28.3
26,APTS_Product__c,2661307,4692954,56.7,2031647,43.3
27,APTS_Hours__c,505772,4692954,10.8,4187182,89.2
28,Price_List_Country__c,0,4692954,0.0,4692954,100.0
29,ConnectionSentId,0,4692954,0.0,4692954,100.0
30,ConnectionReceivedId,0,4692954,0.0,4692954,100.0
31,APTS_GL_Account__c,0,4692954,0.0,4692954,100.0
