Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,5484195,5484195,100.0,0,0.0
2,Apttus_Approval__RequestType__c,5484134,5484195,100.0,61,0.0
3,Apttus_Approval__Group_Unique_Id__c,5484131,5484195,100.0,64,0.0
4,Apttus_Approval__StepSequenceString__c,5484195,5484195,100.0,0,0.0
5,Apttus_Approval__AutoEscalate__c,5484195,5484195,100.0,0,0.0
6,Apttus_Approval__AutoReapprove__c,5484195,5484195,100.0,0,0.0
7,Apttus_Approval__Auto_Complete__c,5484195,5484195,100.0,0,0.0
8,Apttus_Approval__StepNameLink__c,5484131,5484195,100.0,64,0.0
9,Apttus_Approval__CanEscalate__c,5484195,5484195,100.0,0,0.0
10,Apttus_Approval__ChildObjectLink__c,5484195,5484195,100.0,0,0.0
11,Apttus_Approval__ContinuePolicyApprovalOnAReject__c,5484195,5484195,100.0,0,0.0
12,Apttus_Approval__StepLabel__c,5484131,5484195,100.0,64,0.0
13,Apttus_Approval__Status_Link__c,5484195,5484195,100.0,0,0.0
14,Apttus_Approval__Send_Email__c,5484195,5484195,100.0,0,0.0
15,Apttus_Approval__Object_Type__c,5484131,5484195,100.0,64,0.0
16,Apttus_Approval__Approval_Status__c,5484131,5484195,100.0,64,0.0
17,Apttus_Approval__Object_Name__c,5484131,5484195,100.0,64,0.0
18,Apttus_Approval__Object_Id__c,5484131,5484195,100.0,64,0.0
19,Apttus_Approval__Object_Id_Link__c,5484195,5484195,100.0,0,0.0
20,Apttus_Approval__ObjectRefId__c,5484131,5484195,100.0,64,0.0
21,Apttus_Approval__Notify_Only__c,5484195,5484195,100.0,0,0.0
22,Apttus_Approval__IsSubprocess__c,5484195,5484195,100.0,0,0.0
23,Apttus_Approval__IsAutoReapprovalEnabled__c,5484195,5484195,100.0,0,0.0
24,Apttus_Approval__IsAdhoc__c,5484195,5484195,100.0,0,0.0
25,Apttus_Approval__EscalatedToHighestLevel__c,5484195,5484195,100.0,0,0.0
26,Apttus_Approval__InEscalation__c,5484195,5484195,100.0,0,0.0
27,Apttus_Approval__HasDelegateApprover__c,5484195,5484195,100.0,0,0.0
28,Apttus_Approval__HasAttachments__c,5484195,5484195,100.0,0,0.0
29,Apttus_Approval__Assigned_To_Link__c,5484195,5484195,100.0,0,0.0
30,OwnerId,5484195,5484195,100.0,0,0.0
31,ADLS_LOADED_DATE,5484195,5484195,100.0,0,0.0
32,Apttus_Approval__Active__c,5484195,5484195,100.0,0,0.0
33,CreatedById,5484195,5484195,100.0,0,0.0
34,LastModifiedDate,5484195,5484195,100.0,0,0.0
35,LastModifiedById,5484195,5484195,100.0,0,0.0
36,SystemModstamp,5484195,5484195,100.0,0,0.0
