Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,3433,3433,100.0,0,0.0
2,Apttus_Config2__CountryScope__c,3433,3433,100.0,0,0.0
3,Apttus_Config2__EnableBenefitEffectivityDates__c,3433,3433,100.0,0,0.0
4,Apttus_Config2__ExpirationDate__c,3433,3433,100.0,0,0.0
5,Apttus_Config2__IncentiveCode__c,3433,3433,100.0,0,0.0
6,Apttus_Config2__IncentiveNumberAuto__c,3433,3433,100.0,0,0.0
7,Apttus_Config2__IncentiveNumberText__c,3433,3433,100.0,0,0.0
8,Apttus_Config2__IncentiveNumber__c,3433,3433,100.0,0,0.0
9,Apttus_Config2__IsBundle__c,3433,3433,100.0,0,0.0
10,OwnerId,3433,3433,100.0,0,0.0
11,Apttus_Config2__OriginalEffectiveDate__c,3433,3433,100.0,0,0.0
12,Apttus_Config2__PriceListScope__c,3433,3433,100.0,0,0.0
13,Apttus_Config2__ProductFamilyScope__c,3433,3433,100.0,0,0.0
14,Apttus_Config2__ProductScope__c,3433,3433,100.0,0,0.0
15,Apttus_Config2__RegionScope__c,3433,3433,100.0,0,0.0
16,Apttus_Config2__SearchField__c,3433,3433,100.0,0,0.0
17,Apttus_Config2__Sequence__c,3433,3433,100.0,0,0.0
18,Apttus_Config2__Status__c,3433,3433,100.0,0,0.0
19,Apttus_Config2__StopProcessingMoreIncentives__c,3433,3433,100.0,0,0.0
20,Apttus_Config2__UseType__c,3433,3433,100.0,0,0.0
21,Apttus_Config2__ExcludeChildrenWithActivePrograms__c,3433,3433,100.0,0,0.0
22,Apttus_Config2__IncludeOrdersForAccountHierarchy__c,3433,3433,100.0,0,0.0
23,Apttus_CMConfig__PayoutFrequency__c,3433,3433,100.0,0,0.0
24,ADLS_LOADED_DATE,3433,3433,100.0,0,0.0
25,LAST_UPDATED_DATE,3433,3433,100.0,0,0.0
26,Apttus_Config2__EffectiveDate__c,3433,3433,100.0,0,0.0
27,Apttus_Config2__IsTaskPending__c,3433,3433,100.0,0,0.0
28,CreatedById,3433,3433,100.0,0,0.0
29,Apttus_Config2__ApplicationMethod__c,3433,3433,100.0,0,0.0
30,Name,3433,3433,100.0,0,0.0
31,IsDeleted,3433,3433,100.0,0,0.0
32,Apttus_Config2__AccountScope__c,3433,3433,100.0,0,0.0
33,Apttus_Config2__AccountTypeScope__c,3433,3433,100.0,0,0.0
34,Apttus_Config2__Active__c,3433,3433,100.0,0,0.0
35,CurrencyIsoCode,3433,3433,100.0,0,0.0
36,CreatedDate,3433,3433,100.0,0,0.0
37,Apttus_Config2__AutoApply__c,3433,3433,100.0,0,0.0
38,Apttus_Config2__ContextType__c,3433,3433,100.0,0,0.0
39,SystemModstamp,3433,3433,100.0,0,0.0
40,LastModifiedById,3433,3433,100.0,0,0.0
41,LastModifiedDate,3433,3433,100.0,0,0.0
42,Apttus_Config2__ProductGroupScope__c,3429,3433,99.9,4,0.1
43,Apttus_Config2__AccountTypeScopeOper__c,3427,3433,99.8,6,0.2
44,Apttus_Config2__ProductScopeOper__c,3427,3433,99.8,6,0.2
45,Apttus_Config2__SubUseType__c,3426,3433,99.8,7,0.2
46,Apttus_Config2__ProductFamilyScopeOper__c,3421,3433,99.7,12,0.3
47,Apttus_Config2__RegionScopeOper__c,3421,3433,99.7,12,0.3
48,Apttus_Config2__AccountScopeOper__c,3421,3433,99.7,12,0.3
49,Apttus_Config2__PriceListScopeOper__c,3421,3433,99.7,12,0.3
50,Apttus_Config2__CountryScopeOper__c,3421,3433,99.7,12,0.3
51,Apttus_Config2__Description__c,3391,3433,98.8,42,1.2
52,APTS_Sales_Description__c,3388,3433,98.7,45,1.3
53,Apttus_Config2__CombineWithOtherIncentives__c,3172,3433,92.4,261,7.6
54,Apttus_Config2__BenefitUom__c,3005,3433,87.5,428,12.5
55,Apttus_Config2__ProductGroupScopeOper__c,2834,3433,82.6,599,17.4
56,Apttus_Config2__VersionNumber__c,2809,3433,81.8,624,18.2
57,APTS_Ext_ID__c,2516,3433,73.3,917,26.7
58,APTS_Expiration_Date_Change_Reason__c,1839,3433,53.6,1594,46.4
59,MayEdit,1206,3433,35.1,2227,64.9
60,IsLocked,1206,3433,35.1,2227,64.9
61,Apttus_CMConfig__AgreementId__c,0,3433,0.0,3433,100.0
62,APTS_Deferred_Months__c,0,3433,0.0,3433,100.0
63,Apttus_QPConfig__ProposalId__c,0,3433,0.0,3433,100.0
64,APTS_Free_Months__c,0,3433,0.0,3433,100.0
65,Apttus_Config2__MaxPoints__c,0,3433,0.0,3433,100.0
66,Apttus_Config2__CustomDisplaySetting__c,0,3433,0.0,3433,100.0
67,Apttus_Config2__Upgrade__c,0,3433,0.0,3433,100.0
68,LastActivityDate,0,3433,0.0,3433,100.0
69,LastViewedDate,1,3433,0.0,3432,100.0
70,Apttus_Config2__CycleEndDate__c,0,3433,0.0,3433,100.0
71,LastReferencedDate,1,3433,0.0,3432,100.0
72,Apttus_Config2__RecurrenceFrequency__c,0,3433,0.0,3433,100.0
73,ConnectionReceivedId,0,3433,0.0,3433,100.0
74,ConnectionSentId,0,3433,0.0,3433,100.0
75,Apttus_Config2__PointAccrualLevel__c,0,3433,0.0,3433,100.0
76,Apttus_Config2__LoyaltyId__c,0,3433,0.0,3433,100.0
77,Apttus_Config2__AmendmentEffectiveDate__c,0,3433,0.0,3433,100.0
78,Apttus_Config2__AncestorId__c,0,3433,0.0,3433,100.0
79,Apttus_Config2__IncentiveGroupId__c,0,3433,0.0,3433,100.0
80,Apttus_Config2__Downgrade__c,0,3433,0.0,3433,100.0
81,Apttus_Config2__CycleStartDate__c,0,3433,0.0,3433,100.0
82,Apttus_Config2__RenewalEffectiveDate__c,0,3433,0.0,3433,100.0
