Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,65,65,100.0,0,0.0
2,LastModifiedById,65,65,100.0,0,0.0
3,Apttus_Config2__IsDefault__c,65,65,100.0,0,0.0
4,Apttus_Config2__LegalEntityName__c,65,65,100.0,0,0.0
5,Apttus_Config2__VATEnabled__c,65,65,100.0,0,0.0
6,ADLS_LOADED_DATE,65,65,100.0,0,0.0
7,LAST_UPDATED_DATE,65,65,100.0,0,0.0
8,OwnerId,65,65,100.0,0,0.0
9,SystemModstamp,65,65,100.0,0,0.0
10,LastModifiedDate,65,65,100.0,0,0.0
11,CreatedById,65,65,100.0,0,0.0
12,CreatedDate,65,65,100.0,0,0.0
13,CurrencyIsoCode,65,65,100.0,0,0.0
14,Name,65,65,100.0,0,0.0
15,IsDeleted,65,65,100.0,0,0.0
16,Apttus_Config2__CompanyCode__c,58,65,89.2,7,10.8
17,APTS_Language__c,57,65,87.7,8,12.3
18,Apttus_Config2__AddressLine1__c,57,65,87.7,8,12.3
19,Apttus_Config2__CountryCode__c,57,65,87.7,8,12.3
20,Apttus_Config2__City__c,55,65,84.6,10,15.4
21,Apttus_Config2__PostalCode__c,54,65,83.1,11,16.9
22,SalesOrganization__c,44,65,67.7,21,32.3
23,APTS_Legal_Entity_CFD__c,43,65,66.2,22,33.8
24,IsLocked,33,65,50.8,32,49.2
25,MayEdit,33,65,50.8,32,49.2
26,Apttus_Config2__AddressLine2__c,18,65,27.7,47,72.3
27,Apttus_Config2__State__c,15,65,23.1,50,76.9
28,Apttus_Config2__AddressLine3__c,6,65,9.2,59,90.8
29,Apttus_Config2__Telephone__c,5,65,7.7,60,92.3
30,Apttus_Config2__AddressLine4__c,1,65,1.5,64,98.5
31,Apttus_Config2__VATId__c,1,65,1.5,64,98.5
32,Apttus_Config2__Website__c,0,65,0.0,65,100.0
33,LastReferencedDate,0,65,0.0,65,100.0
34,LastViewedDate,0,65,0.0,65,100.0
35,LastActivityDate,0,65,0.0,65,100.0
36,ConnectionReceivedId,0,65,0.0,65,100.0
37,Apttus_Config2__TaxId__c,0,65,0.0,65,100.0
38,ConnectionSentId,0,65,0.0,65,100.0
