Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,26295191,26295191,100.0,0,0.0
2,Apttus_Config2__PriceIncludedInBundle__c,26295191,26295191,100.0,0,0.0
3,Apttus_Config2__ItemSequence__c,26295191,26295191,100.0,0,0.0
4,Apttus_Config2__LineNumber__c,26295191,26295191,100.0,0,0.0
5,Apttus_Config2__LineSequence__c,26294775,26295191,100.0,416,0.0
6,Apttus_Config2__LineStatus__c,26295191,26295191,100.0,0,0.0
7,Apttus_Config2__LineType__c,26295191,26295191,100.0,0,0.0
8,Apttus_Config2__OptionSequence__c,26294940,26295191,100.0,251,0.0
9,Apttus_Config2__PricingStatus__c,26294405,26295191,100.0,786,0.0
10,Apttus_Config2__IsSellingTermReadOnly__c,26295191,26295191,100.0,0,0.0
11,Apttus_Config2__PrimaryLineNumber__c,26295063,26295191,100.0,128,0.0
12,Apttus_Config2__ProductId__c,26295189,26295191,100.0,2,0.0
13,Apttus_Config2__ProductVersion__c,26289096,26295191,100.0,6095,0.0
14,Apttus_Config2__Quantity__c,26294960,26295191,100.0,231,0.0
15,LAST_UPDATED_DATE,26295191,26295191,100.0,0,0.0
16,ADLS_LOADED_DATE,26295191,26295191,100.0,0,0.0
17,Apttus_Config2__IsUsageTierModifiable__c,26295191,26295191,100.0,0,0.0
18,Apttus_Config2__IsReadOnly__c,26295191,26295191,100.0,0,0.0
19,Apttus_Config2__SellingFrequency__c,26294977,26295191,100.0,214,0.0
20,Apttus_Config2__HideInvoiceDisplay__c,26295191,26295191,100.0,0,0.0
21,Apttus_Config2__HasBaseProduct__c,26295191,26295191,100.0,0,0.0
22,Apttus_Config2__HasDefaults__c,26295191,26295191,100.0,0,0.0
23,Apttus_Config2__HasIncentives__c,26295191,26295191,100.0,0,0.0
24,Apttus_Config2__HasOptions__c,26295191,26295191,100.0,0,0.0
25,Apttus_Config2__HasTieredPrice__c,26295191,26295191,100.0,0,0.0
26,Apttus_Config2__HideCopyAction__c,26295191,26295191,100.0,0,0.0
27,Apttus_Config2__IsAssetPricing__c,26295191,26295191,100.0,0,0.0
28,Apttus_Config2__IsQuantityModifiable__c,26295191,26295191,100.0,0,0.0
29,Apttus_Config2__IsCustomPricing__c,26295191,26295191,100.0,0,0.0
30,Apttus_Config2__IsHidden__c,26295191,26295191,100.0,0,0.0
31,Apttus_Config2__IsOptionRollupLine__c,26295191,26295191,100.0,0,0.0
32,Apttus_Config2__IsOptional__c,26295191,26295191,100.0,0,0.0
33,Apttus_Config2__IsPrimaryLine__c,26295191,26295191,100.0,0,0.0
34,Apttus_Config2__IsPrimaryRampLine__c,26295191,26295191,100.0,0,0.0
35,Apttus_Config2__RollupPriceToBundle__c,26295191,26295191,100.0,0,0.0
36,Apttus_Config2__StatusDetails__c,26290445,26295191,100.0,4746,0.0
