Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,10079,10079,100.0,0,0.0
2,Apttus_Config2__RelationType__c,10079,10079,100.0,0,0.0
3,APTS_COLS__c,10079,10079,100.0,0,0.0
4,APTS_SAP_Qty__c,10079,10079,100.0,0,0.0
5,APTS_Is_Optional__c,10079,10079,100.0,0,0.0
6,APTS_FNBL_Status__c,10079,10079,100.0,0,0.0
7,APTS_Split_Order_Key__c,10079,10079,100.0,0,0.0
8,APTS_Total_Equipment_List_Price__c,10079,10079,100.0,0,0.0
9,APTS_Selling_Term__c,10079,10079,100.0,0,0.0
10,APTS_Recurring_Service_Net_Price__c,10079,10079,100.0,0,0.0
11,IsDeleted,10079,10079,100.0,0,0.0
12,APTS_Promotion_Discount_Amount__c,10079,10079,100.0,0,0.0
13,APTS_Orchestration_Split_Key__c,10079,10079,100.0,0,0.0
14,APTS_List_Price__c,10079,10079,100.0,0,0.0
15,APTS_Billing_Frequency__c,10079,10079,100.0,0,0.0
16,Apttus_Config2__UseType__c,10079,10079,100.0,0,0.0
17,APTS_Quantity__c,10079,10079,100.0,0,0.0
18,CreatedDate,10079,10079,100.0,0,0.0
19,LAST_UPDATED_DATE,10079,10079,100.0,0,0.0
20,Apttus_Config2__LineItemId__c,10079,10079,100.0,0,0.0
21,ADLS_LOADED_DATE,10079,10079,100.0,0,0.0
22,LastModifiedDate,10079,10079,100.0,0,0.0
23,CreatedById,10079,10079,100.0,0,0.0
24,SystemModstamp,10079,10079,100.0,0,0.0
25,LastModifiedById,10079,10079,100.0,0,0.0
26,CurrencyIsoCode,10079,10079,100.0,0,0.0
27,Name,10079,10079,100.0,0,0.0
28,APTS_Is_Proration_at_Start__c,10061,10079,99.8,18,0.2
29,MayEdit,10022,10079,99.4,57,0.6
30,IsLocked,10022,10079,99.4,57,0.6
31,APTS_Discount__c,9912,10079,98.3,167,1.7
32,Apttus_Config2__RelatedAssetLineItemId__c,9807,10079,97.3,272,2.7
33,APTS_Billing_in_Advance_Arrears__c,8368,10079,83.0,1711,17.0
34,Requested_Delivery_Dt__c,8233,10079,81.7,1846,18.3
35,APTS_Shipment_Indicator__c,8091,10079,80.3,1988,19.7
36,APTS_Process_Type__c,8091,10079,80.3,1988,19.7
37,APTS_Billing_Method__c,8091,10079,80.3,1988,19.7
38,APTS_Start_Month__c,7725,10079,76.6,2354,23.4
39,Apttus_Config2__RelatedLineItemId__c,6182,10079,61.3,3897,38.7
40,Apttus_Config2__WeightagePercent__c,3445,10079,34.2,6634,65.8
41,Apttus_Config2__WeightageType__c,3445,10079,34.2,6634,65.8
42,Apttus_Config2__WeightedNetPrice__c,3445,10079,34.2,6634,65.8
43,Order_Detail__c,2726,10079,27.0,7353,73.0
44,APTS_MOO_Promotion_Discount_Amount__c,1300,10079,12.9,8779,87.1
45,APTS_MOO_Contract_SAP_Price__c,1300,10079,12.9,8779,87.1
46,APTS_Recurring_Service_Price__c,1299,10079,12.9,8780,87.1
47,APTS_MOO_SAP_Equipment_List_Price__c,1300,10079,12.9,8779,87.1
48,APTS_MOO_SAP_Service_Discount_Amount__c,1300,10079,12.9,8779,87.1
49,APTS_MOO_Promotion_Monthly_Discount__c,1300,10079,12.9,8779,87.1
50,APTS_Business_Type__c,1272,10079,12.6,8807,87.4
51,APTS_Expiring_Contract_No__c,1272,10079,12.6,8807,87.4
52,APTS_Service_Product_Hierarchy__c,1249,10079,12.4,8830,87.6
53,APTS_Discount_Amount__c,1253,10079,12.4,8826,87.6
54,APTS_Parent_Type__c,758,10079,7.5,9321,92.5
55,APTS_Original_Order_Related_Line_Item__c,551,10079,5.5,9528,94.5
56,APTS_Agreement__c,306,10079,3.0,9773,97.0
57,APTS_Order_Header__c,265,10079,2.6,9814,97.4
58,APTS_Parent_Line3__c,257,10079,2.5,9822,97.5
59,APTS_SAP_Service_Discount_Amount__c,180,10079,1.8,9899,98.2
60,APTS_Promotion_Monthly_Discount__c,180,10079,1.8,9899,98.2
61,APTS_SAP_Equipment_List_Price__c,180,10079,1.8,9899,98.2
62,APTS_Parent_Line2__c,90,10079,0.9,9989,99.1
63,APTS_FNBL_Date__c,48,10079,0.5,10031,99.5
64,Apttus_Config2__RelatedSellingTerm__c,0,10079,0.0,10079,100.0
65,ConnectionSentId,0,10079,0.0,10079,100.0
66,Apttus_Config2__RelatedStartDate__c,0,10079,0.0,10079,100.0
67,Apttus_Config2__ServiceBasePrice__c,0,10079,0.0,10079,100.0
68,Apttus_Config2__RelatedExtendedPrice__c,0,10079,0.0,10079,100.0
69,Apttus_Config2__WeightageAmount__c,0,10079,0.0,10079,100.0
70,Apttus_Config2__RelatedQuantity__c,0,10079,0.0,10079,100.0
71,APTS_Is_Entitlement_Free_Months__c,0,10079,0.0,10079,100.0
72,Apttus_Config2__RelatedEndDate__c,0,10079,0.0,10079,100.0
73,APTS_Annual_Price__c,0,10079,0.0,10079,100.0
74,APTS_MOO_Blind_Discount_Amount__c,0,10079,0.0,10079,100.0
75,APTS_Clinical_Acc_Date__c,0,10079,0.0,10079,100.0
76,APTS_Contract_SAP_Price__c,0,10079,0.0,10079,100.0
77,APTS_End_Date__c,0,10079,0.0,10079,100.0
78,APTS_Parent_Line__c,0,10079,0.0,10079,100.0
79,APTS_Start_Date__c,0,10079,0.0,10079,100.0
80,LastActivityDate,0,10079,0.0,10079,100.0
81,ConnectionReceivedId,0,10079,0.0,10079,100.0
82,APTS_Target_Price__c,0,10079,0.0,10079,100.0
