Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,11068055,11068055,100.0,0,0.0
2,Apttus_Config2__IsQuantityReadOnly__c,11068055,11068055,100.0,0,0.0
3,APTS_Effective_Date__c,11068055,11068055,100.0,0,0.0
4,APTS_Expiration_Date__c,11068055,11068055,100.0,0,0.0
5,APTS_IsPrevious__c,11068055,11068055,100.0,0,0.0
6,Apttus_Config2__ListPrice__c,11066750,11068055,100.0,1305,0.0
7,Apttus_Config2__IsUsageTierModifiable__c,11068055,11068055,100.0,0,0.0
8,Apttus_Config2__IsSellingTermReadOnly__c,11068055,11068055,100.0,0,0.0
9,Apttus_Config2__HasCriteria__c,11068055,11068055,100.0,0,0.0
10,Apttus_Config2__PriceIncludedInBundle__c,11068055,11068055,100.0,0,0.0
11,Apttus_Config2__EnablePriceRamp__c,11068055,11068055,100.0,0,0.0
12,Apttus_Config2__EnableCommitment__c,11068055,11068055,100.0,0,0.0
13,Apttus_Config2__EnableAutoRampCreation__c,11068055,11068055,100.0,0,0.0
14,Apttus_Config2__DisableSyncWithOpportunity__c,11068055,11068055,100.0,0,0.0
15,Apttus_Config2__TaxInclusive__c,11068055,11068055,100.0,0,0.0
16,APTS_UniquePLIKey__c,11067246,11068055,100.0,809,0.0
17,APTS_Is_Initial_Version__c,11068055,11068055,100.0,0,0.0
18,Apttus_Config2__PriceMethod__c,11068055,11068055,100.0,0,0.0
19,APTS_PLI_SAP_Status__c,11068055,11068055,100.0,0,0.0
20,APTS_Unique_Agreement_Number__c,11068055,11068055,100.0,0,0.0
21,Apttus_Config2__RollupPriceToBundle__c,11068055,11068055,100.0,0,0.0
22,Apttus_Config2__NumberOfMatrices__c,11068055,11068055,100.0,0,0.0
23,APTS_Country_Target_Price__c,11067617,11068055,100.0,438,0.0
24,APTS_Country_pricelist_update_rule__c,11067617,11068055,100.0,438,0.0
25,IsDeleted,11068055,11068055,100.0,0,0.0
26,APTS_Not_Discountable__c,11068055,11068055,100.0,0,0.0
27,New_APTS_Ext_ID__c,11068055,11068055,100.0,0,0.0
28,Apttus_Config2__PriceType__c,11068055,11068055,100.0,0,0.0
29,APTS_IsFuturePLI__c,11068055,11068055,100.0,0,0.0
30,Apttus_Config2__ProductName__c,11067246,11068055,100.0,809,0.0
31,Apttus_Config2__ProductId__c,11067246,11068055,100.0,809,0.0
32,Apttus_Config2__ProductCode__c,11067241,11068055,100.0,814,0.0
33,Apttus_Config2__ProductActive__c,11068055,11068055,100.0,0,0.0
34,Apttus_Config2__PriceUom__c,11068055,11068055,100.0,0,0.0
35,APTS_uniqueProductKey__c,11067246,11068055,100.0,809,0.0
36,Apttus_Config2__DisableAssetIntegration__c,11068055,11068055,100.0,0,0.0
37,APTS_PLISAPSyncCompleted__c,11068055,11068055,100.0,0,0.0
