Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,55943,55943,100.0,0,0.0
2,Apttus_Config2__RootSequence__c,55943,55943,100.0,0,0.0
3,Apttus_Config2__MaxOptions__c,55943,55943,100.0,0,0.0
4,IsDeleted,55943,55943,100.0,0,0.0
5,Apttus_Config2__MinOptions__c,55943,55943,100.0,0,0.0
6,Apttus_Config2__ModifiableType__c,55943,55943,100.0,0,0.0
7,Apttus_Config2__ProductId__c,55943,55943,100.0,0,0.0
8,Apttus_Config2__Right__c,55943,55943,100.0,0,0.0
9,Apttus_Config2__RootOptionGroupId__c,55934,55943,100.0,9,0.0
10,Apttus_Config2__Sequence__c,55943,55943,100.0,0,0.0
11,Apttus_Config2__Left__c,55943,55943,100.0,0,0.0
12,APTS_Ext_ID__c,55937,55943,100.0,6,0.0
13,APTS_From_SAP__c,55943,55943,100.0,0,0.0
14,Apttus_Config2__CascadeGroupChanges__c,55943,55943,100.0,0,0.0
15,APTS_Is_Global__c,55943,55943,100.0,0,0.0
16,APTS_IsValidNPO__c,55943,55943,100.0,0,0.0
17,APTS_Is_Processed_NPO__c,55943,55943,100.0,0,0.0
18,ADLS_LOADED_DATE,55943,55943,100.0,0,0.0
19,Apttus_Config2__Level__c,55943,55943,100.0,0,0.0
20,LAST_UPDATED_DATE,55943,55943,100.0,0,0.0
21,Apttus_Config2__IsPicklist__c,55943,55943,100.0,0,0.0
22,Apttus_Config2__IsLeaf__c,55943,55943,100.0,0,0.0
23,Name,55943,55943,100.0,0,0.0
24,CurrencyIsoCode,55943,55943,100.0,0,0.0
25,CreatedDate,55943,55943,100.0,0,0.0
26,CreatedById,55943,55943,100.0,0,0.0
27,LastModifiedDate,55943,55943,100.0,0,0.0
28,LastModifiedById,55943,55943,100.0,0,0.0
29,SystemModstamp,55943,55943,100.0,0,0.0
30,MayEdit,55943,55943,100.0,0,0.0
31,IsLocked,55943,55943,100.0,0,0.0
32,Apttus_Config2__OptionGroupId__c,55943,55943,100.0,0,0.0
33,Apttus_Config2__ContentType__c,55943,55943,100.0,0,0.0
34,Apttus_Config2__IsHidden__c,55943,55943,100.0,0,0.0
35,APTS_SAP_Characteristics_Code__c,51817,55943,92.6,4126,7.4
36,Apttus_Config2__ParentOptionGroupId__c,47803,55943,85.4,8140,14.6
37,Apttus_Config2__MinTotalQuantity__c,4980,55943,8.9,50963,91.1
38,Apttus_Config2__ProductAttributeGroupMemberId__c,4325,55943,7.7,51618,92.3
39,Apttus_Config2__MaxTotalQuantity__c,2898,55943,5.2,53045,94.8
40,ConnectionSentId,0,55943,0.0,55943,100.0
41,ConnectionReceivedId,0,55943,0.0,55943,100.0
42,LastActivityDate,0,55943,0.0,55943,100.0
43,APTS_Modeller_Group__c,1,55943,0.0,55942,100.0
44,Apttus_Config2__MinTotalQuantityExpressionId__c,11,55943,0.0,55932,100.0
45,Apttus_Config2__DetailPage__c,0,55943,0.0,55943,100.0
46,Apttus_Config2__MaxTotalQuantityExpressionId__c,18,55943,0.0,55925,100.0
