Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,10936946,10936946,100.0,0,0.0
2,IsDeleted,10936946,10936946,100.0,0,0.0
3,ParentId,10936946,10936946,100.0,0,0.0
4,CreatedById,10936946,10936946,100.0,0,0.0
5,CreatedDate,10936946,10936946,100.0,0,0.0
6,Field,10936946,10936946,100.0,0,0.0
7,ADLS_LOADED_DATE,10936946,10936946,100.0,0,0.0
8,LAST_UPDATED_DATE,10936946,10936946,100.0,0,0.0
9,NewValue,10268527,10936946,93.9,668419,6.1
10,OldValue,8998088,10936946,82.3,1938858,17.7
11,DataType,8699809,10936946,79.5,2237137,20.5
