Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,19988339,19988339,100.0,0,0.0
2,Apttus_QPConfig__ItemSequence__c,19988339,19988339,100.0,0,0.0
3,Apttus_QPConfig__PriceIncludedInBundle__c,19988339,19988339,100.0,0,0.0
4,APTS_Has_Unique_Contract__c,19988339,19988339,100.0,0,0.0
5,APTS_FPS__c,19988339,19988339,100.0,0,0.0
6,IsDeleted,19988339,19988339,100.0,0,0.0
7,APTS_Local_Bundle_Component_Flag__c,19988339,19988339,100.0,0,0.0
8,APTS_Local_Bundle_Exists__c,19988339,19988339,100.0,0,0.0
9,APTS_Offered_Price_c__c,19987698,19988339,100.0,641,0.0
10,Apttus_QPConfig__NetPrice__c,19980073,19988339,100.0,8266,0.0
11,Apttus_QPConfig__NetAdjustmentPercent__c,19978694,19988339,100.0,9645,0.0
12,Apttus_QPConfig__ListPrice__c,19979019,19988339,100.0,9320,0.0
13,Apttus_QPConfig__LineType__c,19988339,19988339,100.0,0,0.0
14,Apttus_QPConfig__LineStatus__c,19988339,19988339,100.0,0,0.0
15,APTS_Article_Number_cfd__c,19987706,19988339,100.0,633,0.0
16,Apttus_QPConfig__IsUsageTierModifiable__c,19988339,19988339,100.0,0,0.0
17,Apttus_QPConfig__ExtendedPrice__c,19979418,19988339,100.0,8921,0.0
18,Apttus_QPConfig__IsPrimaryRampLine__c,19988339,19988339,100.0,0,0.0
19,Apttus_QPConfig__IsPrimaryLine__c,19988339,19988339,100.0,0,0.0
20,Apttus_QPConfig__IsOptional__c,19988339,19988339,100.0,0,0.0
21,Apttus_QPConfig__IsOptionRollupLine__c,19988339,19988339,100.0,0,0.0
22,Apttus_QPConfig__IsCustomPricing__c,19988339,19988339,100.0,0,0.0
23,Apttus_QPConfig__IsAssetPricing__c,19988339,19988339,100.0,0,0.0
24,APTS_Product_Code_CFD__c,19987696,19988339,100.0,643,0.0
25,Apttus_QPConfig__HideInvoiceDisplay__c,19988339,19988339,100.0,0,0.0
26,Apttus_QPConfig__HasOptions__c,19988339,19988339,100.0,0,0.0
27,Apttus_QPConfig__HasIncentives__c,19988339,19988339,100.0,0,0.0
28,Apttus_QPConfig__HasAttributes__c,19988339,19988339,100.0,0,0.0
29,APTS_Proposal_Discount_CFD_Perc__c,19988339,19988339,100.0,0,0.0
30,Apttus_QPConfig__Frequency__c,19988323,19988339,100.0,16,0.0
31,Apttus_QPConfig__PriceListId__c,19988326,19988339,100.0,13,0.0
32,Apttus_QPConfig__PriceMethod__c,19979502,19988339,100.0,8837,0.0
33,Apttus_QPConfig__PriceType__c,19982320,19988339,100.0,6019,0.0
34,Apttus_QPConfig__PriceUom__c,19979502,19988339,100.0,8837,0.0
35,APTS_Promotion__c,19987699,19988339,100.0,640,0.0
36,APTS_Product_code_PLI__c,19988324,19988339,100.0,15,0.0
37,APTS_Product_Code__c,19987696,19988339,100.0,643,0.0
38,APTS_Philips_List_Price__c,19988339,19988339,100.0,0,0.0
39,APTS_PaymentTerm__c,19982248,19988339,100.0,6091,0.0
40,APTS_Net_Price_CFD__c,19988339,19988339,100.0,0,0.0
41,APTS_Proposal_Discount_CFD_Perc_New__c,19988339,19988339,100.0,0,0.0
42,APTS_Show_Customer_Service__c,19988339,19988339,100.0,0,0.0
43,APTS_Item_List_Price_CFD__c,19988339,19988339,100.0,0,0.0
44,APTS_Show_Statement_of_Work__c,19988339,19988339,100.0,0,0.0
45,APTS_Strategic_Discount_Amount__c,19987699,19988339,100.0,640,0.0
46,APTS_Has_Unique_Promotion__c,19988339,19988339,100.0,0,0.0
47,APTS_Exclude_From_CFD_Formula__c,19988339,19988339,100.0,0,0.0
48,APTS_Exclude_From_CFD__c,19988339,19988339,100.0,0,0.0
49,APTS_Extended_List_Price__c,19978862,19988339,100.0,9477,0.0
50,APTS_Extended_Quantity__c,19979268,19988339,100.0,9071,0.0
51,APTS_Configuration_type__c,19988324,19988339,100.0,15,0.0
52,Apttus_QPConfig__SellingUom__c,19978877,19988339,100.0,9462,0.0
53,APTS_Average_Study_Size__c,19988339,19988339,100.0,0,0.0
54,Apttus_QPApprov__Approval_Status__c,19988339,19988339,100.0,0,0.0
55,Apttus_QPConfig__Uom__c,19986433,19988339,100.0,1906,0.0
56,Apttus_QPConfig__Taxable__c,19988339,19988339,100.0,0,0.0
57,Apttus_QPConfig__TaxInclusive__c,19988339,19988339,100.0,0,0.0
58,Apttus_QPConfig__SellingTerm__c,19986714,19988339,100.0,1625,0.0
59,Apttus_QPConfig__SellingFrequency__c,19988287,19988339,100.0,52,0.0
60,Apttus_QPConfig__Quantity2__c,19988323,19988339,100.0,16,0.0
