Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,1286186,1286186,100.0,0,0.0
2,SystemModstamp,1286186,1286186,100.0,0,0.0
3,LAST_UPDATED_DATE,1286186,1286186,100.0,0,0.0
4,ADLS_LOADED_DATE,1286186,1286186,100.0,0,0.0
5,Leading_Account__c,1286186,1286186,100.0,0,0.0
6,Logical_System_Name__c,1286182,1286186,100.0,4,0.0
7,Local_Business_Partner_ID__c,1286167,1286186,100.0,19,0.0
8,Golden_Record_Key__c,1286153,1286186,100.0,33,0.0
9,OwnerId,1286186,1286186,100.0,0,0.0
10,Deletion_Flag__c,1286186,1286186,100.0,0,0.0
11,CurrencyIsoCode,1286186,1286186,100.0,0,0.0
12,LastModifiedById,1286186,1286186,100.0,0,0.0
13,LastModifiedDate,1286186,1286186,100.0,0,0.0
14,CreatedById,1286186,1286186,100.0,0,0.0
15,CreatedDate,1286186,1286186,100.0,0,0.0
16,IsDeleted,1286186,1286186,100.0,0,0.0
17,Name,1286186,1286186,100.0,0,0.0
18,Account__c,1215120,1286186,94.5,71066,5.5
19,AER_Access_Check_for_user__c,1201634,1286186,93.4,84552,6.6
20,IsLocked,1173102,1286186,91.2,113084,8.8
21,MayEdit,1173102,1286186,91.2,113084,8.8
22,ERP_Account_Role__c,1114483,1286186,86.7,171703,13.3
23,System_External_ID__c,904221,1286186,70.3,381965,29.7
24,Partner_Type__c,386934,1286186,30.1,899252,69.9
25,MDM_Business_Partner_ID__c,386933,1286186,30.1,899253,69.9
26,Account_external_reference_external_Id__c,382705,1286186,29.8,903481,70.2
27,LastReferencedDate,25,1286186,0.0,1286161,100.0
28,ConnectionSentId,0,1286186,0.0,1286186,100.0
29,ConnectionReceivedId,0,1286186,0.0,1286186,100.0
30,LastViewedDate,25,1286186,0.0,1286161,100.0
