Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,2634267,2634267,100.0,0,0.0
2,CurrencyIsoCode,2634267,2634267,100.0,0,0.0
3,LAST_UPDATED_DATE,2634267,2634267,100.0,0,0.0
4,ADLS_LOADED_DATE,2634267,2634267,100.0,0,0.0
5,IsDeleted,2634267,2634267,100.0,0,0.0
6,SystemModstamp,2634267,2634267,100.0,0,0.0
7,LastModifiedById,2634267,2634267,100.0,0,0.0
8,LastModifiedDate,2634267,2634267,100.0,0,0.0
9,CreatedById,2634267,2634267,100.0,0,0.0
10,AccountId,2634267,2634267,100.0,0,0.0
11,CreatedDate,2634267,2634267,100.0,0,0.0
12,ContactAccessLevel,2634267,2634267,100.0,0,0.0
13,CaseAccessLevel,2634267,2634267,100.0,0,0.0
14,OpportunityAccessLevel,2634267,2634267,100.0,0,0.0
15,AccountAccessLevel,2634267,2634267,100.0,0,0.0
16,PhotoUrl,2634267,2634267,100.0,0,0.0
17,TeamMemberRole,2634041,2634267,100.0,226,0.0
18,UserId,2634267,2634267,100.0,0,0.0
19,SRC_Delegated_Approver__c,2634267,2634267,100.0,0,0.0
20,Title,2495622,2634267,94.7,138645,5.3
21,CS_Business_Group__c,479384,2634267,18.2,2154883,81.8
22,Agreement_Access__c,203,2634267,0.0,2634064,100.0
