Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,5508008,5508008,100.0,0,0.0
2,CreatedDate,5508008,5508008,100.0,0,0.0
3,LAST_UPDATED_DATE,5508008,5508008,100.0,0,0.0
4,ADLS_LOADED_DATE,5508008,5508008,100.0,0,0.0
5,IsDeleted,5508008,5508008,100.0,0,0.0
6,CreatedById,5508008,5508008,100.0,0,0.0
7,Field,4202756,5508008,76.3,1305252,23.7
8,ContactId,4202756,5508008,76.3,1305252,23.7
9,NewValue,2855458,5508008,51.8,2652550,48.2
10,OldValue,2025569,5508008,36.8,3482439,63.2
11,Is_CDH_Interfaced__c,1305252,5508008,23.7,4202756,76.3
12,Please_Remove_This_Account__c,1305252,5508008,23.7,4202756,76.3
13,Account_Internal_ID__c,1305252,5508008,23.7,4202756,76.3
14,NABH_Accredited__c,1305252,5508008,23.7,4202756,76.3
15,Count_Account_Team__c,1305252,5508008,23.7,4202756,76.3
16,Account_Has_Account_Team__c,1305252,5508008,23.7,4202756,76.3
17,Account_has_Contact_Person__c,1305252,5508008,23.7,4202756,76.3
18,Certification_Of_Green_Environment__c,1305252,5508008,23.7,4202756,76.3
19,Installation_Location__c,1305252,5508008,23.7,4202756,76.3
20,Deletion_Flag__c,1305252,5508008,23.7,4202756,76.3
21,JCI_Accredited__c,1305252,5508008,23.7,4202756,76.3
22,Sales_Order_Block__c,1305252,5508008,23.7,4202756,76.3
23,Official_Philips_Distributor__c,1305252,5508008,23.7,4202756,76.3
24,Partner_Created__c,1305252,5508008,23.7,4202756,76.3
25,Archived_Record__c,1305252,5508008,23.7,4202756,76.3
26,LI_Account_Orgs__c,1305252,5508008,23.7,4202756,76.3
27,Zip_Code_Length__c,1305252,5508008,23.7,4202756,76.3
28,Printed_Materials_Opt_Out__c,1305252,5508008,23.7,4202756,76.3
29,GSP_Exists__c,1305252,5508008,23.7,4202756,76.3
30,MDM_bulk_load__c,1305252,5508008,23.7,4202756,76.3
31,Partner_Enabled__c,1305252,5508008,23.7,4202756,76.3
32,Dummy_Private_Flag__c,1305252,5508008,23.7,4202756,76.3
33,B2B_SRC_total_Opportunity_amount__c,1305252,5508008,23.7,4202756,76.3
34,Months_Since_Go_Live_Date__c,1305252,5508008,23.7,4202756,76.3
35,RCS_Inactive_Flag__c,1305252,5508008,23.7,4202756,76.3
36,HC_account_orgs__c,1305252,5508008,23.7,4202756,76.3
37,Country__c,1304737,5508008,23.7,4203271,76.3
38,Converted_from_lead__c,1305252,5508008,23.7,4202756,76.3
39,PMS_Account_Credit_Flag__c,1305252,5508008,23.7,4202756,76.3
40,PMS_Account_Sensitivity_Flag__c,1305252,5508008,23.7,4202756,76.3
