Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,2838631,2838631,100.0,0,0.0
2,NegativeRatingCount,2838631,2838631,100.0,0,0.0
3,OwnerId,2838631,2838631,100.0,0,0.0
4,ContentDocumentId,2838631,2838631,100.0,0,0.0
5,CreatedDate,2838631,2838631,100.0,0,0.0
6,LastModifiedById,2838631,2838631,100.0,0,0.0
7,LastModifiedDate,2838631,2838631,100.0,0,0.0
8,SystemModstamp,2838631,2838631,100.0,0,0.0
9,FileType,2838631,2838631,100.0,0,0.0
10,PublishStatus,2838631,2838631,100.0,0,0.0
11,ContentSize,2838631,2838631,100.0,0,0.0
12,Origin,2838631,2838631,100.0,0,0.0
13,ContentLocation,2838631,2838631,100.0,0,0.0
14,Checksum,2837675,2838631,100.0,956,0.0
15,IsMajorVersion,2838631,2838631,100.0,0,0.0
16,IsAssetEnabled,2838631,2838631,100.0,0,0.0
17,ADLS_LOADED_DATE,2838631,2838631,100.0,0,0.0
18,CurrencyIsoCode,2838631,2838631,100.0,0,0.0
19,CreatedById,2838631,2838631,100.0,0,0.0
20,PositiveRatingCount,2838631,2838631,100.0,0,0.0
21,PathOnClient,2838631,2838631,100.0,0,0.0
22,IsLatest,2838631,2838631,100.0,0,0.0
23,ContentBodyId,2837675,2838631,100.0,956,0.0
24,VersionNumber,2838631,2838631,100.0,0,0.0
25,Title,2838631,2838631,100.0,0,0.0
26,SharingOption,2838631,2838631,100.0,0,0.0
27,SharingPrivacy,2838631,2838631,100.0,0,0.0
28,LAST_UPDATED_DATE,2838631,2838631,100.0,0,0.0
29,RatingCount,2838631,2838631,100.0,0,0.0
30,ContentModifiedDate,2838631,2838631,100.0,0,0.0
31,IsDeleted,2838631,2838631,100.0,0,0.0
32,Language,2838631,2838631,100.0,0,0.0
33,ContentModifiedById,2838631,2838631,100.0,0,0.0
34,FileExtension,2825929,2838631,99.6,12702,0.4
35,FirstPublishLocationId,2811823,2838631,99.1,26808,0.9
36,RecordTypeId,433543,2838631,15.3,2405088,84.7
37,Description,226735,2838631,8.0,2611896,92.0
38,ExternalDocumentInfo2,42394,2838631,1.5,2796237,98.5
39,TextPreview,43142,2838631,1.5,2795489,98.5
40,NetworkId,14510,2838631,0.5,2824121,99.5
41,FeaturedContentBoost,0,2838631,0.0,2838631,100.0
42,TagCsv,0,2838631,0.0,2838631,100.0
43,ExternalDocumentInfo1,956,2838631,0.0,2837675,100.0
44,ExternalDataSourceId,956,2838631,0.0,2837675,100.0
45,ReasonForChange,890,2838631,0.0,2837741,100.0
46,ContentUrl,0,2838631,0.0,2838631,100.0
47,FeaturedContentDate,0,2838631,0.0,2838631,100.0
48,Document_Type__c,0,2838631,0.0,2838631,100.0
