Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,8266536,8266536,100.0,0,0.0
2,SAP_Contract_Line_Item_Number__c,8266535,8266536,100.0,1,0.0
3,RootContractLineItemId,8266536,8266536,100.0,0,0.0
4,Account_Country__c,8266489,8266536,100.0,47,0.0
5,Contract_End_date__c,8266536,8266536,100.0,0,0.0
6,Contract_Number__c,8266536,8266536,100.0,0,0.0
7,Contract_Start_date__c,8266536,8266536,100.0,0,0.0
8,Contract_Value__c,8266536,8266536,100.0,0,0.0
9,Line_Item_Description__c,8266283,8266536,100.0,253,0.0
10,Line_Item_Material__c,8266508,8266536,100.0,28,0.0
11,Line_Item_Number__c,8266535,8266536,100.0,1,0.0
12,Status__c,8266536,8266536,100.0,0,0.0
13,TotalPrice,8266536,8266536,100.0,0,0.0
14,Warranty_Period__c,8266536,8266536,100.0,0,0.0
15,IsDeleted__c,8266536,8266536,100.0,0,0.0
16,IsDeleted,8266536,8266536,100.0,0,0.0
17,SameStartEndDates__c,8266536,8266536,100.0,0,0.0
18,Monday__c,8266536,8266536,100.0,0,0.0
19,Tuesday__c,8266536,8266536,100.0,0,0.0
20,ADLS_LOADED_DATE,8266536,8266536,100.0,0,0.0
21,LAST_UPDATED_DATE,8266536,8266536,100.0,0,0.0
22,MayEdit,8266536,8266536,100.0,0,0.0
23,Status,8266536,8266536,100.0,0,0.0
24,IsLocked,8266536,8266536,100.0,0,0.0
25,Subtotal,8266536,8266536,100.0,0,0.0
26,CreatedById,8266536,8266536,100.0,0,0.0
27,ServiceContractId,8266536,8266536,100.0,0,0.0
28,StartDate,8266535,8266536,100.0,1,0.0
29,EndDate,8266535,8266536,100.0,1,0.0
30,SystemModstamp,8266536,8266536,100.0,0,0.0
31,LastModifiedById,8266536,8266536,100.0,0,0.0
32,LastModifiedDate,8266536,8266536,100.0,0,0.0
33,Quantity,8266536,8266536,100.0,0,0.0
34,PricebookEntryId,8266536,8266536,100.0,0,0.0
35,UnitPrice,8266536,8266536,100.0,0,0.0
36,CreatedDate,8266536,8266536,100.0,0,0.0
37,CurrencyIsoCode,8266536,8266536,100.0,0,0.0
38,LineItemNumber,8266536,8266536,100.0,0,0.0
39,ListPrice,8266536,8266536,100.0,0,0.0
40,Product2Id,8266536,8266536,100.0,0,0.0
