Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,440,440,100.0,0,0.0
2,SystemModstamp,440,440,100.0,0,0.0
3,MayEdit,440,440,100.0,0,0.0
4,LAST_UPDATED_DATE,440,440,100.0,0,0.0
5,ADLS_LOADED_DATE,440,440,100.0,0,0.0
6,Status__c,440,440,100.0,0,0.0
7,Product_Type__c,440,440,100.0,0,0.0
8,Hours__c,440,440,100.0,0,0.0
9,OwnerId,440,440,100.0,0,0.0
10,Bundle_Intellivue_Screen__c,440,440,100.0,0,0.0
11,IsLocked,440,440,100.0,0,0.0
12,IsDeleted,440,440,100.0,0,0.0
13,Name,440,440,100.0,0,0.0
14,LastModifiedById,440,440,100.0,0,0.0
15,LastModifiedDate,440,440,100.0,0,0.0
16,CurrencyIsoCode,440,440,100.0,0,0.0
17,CreatedById,440,440,100.0,0,0.0
18,CreatedDate,440,440,100.0,0,0.0
19,Logic_Description__c,437,440,99.3,3,0.7
20,Logic_Identifier__c,428,440,97.3,12,2.7
21,Product_Description__c,294,440,66.8,146,33.2
22,Quantity_Pick__c,274,440,62.3,166,37.7
23,Lower_Limit__c,108,440,24.5,332,75.5
24,Upper_Limit__c,96,440,21.8,344,78.2
25,Price__c,33,440,7.5,407,92.5
26,LastReferencedDate,0,440,0.0,440,100.0
27,ConnectionSentId,0,440,0.0,440,100.0
28,ConnectionReceivedId,0,440,0.0,440,100.0
29,LastViewedDate,0,440,0.0,440,100.0
