Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,4385,4385,100.0,0,0.0
2,Deal_Board_documents_attached__c,4385,4385,100.0,0,0.0
3,Name,4385,4385,100.0,0,0.0
4,CurrencyIsoCode,4385,4385,100.0,0,0.0
5,CreatedDate,4385,4385,100.0,0,0.0
6,CreatedById,4385,4385,100.0,0,0.0
7,LastModifiedDate,4385,4385,100.0,0,0.0
8,LastModifiedById,4385,4385,100.0,0,0.0
9,SystemModstamp,4385,4385,100.0,0,0.0
10,LAST_UPDATED_DATE,4385,4385,100.0,0,0.0
11,ADLS_LOADED_DATE,4385,4385,100.0,0,0.0
12,Deal_Complexity_Assessment_DCA_updated__c,4385,4385,100.0,0,0.0
13,Opportunity__c,4385,4385,100.0,0,0.0
14,PIAC_approval_needed__c,4385,4385,100.0,0,0.0
15,IsDeleted,4385,4385,100.0,0,0.0
16,Outcome__c,4346,4385,99.1,39,0.9
17,Latest_Deal_Board__c,4306,4385,98.2,79,1.8
18,RecordTypeId,4287,4385,97.8,98,2.2
19,Deal_Board__c,3395,4385,77.4,990,22.6
20,Deal_Board_Date__c,2999,4385,68.4,1386,31.6
21,Deal_Board_Stage__c,1602,4385,36.5,2783,63.5
22,Risk_Rating__c,853,4385,19.5,3532,80.5
23,IsLocked,659,4385,15.0,3726,85.0
24,MayEdit,659,4385,15.0,3726,85.0
25,Overrule_Qualification_Criteria__c,618,4385,14.1,3767,85.9
26,No_further_approvals_needed__c,618,4385,14.1,3767,85.9
27,Can_we_meet_customer_requirements__c,460,4385,10.5,3925,89.5
28,Resources_avaliable_to_deliver__c,454,4385,10.4,3931,89.6
29,Evaluation__c,29,4385,0.7,4356,99.3
30,Tactical_reason_to_Overrule__c,17,4385,0.4,4368,99.6
31,LastActivityDate,2,4385,0.0,4383,100.0
32,ConnectionReceivedId,0,4385,0.0,4385,100.0
33,ConnectionSentId,0,4385,0.0,4385,100.0
34,Validation__c,0,4385,0.0,4385,100.0
