Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,10859,10859,100.0,0,0.0
2,LAST_UPDATED_DATE,10859,10859,100.0,0,0.0
3,DCA_Market__c,10858,10859,100.0,1,0.0
4,Country_Risk_High_TCV_above_EUR_10_mil__c,10859,10859,100.0,0,0.0
5,Country_Risk_Extreme__c,10859,10859,100.0,0,0.0
6,IsDeleted,10859,10859,100.0,0,0.0
7,Opportunity_Owner__c,10859,10859,100.0,0,0.0
8,TCV_above_EUR_100_million__c,10859,10859,100.0,0,0.0
9,Expected_Opportunity_Amount__c,10859,10859,100.0,0,0.0
10,Opportunity__c,10859,10859,100.0,0,0.0
11,ADLS_LOADED_DATE,10859,10859,100.0,0,0.0
12,Opportunity_Id__c,10859,10859,100.0,0,0.0
13,CreatedDate,10859,10859,100.0,0,0.0
14,SystemModstamp,10859,10859,100.0,0,0.0
15,Name,10859,10859,100.0,0,0.0
16,LastModifiedById,10859,10859,100.0,0,0.0
17,LastModifiedDate,10859,10859,100.0,0,0.0
18,CreatedById,10859,10859,100.0,0,0.0
19,CurrencyIsoCode,10859,10859,100.0,0,0.0
20,RecordTypeId,10859,10859,100.0,0,0.0
21,Country_Risk__c,10837,10859,99.8,22,0.2
22,check_LSP__c,10830,10859,99.7,29,0.3
23,DCA_Opp_record_Type__c,10830,10859,99.7,29,0.3
24,Status__c,10479,10859,96.5,380,3.5
25,Customer_financing_TCV_above_EUR_10_mi__c,10266,10859,94.5,593,5.5
26,Clinical_Services__c,10266,10859,94.5,593,5.5
27,Major_construction_works__c,10266,10859,94.5,593,5.5
28,Innovative_solution_components_to_the__c,10266,10859,94.5,593,5.5
29,Usage_based_payment_model_pay_per_use__c,10266,10859,94.5,593,5.5
30,Value_based_outcome_based_payment_model__c,10266,10859,94.5,593,5.5
31,Equity_investment__c,10266,10859,94.5,593,5.5
32,Deal_Complexity_Assessment_1__c,10221,10859,94.1,638,5.9
33,Deal_Complexity_Assessment__c,10065,10859,92.7,794,7.3
34,Business_Group__c,5768,10859,53.1,5091,46.9
35,Total_contract_value__c,5371,10859,49.5,5488,50.5
36,DCA_Country_Risk__c,5166,10859,47.6,5693,52.4
37,DCA_Country__c,5169,10859,47.6,5690,52.4
38,DCA_Contract_duration_Years__c,5024,10859,46.3,5835,53.7
39,Market__c,1105,10859,10.2,9754,89.8
40,MayEdit,786,10859,7.2,10073,92.8
41,IsLocked,786,10859,7.2,10073,92.8
42,Will_the_deal_require_funding__c,648,10859,6.0,10211,94.0
43,Will_the_deal_comprise_MES_or_new_BM__c,648,10859,6.0,10211,94.0
44,Will_the_deal_be_a_B2G_type_of_Deal__c,648,10859,6.0,10211,94.0
45,Contract_Duration_Years__c,648,10859,6.0,10211,94.0
46,Will_the_deal_require_multiple_BG__c,648,10859,6.0,10211,94.0
47,Country__c,626,10859,5.8,10233,94.2
48,Business_Model__c,6,10859,0.1,10853,99.9
49,LastActivityDate,7,10859,0.1,10852,99.9
50,ConnectionSentId,0,10859,0.0,10859,100.0
51,ConnectionReceivedId,0,10859,0.0,10859,100.0
