Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,10746454,10746454,100.0,0,0.0
2,IsDeleted,10746454,10746454,100.0,0,0.0
3,ParentId,10746454,10746454,100.0,0,0.0
4,CreatedById,10746454,10746454,100.0,0,0.0
5,CreatedDate,10746454,10746454,100.0,0,0.0
6,Field,10746454,10746454,100.0,0,0.0
7,ADLS_LOADED_DATE,10746454,10746454,100.0,0,0.0
8,LAST_UPDATED_DATE,10746454,10746454,100.0,0,0.0
9,NewValue,9252782,10746454,86.1,1493672,13.9
10,OldValue,6457881,10746454,60.1,4288573,39.9
11,DataType,5032639,10746454,46.8,5713815,53.2
