Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,16316,16316,100.0,0,0.0
2,LastModifiedDate,16316,16316,100.0,0,0.0
3,IsDeleted,16316,16316,100.0,0,0.0
4,ADLS_LOADED_DATE,16316,16316,100.0,0,0.0
5,Event__c,16316,16316,100.0,0,0.0
6,SystemModstamp,16316,16316,100.0,0,0.0
7,LastModifiedById,16316,16316,100.0,0,0.0
8,LAST_UPDATED_DATE,16316,16316,100.0,0,0.0
9,CreatedById,16316,16316,100.0,0,0.0
10,CreatedDate,16316,16316,100.0,0,0.0
11,CurrencyIsoCode,16316,16316,100.0,0,0.0
12,Name,16316,16316,100.0,0,0.0
13,RecordTypeId,16107,16316,98.7,209,1.3
14,Date__c,7204,16316,44.2,9112,55.8
15,Type_of_Metric__c,7204,16316,44.2,9112,55.8
16,Event_start_date__c,7204,16316,44.2,9112,55.8
17,Event_end_date__c,7204,16316,44.2,9112,55.8
18,Demo_per_Business__c,7204,16316,44.2,9112,55.8
19,Demo_per_Business_Category__c,7204,16316,44.2,9112,55.8
20,Actual_Number__c,6208,16316,38.0,10108,62.0
21,Have_you_use_Propose_Tools__c,5417,16316,33.2,10899,66.8
22,Propose_number__c,1303,16316,8.0,15013,92.0
23,Comments_if_Any__c,404,16316,2.5,15912,97.5
24,Actual_Time__c,140,16316,0.9,16176,99.1
25,Estimated_Time__c,85,16316,0.5,16231,99.5
26,MayEdit,11,16316,0.1,16305,99.9
27,IsLocked,11,16316,0.1,16305,99.9
28,ConnectionSentId,0,16316,0.0,16316,100.0
29,ConnectionReceivedId,0,16316,0.0,16316,100.0
30,LastReferencedDate,1,16316,0.0,16315,100.0
31,LastViewedDate,1,16316,0.0,16315,100.0
32,Product_Solution_Demo_Area__c,0,16316,0.0,16316,100.0
33,LastActivityDate,0,16316,0.0,16316,100.0
34,Other_Details__c,0,16316,0.0,16316,100.0
