Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,2266,2266,100.0,0,0.0
2,SystemModstamp,2266,2266,100.0,0,0.0
3,jiffle__From_Lead__c,2266,2266,100.0,0,0.0
4,jiffle__Checkin__c,2266,2266,100.0,0,0.0
5,jiffle__Event__c,2266,2266,100.0,0,0.0
6,ADLS_LOADED_DATE,2266,2266,100.0,0,0.0
7,LAST_UPDATED_DATE,2266,2266,100.0,0,0.0
8,IsDeleted,2266,2266,100.0,0,0.0
9,LastModifiedById,2266,2266,100.0,0,0.0
10,LastModifiedDate,2266,2266,100.0,0,0.0
11,CreatedById,2266,2266,100.0,0,0.0
12,CreatedDate,2266,2266,100.0,0,0.0
13,CurrencyIsoCode,2266,2266,100.0,0,0.0
14,Name,2266,2266,100.0,0,0.0
15,jiffle__Meeting_ID__c,2259,2266,99.7,7,0.3
16,jiffle__Request_Status__c,2259,2266,99.7,7,0.3
17,jiffle__Meeting_with__c,2259,2266,99.7,7,0.3
18,jiffle__Meeting_UUID__c,2259,2266,99.7,7,0.3
19,jiffle__Duration__c,2259,2266,99.7,7,0.3
20,jiffle__End_Date_Time__c,2259,2266,99.7,7,0.3
21,jiffle__Meeting_Time_Zone__c,2259,2266,99.7,7,0.3
22,jiffle__Start_Date_Time__c,2259,2266,99.7,7,0.3
23,jiffle__Meeting_Type__c,2258,2266,99.6,8,0.4
24,jiffle__Meeting_Master__c,2258,2266,99.6,8,0.4
25,jiffle__JN_Custom_fields__c,2258,2266,99.6,8,0.4
26,jiffle__Meeting_Requestor__c,2190,2266,96.6,76,3.4
27,jiffle__MeetingRequestor__c,2045,2266,90.2,221,9.8
28,jiffle__Category__c,1726,2266,76.2,540,23.8
29,jiffle__Topic_of_Interest__c,1616,2266,71.3,650,28.7
30,jiffle__Meeting_Location__c,1354,2266,59.8,912,40.2
31,jiffle__Vcon_Link__c,1017,2266,44.9,1249,55.1
32,jiffle__Vcon_Description__c,1017,2266,44.9,1249,55.1
33,jiffle__Briefing_Center__c,761,2266,33.6,1505,66.4
34,LastActivityDate,6,2266,0.3,2260,99.7
35,jiffle__Track__c,0,2266,0.0,2266,100.0
36,MayEdit,0,2266,0.0,2266,100.0
37,LastViewedDate,0,2266,0.0,2266,100.0
38,jiffle__Alternate_Host__c,0,2266,0.0,2266,100.0
39,jiffle__Consecutive_Meeting__c,0,2266,0.0,2266,100.0
40,jiffle__Topic_UUID__c,0,2266,0.0,2266,100.0
41,jiffle__Track_UUID__c,0,2266,0.0,2266,100.0
42,LastReferencedDate,0,2266,0.0,2266,100.0
43,jiffle__Session_UUID__c,0,2266,0.0,2266,100.0
44,jiffle__Session_Name__c,0,2266,0.0,2266,100.0
45,jiffle__Session_ID__c,0,2266,0.0,2266,100.0
46,jiffle__Session_Abstract__c,0,2266,0.0,2266,100.0
47,ConnectionReceivedId,0,2266,0.0,2266,100.0
48,ConnectionSentId,0,2266,0.0,2266,100.0
49,jiffle__Additional_Info__c,0,2266,0.0,2266,100.0
50,IsLocked,0,2266,0.0,2266,100.0
