Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,191,191,100.0,0,0.0
2,OwnerId,191,191,100.0,0,0.0
3,IsDeleted,191,191,100.0,0,0.0
4,Name,191,191,100.0,0,0.0
5,CurrencyIsoCode,191,191,100.0,0,0.0
6,CreatedDate,191,191,100.0,0,0.0
7,CreatedById,191,191,100.0,0,0.0
8,LastModifiedDate,191,191,100.0,0,0.0
9,LastModifiedById,191,191,100.0,0,0.0
10,SystemModstamp,191,191,100.0,0,0.0
11,LAST_UPDATED_DATE,191,191,100.0,0,0.0
12,ADLS_LOADED_DATE,191,191,100.0,0,0.0
13,KOL_Make_Available_on_Portal__c,191,191,100.0,0,0.0
14,KOL_Event_Start_Date_month_and_year__c,191,191,100.0,0,0.0
15,KOL_Event_Start_Date__c,184,191,96.3,7,3.7
16,KOL_Event_Country__c,151,191,79.1,40,20.9
17,KOL_Event_End_Date__c,150,191,78.5,41,21.5
18,KOL_Event_Description__c,148,191,77.5,43,22.5
19,KOL_Event_City__c,135,191,70.7,56,29.3
20,KOL_Event_Segment__c,125,191,65.4,66,34.6
21,Event_Type__c,117,191,61.3,74,38.7
22,KOL_Philips_Contact_Email__c,115,191,60.2,76,39.8
23,KOL_Event_Market__c,114,191,59.7,77,40.3
24,KOL_Group__c,100,191,52.4,91,47.6
25,KOL_Event_Venue_Name__c,100,191,52.4,91,47.6
26,KOL_Event_Business__c,85,191,44.5,106,55.5
27,KOL_Event_Region__c,66,191,34.6,125,65.4
28,KOL_Event_Speciality__c,64,191,33.5,127,66.5
29,KOL_Event_Website__c,48,191,25.1,143,74.9
30,Number_External_Attendees__c,42,191,22.0,149,78.0
31,Number_Philips_Attendees__c,38,191,19.9,153,80.1
32,KOL_Event_Venue_Website__c,38,191,19.9,153,80.1
33,KOL_Friendly_Name__c,29,191,15.2,162,84.8
34,Event_Venue_Recommended__c,27,191,14.1,164,85.9
35,Philips_Sponsored__c,25,191,13.1,166,86.9
36,KOL_Event_Venue_Comments__c,15,191,7.9,176,92.1
37,KOL_Event_Questions_Contact__c,14,191,7.3,177,92.7
38,KOL_Event_Venue_Phone__c,10,191,5.2,181,94.8
39,KOL_Friendly_Description__c,8,191,4.2,183,95.8
40,KOL_Event_Venue_Contact_Person__c,7,191,3.7,184,96.3
41,Actual_Cost__c,5,191,2.6,186,97.4
42,MayEdit,4,191,2.1,187,97.9
43,IsLocked,4,191,2.1,187,97.9
44,Budgeted_Cost__c,4,191,2.1,187,97.9
45,KOL_Event_Venue_Email__c,2,191,1.0,189,99.0
46,LastActivityDate,2,191,1.0,189,99.0
47,NPS_Score__c,1,191,0.5,190,99.5
48,ConnectionReceivedId,0,191,0.0,191,100.0
49,ConnectionSentId,0,191,0.0,191,100.0
50,LastReferencedDate,0,191,0.0,191,100.0
51,LastViewedDate,0,191,0.0,191,100.0
52,KOL_Activity_Name__c,0,191,0.0,191,100.0
