Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,4402,4402,100.0,0,0.0
2,LastModifiedDate,4402,4402,100.0,0,0.0
3,LAST_UPDATED_DATE,4402,4402,100.0,0,0.0
4,ADLS_LOADED_DATE,4402,4402,100.0,0,0.0
5,Customer_Initiative__c,4402,4402,100.0,0,0.0
6,OwnerId,4402,4402,100.0,0,0.0
7,SystemModstamp,4402,4402,100.0,0,0.0
8,LastModifiedById,4402,4402,100.0,0,0.0
9,Account_Formula__c,4402,4402,100.0,0,0.0
10,CreatedById,4402,4402,100.0,0,0.0
11,CreatedDate,4402,4402,100.0,0,0.0
12,IsDeleted,4402,4402,100.0,0,0.0
13,Name,4402,4402,100.0,0,0.0
14,CurrencyIsoCode,4402,4402,100.0,0,0.0
15,Account_Plan__c,3670,4402,83.4,732,16.6
16,Account_Plan_ID__c,3670,4402,83.4,732,16.6
17,Objective_Due_Date__c,3660,4402,83.1,742,16.9
18,Type_of_Objective__c,3063,4402,69.6,1339,30.4
19,Target_Description__c,2402,4402,54.6,2000,45.4
20,Objective_Status_ROW__c,2249,4402,51.1,2153,48.9
21,Objective_Stage__c,1063,4402,24.1,3339,75.9
22,Strategic_Initiative__c,990,4402,22.5,3412,77.5
23,Objective_Status__c,871,4402,19.8,3531,80.2
24,IsLocked,810,4402,18.4,3592,81.6
25,MayEdit,810,4402,18.4,3592,81.6
26,Expected_value__c,236,4402,5.4,4166,94.6
27,RecordTypeId,20,4402,0.5,4382,99.5
28,Account_of_Account_Plan__c,24,4402,0.5,4378,99.5
29,Type__c,13,4402,0.3,4389,99.7
30,Additional_Team_Members__c,5,4402,0.1,4397,99.9
31,Cluster__c,4,4402,0.1,4398,99.9
32,ConnectionReceivedId,0,4402,0.0,4402,100.0
33,LastActivityDate,2,4402,0.0,4400,100.0
34,CSM_Business_Unit__c,0,4402,0.0,4402,100.0
35,CSM_RelatedTo_SolutionId__c,0,4402,0.0,4402,100.0
36,CSM_Related_To__c,0,4402,0.0,4402,100.0
37,CSM_Success_Plan__c,0,4402,0.0,4402,100.0
38,CSM_Sold_To_AccountId__c,0,4402,0.0,4402,100.0
39,ConnectionSentId,0,4402,0.0,4402,100.0
