Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,10730,10730,100.0,0,0.0
2,SystemModstamp,10730,10730,100.0,0,0.0
3,MayEdit,10730,10730,100.0,0,0.0
4,LAST_UPDATED_DATE,10730,10730,100.0,0,0.0
5,ADLS_LOADED_DATE,10730,10730,100.0,0,0.0
6,APTS_SPOO_Relevant_MAG__c,10730,10730,100.0,0,0.0
7,Available_for_forecast__c,10730,10730,100.0,0,0.0
8,Product_Hierarchy__c,10727,10730,100.0,3,0.0
9,OwnerId,10730,10730,100.0,0,0.0
10,IsLocked,10730,10730,100.0,0,0.0
11,IsDeleted,10730,10730,100.0,0,0.0
12,Name,10730,10730,100.0,0,0.0
13,CurrencyIsoCode,10730,10730,100.0,0,0.0
14,CreatedDate,10730,10730,100.0,0,0.0
15,CreatedById,10730,10730,100.0,0,0.0
16,LastModifiedById,10730,10730,100.0,0,0.0
17,LastModifiedDate,10730,10730,100.0,0,0.0
18,Product_Hierarchy_Level__c,10682,10730,99.6,48,0.4
19,Sector_ID__c,10682,10730,99.6,48,0.4
20,Sector_Name__c,10682,10730,99.6,48,0.4
21,Lifecycle_Status__c,10683,10730,99.6,47,0.4
22,Product_Hierarchy_Key__c,10682,10730,99.6,48,0.4
23,Business_Group__c,10679,10730,99.5,51,0.5
24,Business_Group_ID__c,10679,10730,99.5,51,0.5
25,Business_Group_Name__c,10679,10730,99.5,51,0.5
26,Valid_From__c,10562,10730,98.4,168,1.6
27,APTS_Hierarchy_Description__c,10537,10730,98.2,193,1.8
28,Business_Unit_ID__c,10542,10730,98.2,188,1.8
29,Business_Unit__c,10542,10730,98.2,188,1.8
30,Business_Unit_Name__c,10415,10730,97.1,315,2.9
31,Main_Article_Group_Name__c,9839,10730,91.7,891,8.3
32,Main_Article_Group_ID__c,9839,10730,91.7,891,8.3
33,Related_BU_Product_Hierarchy__c,9609,10730,89.6,1121,10.4
34,Valid_To__c,7741,10730,72.1,2989,27.9
35,Article_Group_ID__c,7051,10730,65.7,3679,34.3
36,Article_Group_Name__c,7038,10730,65.6,3692,34.4
37,LastActivityDate,6,10730,0.1,10724,99.9
38,LastViewedDate,0,10730,0.0,10730,100.0
39,APTS_MP3__c,0,10730,0.0,10730,100.0
40,APTS_MPG_Name__c,0,10730,0.0,10730,100.0
41,APTS_MPG__c,0,10730,0.0,10730,100.0
42,Modality__c,0,10730,0.0,10730,100.0
43,Sub_Article_Group_ID__c,0,10730,0.0,10730,100.0
44,ConnectionSentId,0,10730,0.0,10730,100.0
45,ConnectionReceivedId,0,10730,0.0,10730,100.0
46,APTS_Ext_ID__c,0,10730,0.0,10730,100.0
47,LastReferencedDate,0,10730,0.0,10730,100.0
48,Sub_Article_Group_Name__c,0,10730,0.0,10730,100.0
