Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,69155,69155,100.0,0,0.0
2,UserPreferencesShowEmailToExternalUsers,69155,69155,100.0,0,0.0
3,UserPreferencesHideLightningMigrationModal,69155,69155,100.0,0,0.0
4,UserPreferencesHideSfxWelcomeMat,69155,69155,100.0,0,0.0
5,UserPreferencesHideBiggerPhotoCallout,69155,69155,100.0,0,0.0
6,UserPreferencesGlobalNavBarWTShown,69155,69155,100.0,0,0.0
7,UserPreferencesGlobalNavGridMenuWTShown,69155,69155,100.0,0,0.0
8,UserPreferencesCreateLEXAppsWTShown,69155,69155,100.0,0,0.0
9,UserPreferencesFavoritesWTShown,69155,69155,100.0,0,0.0
10,UserPreferencesRecordHomeSectionCollapseWTShown,69155,69155,100.0,0,0.0
11,UserPreferencesRecordHomeReservedWTShown,69155,69155,100.0,0,0.0
12,UserPreferencesFavoritesShowTopFavorites,69155,69155,100.0,0,0.0
13,UserPreferencesExcludeMailAppAttachments,69155,69155,100.0,0,0.0
14,UserPreferencesSuppressTaskSFXReminders,69155,69155,100.0,0,0.0
15,UserPreferencesSuppressEventSFXReminders,69155,69155,100.0,0,0.0
16,UserPreferencesPreviewCustomTheme,69155,69155,100.0,0,0.0
17,UserPreferencesHasCelebrationBadge,69155,69155,100.0,0,0.0
18,UserPreferencesUserDebugModePref,69155,69155,100.0,0,0.0
19,UserPreferencesSRHOverrideActivities,69155,69155,100.0,0,0.0
20,UserPreferencesNewLightningReportRunPageEnabled,69155,69155,100.0,0,0.0
21,UserPreferencesNativeEmailClient,69155,69155,100.0,0,0.0
22,IGTD_Manage_Case_Responsible__c,69155,69155,100.0,0,0.0
23,UserPreferencesEnableArticleCommentForum__c,69155,69155,100.0,0,0.0
24,UserPreferencesHideEndUserOnboardingAssistantModal,69155,69155,100.0,0,0.0
25,UserPreferencesLightningExperiencePreferred,69155,69155,100.0,0,0.0
26,UserPreferencesShowStreetAddressToGuestUsers,69155,69155,100.0,0,0.0
27,UserPreferencesShowCityToGuestUsers,69155,69155,100.0,0,0.0
28,UserPreferencesShowMobilePhoneToExternalUsers,69155,69155,100.0,0,0.0
29,UserPreferencesShowFaxToExternalUsers,69155,69155,100.0,0,0.0
30,UserPreferencesShowStreetAddressToExternalUsers,69155,69155,100.0,0,0.0
31,UserPreferencesShowCityToExternalUsers,69155,69155,100.0,0,0.0
32,UserPreferencesShowStateToExternalUsers,69155,69155,100.0,0,0.0
33,UserPreferencesShowPostalCodeToExternalUsers,69155,69155,100.0,0,0.0
34,UserPreferencesShowCountryToExternalUsers,69155,69155,100.0,0,0.0
35,UserPreferencesShowProfilePicToGuestUsers,69155,69155,100.0,0,0.0
36,UserPreferencesShowTitleToGuestUsers,69155,69155,100.0,0,0.0
37,UserPreferencesShowStateToGuestUsers,69155,69155,100.0,0,0.0
38,UserPreferencesShowMobilePhoneToGuestUsers,69155,69155,100.0,0,0.0
39,UserPreferencesShowPostalCodeToGuestUsers,69155,69155,100.0,0,0.0
40,UserPreferencesShowCountryToGuestUsers,69155,69155,100.0,0,0.0
41,UserPreferencesHideS1BrowserUI,69155,69155,100.0,0,0.0
42,UserPreferencesDisableEndorsementEmail,69155,69155,100.0,0,0.0
43,UserPreferencesPathAssistantCollapsed,69155,69155,100.0,0,0.0
44,UserPreferencesCacheDiagnostics,69155,69155,100.0,0,0.0
45,UserPreferencesShowEmailToGuestUsers,69155,69155,100.0,0,0.0
46,UserPreferencesShowManagerToGuestUsers,69155,69155,100.0,0,0.0
47,UserPreferencesShowWorkPhoneToGuestUsers,69155,69155,100.0,0,0.0
48,IsPortalEnabled,69155,69155,100.0,0,0.0
49,FullPhotoUrl,69155,69155,100.0,0,0.0
50,SmallPhotoUrl,69155,69155,100.0,0,0.0
51,Einstein_Analytics_User__c,69155,69155,100.0,0,0.0
52,Is_Lightning_enabled__c,69155,69155,100.0,0,0.0
53,UserPreferencesEnableAllFeedsForum__c,69155,69155,100.0,0,0.0
54,Full_name__c,69155,69155,100.0,0,0.0
55,ADLS_LOADED_DATE,69155,69155,100.0,0,0.0
56,LAST_UPDATED_DATE,69155,69155,100.0,0,0.0
57,Permission_For_Data_Loader__c,69155,69155,100.0,0,0.0
58,Indirect_Sales_User__c,69155,69155,100.0,0,0.0
59,EMT_User__c,69155,69155,100.0,0,0.0
60,UserPreferenceForMailsOnTopicActivity__c,69155,69155,100.0,0,0.0
61,echosign_dev1__EchoSign_Email_Verified__c,69155,69155,100.0,0,0.0
62,Functional_System_User__c,69155,69155,100.0,0,0.0
63,echosign_dev1__EchoSign_Allow_Delegated_Sending__c,69155,69155,100.0,0,0.0
64,Is_GatewayUrl__c,69155,69155,100.0,0,0.0
65,CSM_CheckCTMANDTAMUser__c,69155,69155,100.0,0,0.0
66,Is_CSM_User_FF__c,69155,69155,100.0,0,0.0
67,CSM_User__c,69155,69155,100.0,0,0.0
68,Previous_User_Status__c,69155,69155,100.0,0,0.0
69,RoleName__c,69155,69155,100.0,0,0.0
70,B2B_Preferences_Set__c,69155,69155,100.0,0,0.0
71,Consent_Opt_In__c,69155,69155,100.0,0,0.0
72,UserPreferencesEnableCommentForum__c,69155,69155,100.0,0,0.0
73,SFDC_User_ID__c,69155,69155,100.0,0,0.0
74,IsExtIndicatorVisible,69155,69155,100.0,0,0.0
75,Activate_for_Training__c,69155,69155,100.0,0,0.0
76,UserPreferencesEnableArticleCommentEmail__c,69155,69155,100.0,0,0.0
77,DigestFrequency,69155,69155,100.0,0,0.0
78,DefaultGroupNotificationFrequency,69155,69155,100.0,0,0.0
