Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,10783,10783,100.0,0,0.0
2,LastModifiedDate,10783,10783,100.0,0,0.0
3,OwnerId,10783,10783,100.0,0,0.0
4,ADLS_LOADED_DATE,10783,10783,100.0,0,0.0
5,LAST_UPDATED_DATE,10783,10783,100.0,0,0.0
6,LastModifiedById,10783,10783,100.0,0,0.0
7,SystemModstamp,10783,10783,100.0,0,0.0
8,CreatedById,10783,10783,100.0,0,0.0
9,CreatedDate,10783,10783,100.0,0,0.0
10,CurrencyIsoCode,10783,10783,100.0,0,0.0
11,Name,10783,10783,100.0,0,0.0
12,IsDeleted,10783,10783,100.0,0,0.0
13,PSA_Checklist_Category__c,10753,10783,99.7,30,0.3
14,PSA_Checklist_Template__c,10711,10783,99.3,72,0.7
15,PSA_Status__c,9467,10783,87.8,1316,12.2
16,PSA_Project__c,9462,10783,87.7,1321,12.3
17,PSA_Project_Sales_Order__c,9268,10783,86.0,1515,14.0
18,PSA_Attachment_Name_Chapter__c,9268,10783,86.0,1515,14.0
19,PSA_Chapter__c,9268,10783,86.0,1515,14.0
20,PSA_Checklist_Performer__c,8979,10783,83.3,1804,16.7
21,PSA_Checklist_Performed_Date__c,7611,10783,70.6,3172,29.4
22,MayEdit,4569,10783,42.4,6214,57.6
23,IsLocked,4569,10783,42.4,6214,57.6
24,PSA_Comments__c,294,10783,2.7,10489,97.3
25,ConnectionSentId,0,10783,0.0,10783,100.0
26,Risk__c,0,10783,0.0,10783,100.0
27,ConnectionReceivedId,0,10783,0.0,10783,100.0
28,LastReferencedDate,0,10783,0.0,10783,100.0
29,LastViewedDate,0,10783,0.0,10783,100.0
