Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,471202,471202,100.0,0,0.0
2,SystemModstamp,471202,471202,100.0,0,0.0
3,LAST_UPDATED_DATE,471202,471202,100.0,0,0.0
4,ADLS_LOADED_DATE,471202,471202,100.0,0,0.0
5,PSA_Not_Applicable__c,471202,471202,100.0,0,0.0
6,IsDeleted,471202,471202,100.0,0,0.0
7,Checklist__c,471202,471202,100.0,0,0.0
8,PSA_Complete__c,471202,471202,100.0,0,0.0
9,LastModifiedById,471202,471202,100.0,0,0.0
10,Name,471202,471202,100.0,0,0.0
11,LastModifiedDate,471202,471202,100.0,0,0.0
12,CreatedById,471202,471202,100.0,0,0.0
13,CurrencyIsoCode,471202,471202,100.0,0,0.0
14,CreatedDate,471202,471202,100.0,0,0.0
15,PSA_Section_Header__c,470617,471202,99.9,585,0.1
16,PSA_Sort_Order__c,470617,471202,99.9,585,0.1
17,PSA_Section_Sort_Order__c,470617,471202,99.9,585,0.1
18,PSA_Question_Description__c,470617,471202,99.9,585,0.1
19,PSA_Help_Text_CQR__c,358057,471202,76.0,113145,24.0
20,PSA_Completed_on__c,334720,471202,71.0,136482,29.0
21,MayEdit,237677,471202,50.4,233525,49.6
22,IsLocked,237677,471202,50.4,233525,49.6
23,PSA_Notes__c,49300,471202,10.5,421902,89.5
24,ConnectionReceivedId,0,471202,0.0,471202,100.0
25,ConnectionSentId,0,471202,0.0,471202,100.0
