Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,16369,16369,100.0,0,0.0
2,ADLS_LOADED_DATE,16369,16369,100.0,0,0.0
3,IsDeleted,16369,16369,100.0,0,0.0
4,Market__c,16369,16369,100.0,0,0.0
5,CAF_eForm_StatusIcon__c,16369,16369,100.0,0,0.0
6,CAF_eForm_Status_2__c,16368,16369,100.0,1,0.0
7,Project__c,16369,16369,100.0,0,0.0
8,Customer_Rep_Signatures_Required__c,16369,16369,100.0,0,0.0
9,has_sDoc_File__c,16369,16369,100.0,0,0.0
10,Open_Items_Closure_Signature_Needed__c,16369,16369,100.0,0,0.0
11,SystemModstamp,16369,16369,100.0,0,0.0
12,LastModifiedById,16369,16369,100.0,0,0.0
13,LastModifiedDate,16369,16369,100.0,0,0.0
14,CreatedById,16369,16369,100.0,0,0.0
15,CreatedDate,16369,16369,100.0,0,0.0
16,LAST_UPDATED_DATE,16369,16369,100.0,0,0.0
17,CurrencyIsoCode,16369,16369,100.0,0,0.0
18,Name,16369,16369,100.0,0,0.0
19,DMS_Upload_Status__c,16362,16369,100.0,7,0.0
20,Philips_Representative_Title__c,16345,16369,99.9,24,0.1
21,AdobeSign_Agreement_Template__c,16343,16369,99.8,26,0.2
22,Document_Name__c,16344,16369,99.8,25,0.2
23,CAF_Config_Table__c,16343,16369,99.8,26,0.2
24,Selected_SalesOrders__c,16344,16369,99.8,25,0.2
25,Philips_Sales_Order_Number__c,16344,16369,99.8,25,0.2
26,Philips_Representative__c,16335,16369,99.8,34,0.2
27,Language__c,16344,16369,99.8,25,0.2
28,CAF_eForm_Status__c,16344,16369,99.8,25,0.2
29,CAF_eForm_Status_PL__c,16344,16369,99.8,25,0.2
30,Customer_Address__c,16339,16369,99.8,30,0.2
31,Reviewer__c,16300,16369,99.6,69,0.4
32,Customer_Representative__c,16284,16369,99.5,85,0.5
33,Customer_Contract_PO_Number__c,16252,16369,99.3,117,0.7
34,IsLocked,9482,16369,57.9,6887,42.1
35,MayEdit,9482,16369,57.9,6887,42.1
36,Telephone__c,7907,16369,48.3,8462,51.7
37,Quotation_RFP_Tender_Number__c,7742,16369,47.3,8627,52.7
38,Other_Information__c,7256,16369,44.3,9113,55.7
39,Customer_Representative_Title__c,7259,16369,44.3,9110,55.7
40,Serial_Number__c,5856,16369,35.8,10513,64.2
41,CAD__c,5409,16369,33.0,10960,67.0
42,Local_Room_Number__c,3408,16369,20.8,12961,79.2
43,One_Call_Equipment_ID__c,3125,16369,19.1,13244,80.9
44,Installation_record__c,2382,16369,14.6,13987,85.4
45,GBS_Email__c,1275,16369,7.8,15094,92.2
46,Customer_Representative_2__c,247,16369,1.5,16122,98.5
47,Customer_Representative_2_Title__c,244,16369,1.5,16125,98.5
48,LastActivityDate,120,16369,0.7,16249,99.3
49,CAF_Config_Table_2nd_LookUp__c,40,16369,0.2,16329,99.8
50,ConnectionReceivedId,0,16369,0.0,16369,100.0
51,SDOC_Template_Id__c,0,16369,0.0,16369,100.0
52,LastReferencedDate,1,16369,0.0,16368,100.0
53,LastViewedDate,1,16369,0.0,16368,100.0
54,RecordTypeId,1,16369,0.0,16368,100.0
55,Customer_Name__c,1,16369,0.0,16368,100.0
56,ConnectionSentId,0,16369,0.0,16369,100.0
