Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,881627,881627,100.0,0,0.0
2,pse__Non_Billable_Hours_Submitted__c,881626,881627,100.0,1,0.0
3,DynamiOrgUrl__c,881627,881627,100.0,0,0.0
4,pse__Disable_Project_Task_Hours_Roll_Up__c,881627,881627,100.0,0,0.0
5,pse__Timecard_Internal_Costs_Submitted__c,881627,881627,100.0,0,0.0
6,pse__Timecard_Internal_Costs_In_Financials__c,881626,881627,100.0,1,0.0
7,pse__Timecard_External_Costs_Submitted__c,881627,881627,100.0,0,0.0
8,pse__Timecard_External_Costs_In_Financials__c,881627,881627,100.0,0,0.0
9,pse__Target_Date__c,881627,881627,100.0,0,0.0
10,pse__Status__c,881286,881627,100.0,341,0.0
11,pse__Requires_Customer_Sign_off__c,881627,881627,100.0,0,0.0
12,pse__Non_Billable_Hours_In_Financials__c,881627,881627,100.0,0,0.0
13,pse__Estimated_Time_To_Completion__c,881622,881627,100.0,5,0.0
14,pse__Non_Billable_Expenses_Submitted__c,881627,881627,100.0,0,0.0
15,pse__Non_Billable_Expenses_In_Financials__c,881627,881627,100.0,0,0.0
16,pse__Non_Billable_Days_Submitted__c,881627,881627,100.0,0,0.0
17,pse__Non_Billable_Days_In_Financials__c,881627,881627,100.0,0,0.0
18,pse__Milestone_Cost__c,881614,881627,100.0,13,0.0
19,pse__Milestone_Amount__c,881627,881627,100.0,0,0.0
20,pse__Log_Milestone_Cost_As_External__c,881627,881627,100.0,0,0.0
21,pse__Invoiced__c,881627,881627,100.0,0,0.0
22,pse__Include_In_Financials__c,881627,881627,100.0,0,0.0
23,Remaining_Credits__c,881627,881627,100.0,0,0.0
24,Remaining_Hours__c,881627,881627,100.0,0,0.0
25,Sales_Order_Change_Status__c,881627,881627,100.0,0,0.0
26,ffps_phea__Is_SMA__c,881627,881627,100.0,0,0.0
27,LAST_UPDATED_DATE,881627,881627,100.0,0,0.0
28,ADLS_LOADED_DATE,881627,881627,100.0,0,0.0
29,PSA_Deliverable_SOLI_Truncate__c,881627,881627,100.0,0,0.0
30,PSA_Sum_of_Bank_Doc_Values__c,881627,881627,100.0,0,0.0
31,PSA_Balance_Value__c,881627,881627,100.0,0,0.0
32,psaws__Project_Manager_Is_Current_User__c,881627,881627,100.0,0,0.0
33,psaws__Project_Is_Active__c,881627,881627,100.0,0,0.0
34,psaws__Milestone_Is_Late__c,881627,881627,100.0,0,0.0
35,pse__Action_Refresh_Timecard_Rollups__c,881627,881627,100.0,0,0.0
36,pse__Action_Refresh_Expense_Rollups__c,881627,881627,100.0,0,0.0
37,PSA_Number_of_SWO__c,881627,881627,100.0,0,0.0
38,PSA_Number_of_SWO_TECO_Sucess__c,881627,881627,100.0,0,0.0
39,PSA_Reprocess_Soldseat_posting__c,881627,881627,100.0,0,0.0
40,PSA_Ready_for_Sold_seat_Transfer__c,881627,881627,100.0,0,0.0
41,PSA_Feature_Option__c,881627,881627,100.0,0,0.0
42,CPM_Percentage_Completion_Hours__c,881627,881627,100.0,0,0.0
43,Group_Title__c,881627,881627,100.0,0,0.0
44,ffps_phea__Override_Planned_Hours__c,881627,881627,100.0,0,0.0
45,OwnerId,881627,881627,100.0,0,0.0
46,pse__Exclude_from_Billing__c,881627,881627,100.0,0,0.0
47,ffps_phea__Planned_Hours_Rollup__c,881627,881627,100.0,0,0.0
48,pse__Eligible_for_Billing__c,881627,881627,100.0,0,0.0
49,pse__Billed__c,881627,881627,100.0,0,0.0
50,pse__Billable_Hours_In_Financials__c,881625,881627,100.0,2,0.0
51,LastModifiedById,881627,881627,100.0,0,0.0
52,pse__Billable_Expenses_In_Financials__c,881627,881627,100.0,0,0.0
53,pse__Billable_Days_Submitted__c,881625,881627,100.0,2,0.0
54,pse__Billable_Days_In_Financials__c,881625,881627,100.0,2,0.0
55,pse__Approved__c,881627,881627,100.0,0,0.0
56,pse__Approved_for_Billing__c,881627,881627,100.0,0,0.0
57,pse__Admin_Global_Edit__c,881627,881627,100.0,0,0.0
58,pse__Billable_Amount_Submitted__c,881627,881627,100.0,0,0.0
59,pse__Billable_Amount_In_Financials__c,881627,881627,100.0,0,0.0
60,IsDeleted,881627,881627,100.0,0,0.0
61,Name,881627,881627,100.0,0,0.0
62,CurrencyIsoCode,881627,881627,100.0,0,0.0
63,pse__Approved_for_Vendor_Payment__c,881627,881627,100.0,0,0.0
64,SystemModstamp,881627,881627,100.0,0,0.0
65,CreatedDate,881627,881627,100.0,0,0.0
66,CreatedById,881627,881627,100.0,0,0.0
67,pse__Billable_Hours_Submitted__c,881625,881627,100.0,2,0.0
68,pse__Billable_Expenses_Submitted__c,881627,881627,100.0,0,0.0
69,LastModifiedDate,881627,881627,100.0,0,0.0
70,pse__Closed_for_Time_Entry__c,881627,881627,100.0,0,0.0
71,pse__Billing_Event_Released__c,881627,881627,100.0,0,0.0
72,pse__Billing_Event_Invoiced__c,881627,881627,100.0,0,0.0
73,pse__Billing_Hold__c,881627,881627,100.0,0,0.0
74,pse__Closed_for_Expense_Entry__c,881627,881627,100.0,0,0.0
75,pse__Apply_Default_Bill_Rate_to_Timecard__c,881627,881627,100.0,0,0.0
76,pse__Default_Bill_Rate_is_Daily_Rate__c,881627,881627,100.0,0,0.0
