Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,164,164,100.0,0,0.0
2,pse__Planned_Margin__c,164,164,100.0,0,0.0
3,pse__Historical_Utilization_Target__c,164,164,100.0,0,0.0
4,pse__Include_In_Forecasting__c,164,164,100.0,0,0.0
5,pse__Internal_Budget__c,164,164,100.0,0,0.0
6,pse__Internal_Costs__c,164,164,100.0,0,0.0
7,pse__Invoiced__c,164,164,100.0,0,0.0
8,pse__Margin__c,164,164,100.0,0,0.0
9,pse__Non_Billable_External_Hours__c,164,164,100.0,0,0.0
10,pse__Non_Billable_Internal_Hours__c,164,164,100.0,0,0.0
11,OwnerId,164,164,100.0,0,0.0
12,pse__Pass_Through_Billings__c,164,164,100.0,0,0.0
13,pse__Planned_Billings__c,164,164,100.0,0,0.0
14,pse__Planned_Bookings__c,164,164,100.0,0,0.0
15,pse__Planned_External_Costs__c,164,164,100.0,0,0.0
16,pse__Planned_Internal_Costs__c,164,164,100.0,0,0.0
17,pse__Planned_Revenue__c,164,164,100.0,0,0.0
18,pse__Hierarchy_Depth__c,164,164,100.0,0,0.0
19,pse__Planned_Utilization__c,164,164,100.0,0,0.0
20,pse__Practice_ID_Chain__c,164,164,100.0,0,0.0
21,pse__Practice_Name_Chain__c,164,164,100.0,0,0.0
22,pse__Pre_Billed__c,164,164,100.0,0,0.0
23,pse__Revenue__c,164,164,100.0,0,0.0
24,pse__Scheduled_Utilization_Target_Attainment__c,164,164,100.0,0,0.0
25,pse__Scheduled_Utilization_Target__c,164,164,100.0,0,0.0
26,pse__Total_Costs__c,164,164,100.0,0,0.0
27,pse__Utilization_Target_Attainment__c,164,164,100.0,0,0.0
28,pse__Utilization_Target__c,164,164,100.0,0,0.0
29,pse__Utilization__c,164,164,100.0,0,0.0
30,pse__Exclude_From_Utilization__c,164,164,100.0,0,0.0
31,ADLS_LOADED_DATE,164,164,100.0,0,0.0
32,LAST_UPDATED_DATE,164,164,100.0,0,0.0
33,pse__Historical_Utilization_Target_Attainment__c,164,164,100.0,0,0.0
34,pse__Other_Costs__c,164,164,100.0,0,0.0
35,pse__Excluded_Hours__c,164,164,100.0,0,0.0
36,pse__Expense_Costs__c,164,164,100.0,0,0.0
37,Name,164,164,100.0,0,0.0
38,CurrencyIsoCode,164,164,100.0,0,0.0
39,pse__Billable_External_Hours__c,164,164,100.0,0,0.0
40,pse__Billable_Internal_Hours__c,164,164,100.0,0,0.0
41,pse__Billed__c,164,164,100.0,0,0.0
42,pse__Billings__c,164,164,100.0,0,0.0
43,pse__Bookings__c,164,164,100.0,0,0.0
44,pse__Credited_Non_Billable_Internal_Hours__c,164,164,100.0,0,0.0
45,pse__Action_Update_Current_Time_Period__c,164,164,100.0,0,0.0
46,pse__Expense_Budget__c,164,164,100.0,0,0.0
47,IsDeleted,164,164,100.0,0,0.0
48,CreatedDate,164,164,100.0,0,0.0
49,SystemModstamp,164,164,100.0,0,0.0
50,LastModifiedDate,164,164,100.0,0,0.0
51,CreatedById,164,164,100.0,0,0.0
52,LastModifiedById,164,164,100.0,0,0.0
53,pse__External_Costs__c,164,164,100.0,0,0.0
54,pse__Scheduled_Utilization_Excluded_Hours__c,163,164,99.4,1,0.6
55,pse__Scheduled_Utilization_Credited_Hours__c,163,164,99.4,1,0.6
56,pse__Scheduled_Utilization_Calendar_Hours__c,163,164,99.4,1,0.6
57,pse__Scheduled_Utilization_Target_Hours__c,163,164,99.4,1,0.6
58,pse__Scheduled_Utilization__c,163,164,99.4,1,0.6
59,pse__Scheduled_Utilization_Non_Billable_Hrs__c,163,164,99.4,1,0.6
60,pse__Scheduled_Utilization_Billable_Hours__c,163,164,99.4,1,0.6
61,pse__Scheduled_Time__c,163,164,99.4,1,0.6
62,pse__Scheduled_Milestone__c,163,164,99.4,1,0.6
63,pse__Total_Utilization__c,163,164,99.4,1,0.6
64,pse__Unscheduled_Backlog__c,163,164,99.4,1,0.6
