Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,393497,393497,100.0,0,0.0
2,SCORM_Information_Sent__c,393497,393497,100.0,0,0.0
3,Historic_Avg_Bill_Rate__c,393497,393497,100.0,0,0.0
4,Historic_Avg_Cost_Rate__c,393497,393497,100.0,0,0.0
5,Margin_Variance_Pct__c,393497,393497,100.0,0,0.0
6,Margin_at_Completion__c,393497,393497,100.0,0,0.0
7,Opp_Probablity__c,393497,393497,100.0,0,0.0
8,Overhead_Cost_Amount__c,393497,393497,100.0,0,0.0
9,Percentage_Complete_Hrs__c,393497,393497,100.0,0,0.0
10,Number_Of_Open_CPM_Issues__c,393497,393497,100.0,0,0.0
11,Sign_In_Uploaded__c,393497,393497,100.0,0,0.0
12,Revenue_To_Be_Recognized__c,393497,393497,100.0,0,0.0
13,Schedule_Consumed__c,393479,393497,100.0,18,0.0
14,ffps_pmsc__Project_Contacts_Created__c,393497,393497,100.0,0,0.0
15,PLC_Access_Code__c,393497,393497,100.0,0,0.0
16,Monitor_Config__c,393497,393497,100.0,0,0.0
17,Initial_Education_Letter__c,393497,393497,100.0,0,0.0
18,Not_Milestone_Relevant__c,393497,393497,100.0,0,0.0
19,Total_Timecard_Hours__c,393497,393497,100.0,0,0.0
20,Unscheduled_Billings__c,393497,393497,100.0,0,0.0
21,Unscheduled_Costs__c,393497,393497,100.0,0,0.0
22,Unscheduled_Hours__c,393497,393497,100.0,0,0.0
23,PSA_Remote_Access_Permission__c,393497,393497,100.0,0,0.0
24,pse__Requires_Dependency_Sync__c,393497,393497,100.0,0,0.0
25,Future_Expense_Costs__c,393497,393497,100.0,0,0.0
26,Display_Timecards__c,393497,393497,100.0,0,0.0
27,pse__Copy_Child_Records_from_Template_Async__c,393497,393497,100.0,0,0.0
28,Id__c,393497,393497,100.0,0,0.0
29,pse__Exclude_from_Project_Variance_Batch__c,393497,393497,100.0,0,0.0
30,pse__Time_Credited__c,393497,393497,100.0,0,0.0
31,pse__Time_Excluded__c,393497,393497,100.0,0,0.0
32,FSE_Total_Project_Progress_Days__c,393497,393497,100.0,0,0.0
33,pse__Total_Costs__c,393497,393497,100.0,0,0.0
34,pse__Total_Number_of_Tasks__c,393497,393497,100.0,0,0.0
35,pse__Unscheduled_Backlog__c,393497,393497,100.0,0,0.0
36,Hours_Remaining__c,393497,393497,100.0,0,0.0
37,Turn_Key__c,393497,393497,100.0,0,0.0
38,PSA_Cross_Border__c,393497,393497,100.0,0,0.0
39,Andrew_Test__c,393497,393497,100.0,0,0.0
40,Display_Milestones__c,393497,393497,100.0,0,0.0
41,PSA_Direct_Export__c,393497,393497,100.0,0,0.0
42,PSR_Todays_Date__c,393497,393497,100.0,0,0.0
43,Milestone_Project_update__c,393497,393497,100.0,0,0.0
44,Billable_Hours_Consumed__c,393497,393497,100.0,0,0.0
45,Budget_Consumed_Expenses__c,393497,393497,100.0,0,0.0
46,Budget_Consumed__c,393497,393497,100.0,0,0.0
47,Actual_Less_Travel_Time__c,393497,393497,100.0,0,0.0
48,Cap_Billings_at_Budget__c,393497,393497,100.0,0,0.0
49,Cost_Consumed__c,393497,393497,100.0,0,0.0
50,Display_Expenses__c,393497,393497,100.0,0,0.0
51,Education_Summary_Letter__c,393497,393497,100.0,0,0.0
52,Education_Materials_Sent__c,393497,393497,100.0,0,0.0
53,pse__Tasks_Total_Percent_Complete_Points__c,393497,393497,100.0,0,0.0
54,PSA_Philips_Target_Value__c,393327,393497,100.0,170,0.0
55,Is_Site_Name_Set_Via_DLRS__c,393497,393497,100.0,0,0.0
56,Is_Site_Address_Set_Via_DLRS__c,393497,393497,100.0,0,0.0
57,LAST_UPDATED_DATE,393497,393497,100.0,0,0.0
58,PSA_Current_Program_Status__c,393470,393497,100.0,27,0.0
59,pse__ExcludeProjectFromDisplayOnBilling__c,393497,393497,100.0,0,0.0
60,pse__Add_BEIs_To_Existing_Batches__c,393497,393497,100.0,0,0.0
61,Number_of_Open_MoveOut_Issues_No_Status__c,393497,393497,100.0,0,0.0
62,Number_of_Open_MoveOut_Issues_App_Rej__c,393497,393497,100.0,0,0.0
63,SMAX_Prontoform__c,393327,393497,100.0,170,0.0
64,Number_of_Closed_MoveOut_Issues__c,393497,393497,100.0,0,0.0
65,PSA_LSP__c,393327,393497,100.0,170,0.0
66,CPA_Post_Contract_Letter__c,393497,393497,100.0,0,0.0
67,Display_Assignments__c,393497,393497,100.0,0,0.0
68,Display_Closed_Issues__c,393497,393497,100.0,0,0.0
69,Display_Gantt_Tasks__c,393497,393497,100.0,0,0.0
70,Display_Notes__c,393497,393497,100.0,0,0.0
71,Display_Open_Issues__c,393497,393497,100.0,0,0.0
72,Display_Project_Changes__c,393497,393497,100.0,0,0.0
73,Display_Project_Contacts__c,393497,393497,100.0,0,0.0
74,Display_Risk_Plan__c,393497,393497,100.0,0,0.0
75,Display_Sales_Orders__c,393497,393497,100.0,0,0.0
76,Display_Status__c,393497,393497,100.0,0,0.0
77,ADLS_LOADED_DATE,393497,393497,100.0,0,0.0
78,CPA_Pre_Contract_letter__c,393497,393497,100.0,0,0.0
79,Budget_Status_Icon__c,393497,393497,100.0,0,0.0
80,Display_Clinical_Risks__c,393497,393497,100.0,0,0.0
81,Customer_Satisfaction_Status_Icon__c,393497,393497,100.0,0,0.0
82,Project_Status_Icon__c,393497,393497,100.0,0,0.0
83,Schedule_Status_Icon__c,393497,393497,100.0,0,0.0
84,Scope_Status_Icon__c,393497,393497,100.0,0,0.0
85,Time_Attributed__c,393497,393497,100.0,0,0.0
86,pse__Billing_Queues_Need_Recalc__c,393497,393497,100.0,0,0.0
87,PSA_Multi_facility__c,393497,393497,100.0,0,0.0
88,Project_Record_Type__c,393497,393497,100.0,0,0.0
89,Display_Clinical_Status__c,393497,393497,100.0,0,0.0
90,Display_Clinical_Sales_Orders__c,393497,393497,100.0,0,0.0
91,Display_Clinical_Project_Contacts__c,393497,393497,100.0,0,0.0
92,Classroom_Setup__c,393497,393497,100.0,0,0.0
93,Display_Clinical_Issues__c,393497,393497,100.0,0,0.0
94,Display_Clinical_Gantt_Tasks__c,393497,393497,100.0,0,0.0
95,Display_Clinical_Assignments__c,393497,393497,100.0,0,0.0
96,Number_of_Open_Issues__c,393497,393497,100.0,0,0.0
97,OwnerId,393497,393497,100.0,0,0.0
