Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,188846,188846,100.0,0,0.0
2,psa_report__Project_Name__c,188771,188846,100.0,75,0.0
3,Lapsed_Days_Ready_to_Staff__c,188846,188846,100.0,0,0.0
4,OwnerId,188846,188846,100.0,0,0.0
5,Lapse_Days__c,188839,188846,100.0,7,0.0
6,Lapse_Days_Status__c,188846,188846,100.0,0,0.0
7,Current_Date__c,188839,188846,100.0,7,0.0
8,pse__Exclude_from_Planners__c,188846,188846,100.0,0,0.0
9,pse__Eligible_for_Schedule_Recalculation__c,188846,188846,100.0,0,0.0
10,pse__Update_Related_Resource_Requests__c,188846,188846,100.0,0,0.0
11,Project_Manager__c,188768,188846,100.0,78,0.0
12,pse__Suggested_Bill_Rate__c,188846,188846,100.0,0,0.0
13,pse__Start_Date__c,188846,188846,100.0,0,0.0
14,pse__Staffer_Approval_Required__c,188846,188846,100.0,0,0.0
15,pse__SOW_Hours__c,188846,188846,100.0,0,0.0
16,pse__Resource_Role__c,188844,188846,100.0,2,0.0
17,pse__Resource_Held__c,188846,188846,100.0,0,0.0
18,pse__Request_Priority__c,188834,188846,100.0,12,0.0
19,Lapsed_Days_Total__c,188846,188846,100.0,0,0.0
20,Ready_to_Staff_Status__c,188846,188846,100.0,0,0.0
21,pse__Region__c,188838,188846,100.0,8,0.0
22,PSA_Parent_Resource_Request__c,188846,188846,100.0,0,0.0
23,MayEdit,188846,188846,100.0,0,0.0
24,psa_DynamiOrgUrl__c,188846,188846,100.0,0,0.0
25,pse__Allow_Candidates_to_Self_Nominate__c,188846,188846,100.0,0,0.0
26,LAST_UPDATED_DATE,188846,188846,100.0,0,0.0
27,ADLS_LOADED_DATE,188846,188846,100.0,0,0.0
28,PSA_Is_Suggested_Resource_Current_User__c,188846,188846,100.0,0,0.0
29,PSA_RR_Name_Planner__c,188846,188846,100.0,0,0.0
30,PSA_Days_Open__c,188846,188846,100.0,0,0.0
31,pse__Exclude_From_Utilization__c,188846,188846,100.0,0,0.0
32,PSA_Unassigned_Since__c,188846,188846,100.0,0,0.0
33,PSA_Reprocess__c,188846,188846,100.0,0,0.0
34,PSA_Opportunity_Resource_Request_URL__c,188846,188846,100.0,0,0.0
35,PSA_Accepted_with_different_schedule__c,188846,188846,100.0,0,0.0
36,psaws__Requires_Staffing__c,188846,188846,100.0,0,0.0
37,psaws__Project_Manager_Is_Current_User__c,188846,188846,100.0,0,0.0
38,psaws__Close_To_Start_Date__c,188846,188846,100.0,0,0.0
39,pse__Request_Billable_Amount__c,188846,188846,100.0,0,0.0
40,IsLocked,188846,188846,100.0,0,0.0
41,pse__Average_Cost_Rate__c,188846,188846,100.0,0,0.0
42,pse__End_Date__c,188846,188846,100.0,0,0.0
43,pse__Opportunity_Probability__c,188846,188846,100.0,0,0.0
44,LastModifiedDate,188846,188846,100.0,0,0.0
45,pse__Percent_Allocated__c,188814,188846,100.0,32,0.0
46,CreatedById,188846,188846,100.0,0,0.0
47,pse__Account_Link__c,188846,188846,100.0,0,0.0
48,LastModifiedById,188846,188846,100.0,0,0.0
49,CreatedDate,188846,188846,100.0,0,0.0
50,SystemModstamp,188846,188846,100.0,0,0.0
51,RecordTypeId,188785,188846,100.0,61,0.0
52,CurrencyIsoCode,188846,188846,100.0,0,0.0
53,Name,188846,188846,100.0,0,0.0
54,IsDeleted,188846,188846,100.0,0,0.0
55,pse__Project__c,188771,188846,100.0,75,0.0
56,pse__Practice__c,187756,188846,99.4,1090,0.6
57,PSA_Project_Stage__c,186054,188846,98.5,2792,1.5
58,Service_Region_1__c,183966,188846,97.4,4880,2.6
59,pse__Status__c,183856,188846,97.4,4990,2.6
60,Service_Region__c,183761,188846,97.3,5085,2.7
61,PSA_Country__c,180483,188846,95.6,8363,4.4
62,Site_Address__c,179458,188846,95.0,9388,5.0
63,Site_Name__c,177945,188846,94.2,10901,5.8
64,pse__AccountId__c,169646,188846,89.8,19200,10.2
65,pse__Opportunity__c,169495,188846,89.8,19351,10.2
66,pse__Account__c,169646,188846,89.8,19200,10.2
67,PSA_Account_Manager_Name__c,169495,188846,89.8,19351,10.2
68,Sales_Orders__c,168256,188846,89.1,20590,10.9
69,PSA_Integration_Status__c,159107,188846,84.3,29739,15.7
70,PSA_External_ID__c,159101,188846,84.2,29745,15.8
71,PSA_Type__c,150498,188846,79.7,38348,20.3
72,pse__Resource__c,150157,188846,79.5,38689,20.5
73,pse__Staffer_Resource__c,148144,188846,78.4,40702,21.6
74,DMS_Link__c,146374,188846,77.5,42472,22.5
75,PSA_Postal_Code__c,144450,188846,76.5,44396,23.5
76,pse__Preferred_Schedule__c,143879,188846,76.2,44967,23.8
77,pse__Assignment__c,142496,188846,75.5,46350,24.5
78,PSA_Account_Manager_Email__c,139805,188846,74.0,49041,26.0
79,PSA_Territory__c,134297,188846,71.1,54549,28.9
80,PSA_State_Province__c,130019,188846,68.8,58827,31.2
81,Date_Set_to_Ready_to_Staff2__c,105987,188846,56.1,82859,43.9
82,pse__Notes__c,105788,188846,56.0,83058,44.0
83,TRP_Rejection_Reason_del__c,100432,188846,53.2,88414,46.8
84,SWO__c,96132,188846,50.9,92714,49.1
85,SWO_Nr__c,71572,188846,37.9,117274,62.1
86,pse__Rate_Card__c,64016,188846,33.9,124830,66.1
87,pse__Milestone__c,51937,188846,27.5,136909,72.5
88,Zone__c,36325,188846,19.2,152521,80.8
89,pse__Resource_Request_Name__c,21366,188846,11.3,167480,88.7
90,PSA_Event_Type__c,21257,188846,11.3,167589,88.7
91,PSA_Project_Manager__c,12615,188846,6.7,176231,93.3
92,PSA_Requested_Start_Time__c,12145,188846,6.4,176701,93.6
93,PSA_Chapter__c,11943,188846,6.3,176903,93.7
94,PSA_Project_Order_Link__c,11943,188846,6.3,176903,93.7
95,PSA_Parent_RR_No__c,11929,188846,6.3,176917,93.7
96,pse__Average_Cost_Rate_Number__c,11411,188846,6.0,177435,94.0
97,pse__Average_Cost_Rate_Currency_Code__c,11411,188846,6.0,177435,94.0
98,PSA_Delivery_Contact_New__c,6758,188846,3.6,182088,96.4
99,PSA_Delivery_Contact_Email__c,6626,188846,3.5,182220,96.5
100,SMA_SESContractNumber__c,6618,188846,3.5,182228,96.5
101,Reason_For_Change__c,5547,188846,2.9,183299,97.1
102,pse__Suggested_Bill_Rate_Number__c,5157,188846,2.7,183689,97.3
103,pse__Suggested_Bill_Rate_Currency_Code__c,5157,188846,2.7,183689,97.3
104,Delivery_Contact_Phone__c,3845,188846,2.0,185001,98.0
105,PSA_Planner_Notes__c,3733,188846,2.0,185113,98.0
106,PSA_Smax_Assignment__c,3438,188846,1.8,185408,98.2
107,PSA_Indicator_for_Different_Schedule__c,3416,188846,1.8,185430,98.2
108,pse__Requested_Bill_Rate__c,1780,188846,0.9,187066,99.1
109,pse__Primary_Skill_Certification__c,1307,188846,0.7,187539,99.3
110,pse__Primary_Skill_Minimum_Rating__c,1230,188846,0.7,187616,99.3
111,PSA_Date_Set_to_Hold_Request__c,1255,188846,0.7,187591,99.3
112,pse__Planned_Bill_Rate__c,1006,188846,0.5,187840,99.5
113,PSA_Modality__c,950,188846,0.5,187896,99.5
114,PSA_Hospital_Clinical_Contact_Email__c,780,188846,0.4,188066,99.6
115,PSA_Customer_Clinical_Contact__c,802,188846,0.4,188044,99.6
116,PSA_Hospital_Clinical_Contact_Phone__c,448,188846,0.2,188398,99.8
117,pse__Group__c,331,188846,0.2,188515,99.8
118,Escalation_Reason__c,137,188846,0.1,188709,99.9
119,Escalated_By__c,124,188846,0.1,188722,99.9
120,Regional_Service_Manager__c,124,188846,0.1,188722,99.9
121,PSA_Delivery_Contact__c,0,188846,0.0,188846,100.0
122,pse__Work_PostalCode_PSA__c,0,188846,0.0,188846,100.0
123,pse__Work_State_PSA__c,0,188846,0.0,188846,100.0
124,Date_Set_to_Pending_RSM_Approval2__c,0,188846,0.0,188846,100.0
125,pse__Work_Country_PSA__c,0,188846,0.0,188846,100.0
126,pse__Work_City_PSA__c,0,188846,0.0,188846,100.0
127,pse__Resource_Request_Set__c,0,188846,0.0,188846,100.0
128,pse__Utilization_Run__c,0,188846,0.0,188846,100.0
129,pse__Information_for_Prospective_Candidates__c,0,188846,0.0,188846,100.0
130,pse__Self_Nomination_Deadline__c,0,188846,0.0,188846,100.0
131,PSA_Fulfillment_Request__c,2,188846,0.0,188844,100.0
132,pse__Staffed_Related_Resource_Request__c,0,188846,0.0,188846,100.0
133,LastViewedDate,0,188846,0.0,188846,100.0
134,PSA_Hospital_Clinical_Contact__c,0,188846,0.0,188846,100.0
135,ConnectionSentId,0,188846,0.0,188846,100.0
136,Delivery_Contact_Name__c,0,188846,0.0,188846,100.0
137,Lapsed_Days_Pending_FSE_Approval__c,0,188846,0.0,188846,100.0
138,Lapsed_Days_Pending_RSM_Approval__c,0,188846,0.0,188846,100.0
139,Pending_FSE_Approval_Status__c,0,188846,0.0,188846,100.0
140,Pending_RSM_Approval_Status__c,0,188846,0.0,188846,100.0
