Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,163093,163093,100.0,0,0.0
2,LastModifiedById,163093,163093,100.0,0,0.0
3,LAST_UPDATED_DATE,163093,163093,100.0,0,0.0
4,ADLS_LOADED_DATE,163093,163093,100.0,0,0.0
5,Sales_Order_Line_Reason_For_Rejection__c,163093,163093,100.0,0,0.0
6,Sales_Order_Line_External_ID__c,163093,163093,100.0,0,0.0
7,Sales_Order_Line_DeletionDate__c,163093,163093,100.0,0,0.0
8,OwnerId,163093,163093,100.0,0,0.0
9,SystemModstamp,163093,163093,100.0,0,0.0
10,LastModifiedDate,163093,163093,100.0,0,0.0
11,CreatedById,163093,163093,100.0,0,0.0
12,CreatedDate,163093,163093,100.0,0,0.0
13,CurrencyIsoCode,163093,163093,100.0,0,0.0
14,Name,163093,163093,100.0,0,0.0
15,IsDeleted,163093,163093,100.0,0,0.0
16,MayEdit,86568,163093,53.1,76525,46.9
17,IsLocked,86568,163093,53.1,76525,46.9
18,ConnectionReceivedId,0,163093,0.0,163093,100.0
19,ConnectionSentId,0,163093,0.0,163093,100.0
