Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,28940,28940,100.0,0,0.0
2,ADLS_LOADED_DATE,28940,28940,100.0,0,0.0
3,Risk_Category__c,28937,28940,100.0,3,0.0
4,Risk_Response_Plan__c,28940,28940,100.0,0,0.0
5,Risk_Symptoms__c,28940,28940,100.0,0,0.0
6,Risk__c,28940,28940,100.0,0,0.0
7,Status__c,28940,28940,100.0,0,0.0
8,Impacts_Revenue_Forecast__c,28940,28940,100.0,0,0.0
9,Include_in_Project_Risk_Management_Plan__c,28940,28940,100.0,0,0.0
10,PSA_Pre_Sales__c,28940,28940,100.0,0,0.0
11,LAST_UPDATED_DATE,28940,28940,100.0,0,0.0
12,SystemModstamp,28940,28940,100.0,0,0.0
13,LastModifiedById,28940,28940,100.0,0,0.0
14,LastModifiedDate,28940,28940,100.0,0,0.0
15,CreatedById,28940,28940,100.0,0,0.0
16,CreatedDate,28940,28940,100.0,0,0.0
17,CurrencyIsoCode,28940,28940,100.0,0,0.0
18,Name,28940,28940,100.0,0,0.0
19,IsDeleted,28940,28940,100.0,0,0.0
20,OwnerId,28940,28940,100.0,0,0.0
21,RecordTypeId,28819,28940,99.6,121,0.4
22,Project__c,28801,28940,99.5,139,0.5
23,Region__c,28800,28940,99.5,140,0.5
24,Project_Manager__c,28799,28940,99.5,141,0.5
25,Practice__c,28800,28940,99.5,140,0.5
26,PSA_Country__c,27534,28940,95.1,1406,4.9
27,Risk_Event_Description__c,26263,28940,90.7,2677,9.3
28,Opportunity__c,24533,28940,84.8,4407,15.2
29,Revenue_Alert__c,22636,28940,78.2,6304,21.8
30,PSA_Customer_Name__c,18302,28940,63.2,10638,36.8
31,Response_Strategy__c,16552,28940,57.2,12388,42.8
32,Risk_Type__c,15603,28940,53.9,13337,46.1
33,Impact__c,15289,28940,52.8,13651,47.2
34,Probability__c,15028,28940,51.9,13912,48.1
35,Risk_Value__c,14811,28940,51.2,14129,48.8
36,Date_Resolved__c,13218,28940,45.7,15722,54.3
37,Assigned_To__c,11425,28940,39.5,17515,60.5
38,Zone__c,8553,28940,29.6,20387,70.4
39,MayEdit,7913,28940,27.3,21027,72.7
40,IsLocked,7913,28940,27.3,21027,72.7
41,Project_Sales_Orders__c,1492,28940,5.2,27448,94.8
42,PSA_Comments__c,290,28940,1.0,28650,99.0
43,PSA_Contract__c,165,28940,0.6,28775,99.4
44,PSA_Due_Date__c,77,28940,0.3,28863,99.7
45,LastReferencedDate,0,28940,0.0,28940,100.0
46,LastViewedDate,0,28940,0.0,28940,100.0
47,LastActivityDate,10,28940,0.0,28930,100.0
48,ConnectionSentId,0,28940,0.0,28940,100.0
49,ConnectionReceivedId,0,28940,0.0,28940,100.0
