Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,11975454,11975454,100.0,0,0.0
2,IsDeleted,11975454,11975454,100.0,0,0.0
3,AccountId,11975454,11975454,100.0,0,0.0
4,CreatedById,11975454,11975454,100.0,0,0.0
5,CreatedDate,11975454,11975454,100.0,0,0.0
6,Field,11975454,11975454,100.0,0,0.0
7,DataType,11975454,11975454,100.0,0,0.0
8,ADLS_LOADED_DATE,11975454,11975454,100.0,0,0.0
9,LAST_UPDATED_DATE,11975454,11975454,100.0,0,0.0
10,NewValue,9814711,11975454,82.0,2160743,18.0
11,OldValue,6847470,11975454,57.2,5127984,42.8
