Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,185638,185638,100.0,0,0.0
2,Description__c,185580,185638,100.0,58,0.0
3,ADLS_LOADED_DATE,185638,185638,100.0,0,0.0
4,Response_Time__c,185638,185638,100.0,0,0.0
5,Data_Redacted__c,185638,185638,100.0,0,0.0
6,Information_Only__c,185638,185638,100.0,0,0.0
7,Action_Plan_Contributed_to_Solution__c,185638,185638,100.0,0,0.0
8,OwnerId,185638,185638,100.0,0,0.0
9,Expected_Completion_Date__c,185638,185638,100.0,0,0.0
10,Status__c,185637,185638,100.0,1,0.0
11,LAST_UPDATED_DATE,185638,185638,100.0,0,0.0
12,LastModifiedById,185638,185638,100.0,0,0.0
13,CreatedDate,185638,185638,100.0,0,0.0
14,RecordTypeId,185638,185638,100.0,0,0.0
15,Name,185638,185638,100.0,0,0.0
16,CreatedById,185638,185638,100.0,0,0.0
17,LastModifiedDate,185638,185638,100.0,0,0.0
18,SystemModstamp,185638,185638,100.0,0,0.0
19,IsDeleted,185638,185638,100.0,0,0.0
20,Next_Action_Due_Date__c,181985,185638,98.0,3653,2.0
21,Escalation_Level__c,112167,185638,60.4,73471,39.6
22,Next_PAO__c,108935,185638,58.7,76703,41.3
23,Action_Plan_Executor_Role__c,76720,185638,41.3,108918,58.7
24,Sub_Case_Owner__c,72955,185638,39.3,112683,60.7
25,DateTime_Submitted__c,65002,185638,35.0,120636,65.0
26,Tier_Assigned__c,60935,185638,32.8,124703,67.2
27,Tier_3_Start_Time__c,58936,185638,31.7,126702,68.3
28,Tier_2_Start_Time__c,36565,185638,19.7,149073,80.3
29,Sub_Case__c,13739,185638,7.4,171899,92.6
30,Escalation__c,11083,185638,6.0,174555,94.0
31,Case_OwnerId__c,11083,185638,6.0,174555,94.0
32,Action_Plan__c,4062,185638,2.2,181576,97.8
33,LastActivityDate,1295,185638,0.7,184343,99.3
34,LastViewedDate,0,185638,0.0,185638,100.0
35,Escalation_Owner__c,0,185638,0.0,185638,100.0
36,Reason_for_Redaction__c,3,185638,0.0,185635,100.0
37,ConnectionSentId,0,185638,0.0,185638,100.0
38,ConnectionReceivedId,0,185638,0.0,185638,100.0
39,LastReferencedDate,0,185638,0.0,185638,100.0
