Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,433939,433939,100.0,0,0.0
2,Response_Time__c,433939,433939,100.0,0,0.0
3,ADLS_LOADED_DATE,433939,433939,100.0,0,0.0
4,Sub_Case_Indexed__c,433939,433939,100.0,0,0.0
5,Status__c,433931,433939,100.0,8,0.0
6,S_SystemModstamp__c,433939,433939,100.0,0,0.0
7,S_RecordTypeId__c,433939,433939,100.0,0,0.0
8,S_OwnerId__c,433939,433939,100.0,0,0.0
9,S_Name__c,433939,433939,100.0,0,0.0
10,S_LastModifiedDate__c,433939,433939,100.0,0,0.0
11,S_LastModifiedById__c,433939,433939,100.0,0,0.0
12,S_IsDeleted__c,433939,433939,100.0,0,0.0
13,S_Id__c,433939,433939,100.0,0,0.0
14,S_Id_Indexed__c,433939,433939,100.0,0,0.0
15,S_CreatedDate__c,433939,433939,100.0,0,0.0
16,CreatedById,433939,433939,100.0,0,0.0
17,S_CreatedById__c,433939,433939,100.0,0,0.0
18,LAST_UPDATED_DATE,433939,433939,100.0,0,0.0
19,Escalation_Indexed__c,433939,433939,100.0,0,0.0
20,CreatedDate,433939,433939,100.0,0,0.0
21,Information_Only__c,433939,433939,100.0,0,0.0
22,SystemModstamp,433939,433939,100.0,0,0.0
23,Action_Plan_Contributed_to_Solution__c,433939,433939,100.0,0,0.0
24,Expected_Completion_Date__c,433939,433939,100.0,0,0.0
25,Data_Redacted__c,433939,433939,100.0,0,0.0
26,Description__c,433925,433939,100.0,14,0.0
27,Next_Action_Due_Date__c,417830,433939,96.3,16109,3.7
28,Escalation_Level__c,290533,433939,67.0,143406,33.0
29,Case_OwnerId__c,290647,433939,67.0,143292,33.0
30,Escalation__c,290647,433939,67.0,143292,33.0
31,Next_PAO__c,274538,433939,63.3,159401,36.7
32,Action_Plan_Executor_Role__c,194331,433939,44.8,239608,55.2
33,Sub_Case_Owner__c,143154,433939,33.0,290785,67.0
34,Sub_Case__c,143292,433939,33.0,290647,67.0
35,DateTime_Submitted__c,133979,433939,30.9,299960,69.1
36,Tier_Assigned__c,129241,433939,29.8,304698,70.2
37,Tier_3_Start_Time__c,127477,433939,29.4,306462,70.6
38,Action_Plan__c,81655,433939,18.8,352284,81.2
39,Tier_2_Start_Time__c,81665,433939,18.8,352274,81.2
40,S_LastActivityDate__c,3202,433939,0.7,430737,99.3
41,S_LastViewedDate__c,4,433939,0.0,433935,100.0
42,Escalation_Owner__c,0,433939,0.0,433939,100.0
43,S_ConnectionSentId__c,0,433939,0.0,433939,100.0
44,S_ConnectionReceivedId__c,0,433939,0.0,433939,100.0
45,Reason_for_Redaction__c,9,433939,0.0,433930,100.0
46,S_LastReferencedDate__c,4,433939,0.0,433935,100.0
