Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,33680,33680,100.0,0,0.0
2,ESMX_IsQuoteApprover__c,33680,33680,100.0,0,0.0
3,ESMX_Line_Price_Sent_to_SAP__c,33680,33680,100.0,0,0.0
4,ESMX_Line_Type_Formula__c,33680,33680,100.0,0,0.0
5,ESMX_Locally_Approved__c,33680,33680,100.0,0,0.0
6,ESMX_Merged_Item_Check__c,33680,33680,100.0,0,0.0
7,ESMX_Net_Price__c,33680,33680,100.0,0,0.0
8,ESMX_Prepayment_Amount__c,33677,33680,100.0,3,0.0
9,CreatedById,33680,33680,100.0,0,0.0
10,ESMX_Select_To_Reset__c,33680,33680,100.0,0,0.0
11,ESMX_Tax_Groupings__c,33680,33680,100.0,0,0.0
12,ESMX_Total_Price__c,33680,33680,100.0,0,0.0
13,ESMX_Valid_Line__c,33680,33680,100.0,0,0.0
14,FSA_Downloadable__c,33680,33680,100.0,0,0.0
15,SAP_Labor_Material__c,33680,33680,100.0,0,0.0
16,SVMXC_Line_Type__c,33680,33680,100.0,0,0.0
17,SVMXC_Quantity2__c,33680,33680,100.0,0,0.0
18,SVMXC_Quote_Indexed__c,33680,33680,100.0,0,0.0
19,SVMXC_Quote__c,33680,33680,100.0,0,0.0
20,SVMXC_Select__c,33680,33680,100.0,0,0.0
21,S_CreatedById__c,33680,33680,100.0,0,0.0
22,S_CreatedDate__c,33680,33680,100.0,0,0.0
23,S_Id_Indexed__c,33680,33680,100.0,0,0.0
24,S_Id__c,33680,33680,100.0,0,0.0
25,S_IsDeleted__c,33680,33680,100.0,0,0.0
26,S_LastModifiedById__c,33680,33680,100.0,0,0.0
27,S_LastModifiedDate__c,33680,33680,100.0,0,0.0
28,S_Name__c,33680,33680,100.0,0,0.0
29,S_SystemModstamp__c,33680,33680,100.0,0,0.0
30,Sum_Of_Discounts__c,33680,33680,100.0,0,0.0
31,ADLS_LOADED_DATE,33680,33680,100.0,0,0.0
32,ESMX_Is_Merged__c,33680,33680,100.0,0,0.0
33,LAST_UPDATED_DATE,33680,33680,100.0,0,0.0
34,ESMX_Approval_Status_Formula__c,33680,33680,100.0,0,0.0
35,ESMX_BackUp_Queue_Processed__c,33680,33680,100.0,0,0.0
36,ESMX_Globally_Approved__c,33680,33680,100.0,0,0.0
37,CreatedDate,33680,33680,100.0,0,0.0
38,SystemModstamp,33680,33680,100.0,0,0.0
39,ESMX_Event_Type_Labor_Indexed__c,33680,33680,100.0,0,0.0
40,ESMX_Tax_2__c,33655,33680,99.9,25,0.1
41,ESMX_Discount_rate__c,33658,33680,99.9,22,0.1
42,ESMX_Tax_1__c,33651,33680,99.9,29,0.1
43,SVMXC_Hidden_Unit_Price__c,33304,33680,98.9,376,1.1
44,ESMX_Tax2_Amount__c,33279,33680,98.8,401,1.2
45,SVMXC_Unit_Price2__c,33275,33680,98.8,405,1.2
46,ESMX_Tax1_Amount__c,33275,33680,98.8,405,1.2
47,SVMXC_Line_Description__c,21667,33680,64.3,12013,35.7
48,ESMX_Currency__c,18906,33680,56.1,14774,43.9
49,ESMX_Gross_Price__c,18684,33680,55.5,14996,44.5
50,ESMX_Tax_2_Amount__c,18693,33680,55.5,14987,44.5
51,ESMX_Tax_1_Amount__c,18684,33680,55.5,14996,44.5
52,ESMX_Net_Prices__c,18322,33680,54.4,15358,45.6
53,ESMX_Target_price__c,18288,33680,54.3,15392,45.7
54,ESMX_Minimum_price__c,18288,33680,54.3,15392,45.7
55,ESMX_List_Price__c,18279,33680,54.3,15401,45.7
56,ESMX_Discount_Percent_Amount__c,18034,33680,53.5,15646,46.5
57,ESMX_SAP_Integration_Status__c,17909,33680,53.2,15771,46.8
58,ESMX_Minimum_price_vs_Unit_price__c,17914,33680,53.2,15766,46.8
59,ESMX_Target_Price_vs_Unit_Price__c,17914,33680,53.2,15766,46.8
60,ESMX_Quotation_Currency__c,17800,33680,52.9,15880,47.1
61,ESMX_UnitPriceStatus__c,17797,33680,52.8,15883,47.2
62,ESMX_SAP_Error_Message__c,17091,33680,50.7,16589,49.3
63,ESMX_Country__c,16384,33680,48.6,17296,51.4
64,ESMX_Part_Number__c,13580,33680,40.3,20100,59.7
65,ESMX_Event_Type_Labor__c,13587,33680,40.3,20093,59.7
66,SVMXC_Product__c,13580,33680,40.3,20100,59.7
67,FSA_Product_Name__c,13580,33680,40.3,20100,59.7
68,ESMX_Labor_Activity_Code__c,13588,33680,40.3,20092,59.7
69,ESMX_Maintenance_Window__c,12715,33680,37.8,20965,62.2
70,ESMX_Decisions_PST_Integration_status__c,11482,33680,34.1,22198,65.9
71,SVMXC_Discount_Type__c,8027,33680,23.8,25653,76.2
72,ESMX_Total_Discount__c,8027,33680,23.8,25653,76.2
73,ESMX_Activity_Labor__c,7812,33680,23.2,25868,76.8
74,ESMX_Approver__c,7462,33680,22.2,26218,77.8
75,ESMX_Approval_Status__c,7462,33680,22.2,26218,77.8
76,ESMX_Discount__c,4436,33680,13.2,29244,86.8
77,SVMXC_Price_Override__c,4056,33680,12.0,29624,88.0
78,SVMXC_Discount1579776650397__c,3582,33680,10.6,30098,89.4
79,ESMX_PST_Integration_Status__c,3431,33680,10.2,30249,89.8
80,ESMX_Part_Description__c,891,33680,2.6,32789,97.4
81,ESMX_Type_of_measure__c,813,33680,2.4,32867,97.6
82,ESMX_Merged_into_a_Service__c,718,33680,2.1,32962,97.9
83,ESMX_Quantity__c,510,33680,1.5,33170,98.5
84,ESMX_Approved_Discount__c,54,33680,0.2,33626,99.8
85,ESMX_Material_Tax_Class_1__c,64,33680,0.2,33616,99.8
86,SVMXC_Line_Price2__c,23,33680,0.1,33657,99.9
87,ESMX_Total_List_Price_Contract__c,26,33680,0.1,33654,99.9
88,ESMX_Discount_Per_Agreement__c,26,33680,0.1,33654,99.9
89,ESMX_ReasonPriceChange__c,22,33680,0.1,33658,99.9
90,ESMX_Amount_Covered_By_Contract__c,26,33680,0.1,33654,99.9
91,ESMX_Material_Pricing_Group__c,26,33680,0.1,33654,99.9
92,S_LastReferencedDate__c,0,33680,0.0,33680,100.0
93,ESMX_Additional_Item_Text_Information__c,10,33680,0.0,33670,100.0
94,ESMX_Approval_Submitted_TimeStamp__c,0,33680,0.0,33680,100.0
95,S_LastViewedDate__c,0,33680,0.0,33680,100.0
96,S_ConnectionSentId__c,0,33680,0.0,33680,100.0
97,ESMX_Approver_Name__c,0,33680,0.0,33680,100.0
98,ESMX_Approver_Phone__c,0,33680,0.0,33680,100.0
99,S_LastActivityDate__c,0,33680,0.0,33680,100.0
100,ESMX_Hours__c,0,33680,0.0,33680,100.0
101,S_ConnectionReceivedId__c,0,33680,0.0,33680,100.0
102,SVMXC_Service_Order_Line__c,0,33680,0.0,33680,100.0
103,ESMX_Approver_Role__c,0,33680,0.0,33680,100.0
104,ESMX_Covered_By_Contract__c,0,33680,0.0,33680,100.0
105,SVMXC_Discount__c,0,33680,0.0,33680,100.0
106,ESMX_Covered_By_Contract_copy__c,0,33680,0.0,33680,100.0
107,ESMX_Decision_Integration_Status__c,0,33680,0.0,33680,100.0
108,ESMX_Travel_Zones__c,0,33680,0.0,33680,100.0
109,ESMX_Decisions_Resend_Count__c,0,33680,0.0,33680,100.0
110,ESMX_Quote_Status__c,0,33680,0.0,33680,100.0
111,ESMX_Pricing_Date__c,4,33680,0.0,33676,100.0
112,ESMX_Move_To_Backup_TimeStamp__c,0,33680,0.0,33680,100.0
113,ESMX_Material_Tax_Class_2__c,0,33680,0.0,33680,100.0
114,ESMX_MPG__c,0,33680,0.0,33680,100.0
115,ESMX_External_Approver_Email__c,0,33680,0.0,33680,100.0
116,ESMX_Queue_Id__c,0,33680,0.0,33680,100.0
