Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,794286,794286,100.0,0,0.0
2,IsDeleted,794286,794286,100.0,0,0.0
3,ParentId,794286,794286,100.0,0,0.0
4,CreatedById,794286,794286,100.0,0,0.0
5,CreatedDate,794286,794286,100.0,0,0.0
6,Field,794286,794286,100.0,0,0.0
7,DataType,794286,794286,100.0,0,0.0
8,ADLS_LOADED_DATE,794286,794286,100.0,0,0.0
9,LAST_UPDATED_DATE,794286,794286,100.0,0,0.0
10,NewValue,582825,794286,73.4,211461,26.6
11,OldValue,295438,794286,37.2,498848,62.8
