Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,956610,956610,100.0,0,0.0
2,ESMX_Equipment_Received_Age__c,956609,956610,100.0,1,0.0
3,ESMX_Decontamination_Complete_Age__c,956609,956610,100.0,1,0.0
4,ESMX_Follow_Up_Work_Order_Identified_Age__c,956609,956610,100.0,1,0.0
5,ESMX_Part_Ordering_Follow_Up_Age__c,956609,956610,100.0,1,0.0
6,ESMX_Ready_For_Diagonsis_Age__c,956609,956610,100.0,1,0.0
7,ESMX_Ready_for_Equipment_Shipping_Age__c,956609,956610,100.0,1,0.0
8,ESMX_Repair_Complete_Age__c,956609,956610,100.0,1,0.0
9,ESMX_Awaiting_PO_Age__c,956609,956610,100.0,1,0.0
10,ESMX_Awaiting_Decontamination_Age__c,956609,956610,100.0,1,0.0
11,ESMX_Repair_Complt_Equipment_Shipped_Age__c,956609,956610,100.0,1,0.0
12,ESMX_All_Parts_Ready_for_Repair_Age__c,956609,956610,100.0,1,0.0
13,IsDeleted,956610,956610,100.0,0,0.0
14,RAttempted_to_Use_RSN_1_0__c,956610,956610,100.0,0,0.0
15,ServicedInternally__c,956610,956610,100.0,0,0.0
16,ESMX_Case__c,956610,956610,100.0,0,0.0
17,ADLS_LOADED_DATE,956610,956610,100.0,0,0.0
18,LAST_UPDATED_DATE,956610,956610,100.0,0,0.0
19,SystemModstamp,956610,956610,100.0,0,0.0
20,LastModifiedById,956610,956610,100.0,0,0.0
21,LastModifiedDate,956610,956610,100.0,0,0.0
22,CreatedById,956610,956610,100.0,0,0.0
23,CreatedDate,956610,956610,100.0,0,0.0
24,RecordTypeId,956610,956610,100.0,0,0.0
25,Name,956610,956610,100.0,0,0.0
26,ESMX_Engineer_Diagnosing_Repairing_Age__c,956609,956610,100.0,1,0.0
27,ESMX_Attempt__c,503023,956610,52.6,453587,47.4
28,ESMX_Status__c,502404,956610,52.5,454206,47.5
29,ESMX_WorkOrder__c,499350,956610,52.2,457260,47.8
30,ESMX_Green_Time_Stamp__c,319380,956610,33.4,637230,66.6
31,ESMX_Type__c,304955,956610,31.9,651655,68.1
32,ESMX_Method__c,183632,956610,19.2,772978,80.8
33,ESMX_Date_FSN_CIL_Sent__c,183547,956610,19.2,773063,80.8
34,ESMX_Sender__c,183111,956610,19.1,773499,80.9
35,ESMX_Customer_responded__c,179352,956610,18.7,777258,81.3
36,ESMX_Bench_Repair_Status__c,127008,956610,13.3,829602,86.7
37,ESMX_Last_Modified_Status_Time__c,118363,956610,12.4,838247,87.6
38,ESMX_casetobenchstatus_uniqueID__c,118046,956610,12.3,838564,87.7
39,Awaiting_Decontamination_Status_Time__c,111430,956610,11.6,845180,88.4
40,ESMX_Waiting_For_Action_Plan_Timestamp__c,106104,956610,11.1,850506,88.9
41,ESMX_Part_Ordering_Follow_Up_Status_Time__c,90426,956610,9.5,866184,90.5
42,Time_b_w_Equip_Rec_to_Awaiting_Decontam__c,88994,956610,9.3,867616,90.7
43,ESMX_Equipment_Received_Status_Time__c,89093,956610,9.3,867517,90.7
44,ESMX_Method_Type__c,86929,956610,9.1,869681,90.9
45,Decontamination_Complete_Status_Time__c,83395,956610,8.7,873215,91.3
46,time_bw_Awaiting_Decontam_to_Complete__c,83392,956610,8.7,873218,91.3
47,Physical_Location_of_Bench_Equipment__c,79133,956610,8.3,877477,91.7
48,ESMX_Awaiting_PO_Status_Time__c,76256,956610,8.0,880354,92.0
49,ESMX_Ready_For_Diagonsis_Status_Time__c,74863,956610,7.8,881747,92.2
50,Repair_Complete_Equip_Ship_Status_Time__c,72319,956610,7.6,884291,92.4
51,Time_bw_PartOrder_FollowUp_to_Await_PO__c,70508,956610,7.4,886102,92.6
52,Time_DecontaminationComplete_to_ReadyFor__c,64372,956610,6.7,892238,93.3
53,FollowUp_WorkOrder_Identified_StatusTime__c,60768,956610,6.4,895842,93.6
54,ESMX_Date_Customer_Responded__c,57050,956610,6.0,899560,94.0
55,Engnr_Diagnosing_Repairing_Status_Time__c,54116,956610,5.7,902494,94.3
56,ESMX_Repair_Complete_Status_Time__c,52736,956610,5.5,903874,94.5
57,Time_b_w_Ready_for_Diagno_to_Engg_Diagno__c,43127,956610,4.5,913483,95.5
58,Time_bw_Awaiting_PO_to_Follow_up_WO__c,43244,956610,4.5,913366,95.5
59,All_Parts_Ready_for_Repair_Status_Time__c,41975,956610,4.4,914635,95.6
60,Time_bw_Eng_Diag_to_Follow_up_WO__c,38323,956610,4.0,918287,96.0
61,Time_bw_Part_ReadyForRepair_to_FollowUp__c,35666,956610,3.7,920944,96.3
62,Time_bw_RepairComplete_to_ReadyForRepair__c,35030,956610,3.7,921580,96.3
63,ESMX_Yellow_Timestamp__c,32842,956610,3.4,923768,96.6
64,ESMX_Waiting_ActionPlan_Implement_Times__c,26294,956610,2.7,930316,97.3
65,Ready_for_Equipment_Shipping_Status_Time__c,25023,956610,2.6,931587,97.4
66,Time_bw_ReadyForEquipShip_to_RepairCompl__c,21464,956610,2.2,935146,97.8
67,Time_bw_Complete_EquipShip__c,20005,956610,2.1,936605,97.9
68,ESMX_Waiting_For_Customer_Timestamp__c,8726,956610,0.9,947884,99.1
69,ESMX_Waiting_For_More_Info_Timestamp__c,7053,956610,0.7,949557,99.3
70,ESMX_BU_Actively_Invest_Start_Time__c,4915,956610,0.5,951695,99.5
71,ESMX_Pending_Struct_solution_no_WA_Time__c,3323,956610,0.3,953287,99.7
72,ESMX_PM_Analysis_Phase_Timestamp__c,1919,956610,0.2,954691,99.8
73,ESMX_Pending_Struc_Sol_WA_Applied_Times__c,1522,956610,0.2,955088,99.8
74,ESMX_Pending_Parts_Avail_Start_Time__c,1063,956610,0.1,955547,99.9
75,ESMX_Tracking_Number__c,1380,956610,0.1,955230,99.9
76,ESMX_Ready_For_Diagonsis_Status_Time2__c,0,956610,0.0,956610,100.0
77,ESMX_Work_Order_2__c,0,956610,0.0,956610,100.0
78,ESMX_Attachment_of_Ack_from_Custom__c,0,956610,0.0,956610,100.0
79,ESMX_PM_Fault_Reprod_Phase_Timestamp__c,18,956610,0.0,956592,100.0
80,ESMX_PM_Root_Cause_Analysis_Phase_Timest__c,48,956610,0.0,956562,100.0
81,ESMX_PM_Solution_Phase_Timestamp__c,186,956610,0.0,956424,100.0
82,ESMX_PM_Start_Timestamp__c,0,956610,0.0,956610,100.0
83,ESMX_InProcess_Status_Timestamp__c,49,956610,0.0,956561,100.0
84,ConnectionSentId,0,956610,0.0,956610,100.0
85,ConnectionReceivedId,0,956610,0.0,956610,100.0
86,ESMX_Carrier__c,4,956610,0.0,956606,100.0
87,Engineer_Diagno_Repairing_Status_Time2__c,0,956610,0.0,956610,100.0
