Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,192255,192255,100.0,0,0.0
2,LastModifiedById,192255,192255,100.0,0,0.0
3,ADLS_LOADED_DATE,192255,192255,100.0,0,0.0
4,ESMX_Active__c,192255,192255,100.0,0,0.0
5,OwnerId,192255,192255,100.0,0,0.0
6,SystemModstamp,192255,192255,100.0,0,0.0
7,LAST_UPDATED_DATE,192255,192255,100.0,0,0.0
8,LastModifiedDate,192255,192255,100.0,0,0.0
9,CreatedById,192255,192255,100.0,0,0.0
10,CreatedDate,192255,192255,100.0,0,0.0
11,Name,192255,192255,100.0,0,0.0
12,IsDeleted,192255,192255,100.0,0,0.0
13,ESMX_Contract_Header__c,190842,192255,99.3,1413,0.7
14,ESMX_Service_Maintenance_Contract__c,190069,192255,98.9,2186,1.1
15,ESMX_Risk_Sharing_Model__c,185362,192255,96.4,6893,3.6
16,ConnectionReceivedId,0,192255,0.0,192255,100.0
17,ConnectionSentId,0,192255,0.0,192255,100.0
18,LastActivityDate,0,192255,0.0,192255,100.0
