Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,75039,75039,100.0,0,0.0
2,DoesIncludeBosses,75039,75039,100.0,0,0.0
3,ADLS_LOADED_DATE,75039,75039,100.0,0,0.0
4,SystemModstamp,75039,75039,100.0,0,0.0
5,LastModifiedById,75039,75039,100.0,0,0.0
6,LastModifiedDate,75039,75039,100.0,0,0.0
7,CreatedById,75039,75039,100.0,0,0.0
8,CreatedDate,75039,75039,100.0,0,0.0
9,DoesSendEmailToMembers,75039,75039,100.0,0,0.0
10,OwnerId,75039,75039,100.0,0,0.0
11,Type,75039,75039,100.0,0,0.0
12,DeveloperName,75039,75039,100.0,0,0.0
13,LAST_UPDATED_DATE,75039,75039,100.0,0,0.0
14,RelatedId,68959,75039,91.9,6080,8.1
15,Name,6087,75039,8.1,68952,91.9
16,Email,174,75039,0.2,74865,99.8
17,QueueRoutingConfigId,52,75039,0.1,74987,99.9
