Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,7051929,7051929,100.0,0,0.0
2,Case__c,7051929,7051929,100.0,0,0.0
3,Quick_Open__c,7051929,7051929,100.0,0,0.0
4,Sent_to_SAP__c,7051929,7051929,100.0,0,0.0
5,Labor_Billing__c,7051791,7051929,100.0,138,0.0
6,Hold_Til_Morning__c,7051929,7051929,100.0,0,0.0
7,Start_Time__c,7049856,7051929,100.0,2073,0.0
8,Delivered_Onsite__c,7051929,7051929,100.0,0,0.0
9,Acknowledge_AR_Warning__c,7051929,7051929,100.0,0,0.0
10,IsClickSendStatus__c,7051929,7051929,100.0,0,0.0
11,Category__c,7051929,7051929,100.0,0,0.0
12,Case_Reason_at_time_of_labor_creation__c,7051929,7051929,100.0,0,0.0
13,IsDeleted,7051929,7051929,100.0,0,0.0
14,Deleted_in_SAP__c,7051929,7051929,100.0,0,0.0
15,ADLS_LOADED_DATE,7051929,7051929,100.0,0,0.0
16,LAST_UPDATED_DATE,7051929,7051929,100.0,0,0.0
17,SystemModstamp,7051929,7051929,100.0,0,0.0
18,LastModifiedById,7051929,7051929,100.0,0,0.0
19,LastModifiedDate,7051929,7051929,100.0,0,0.0
20,CreatedById,7051929,7051929,100.0,0,0.0
21,CreatedDate,7051929,7051929,100.0,0,0.0
22,RecordTypeId,7051929,7051929,100.0,0,0.0
23,Name,7051929,7051929,100.0,0,0.0
24,Labor_External_ID__c,7046874,7051929,99.9,5055,0.1
25,Labor_Activity_Code__c,7040974,7051929,99.8,10955,0.2
26,Response_Code__c,6929309,7051929,98.3,122620,1.7
27,Operation_Number__c,6555725,7051929,93.0,496204,7.0
28,Planned_Start_Date_Time__c,5973440,7051929,84.7,1078489,15.3
29,Planned_End_Date_Time__c,5973248,7051929,84.7,1078681,15.3
30,Operation_Status__c,5874074,7051929,83.3,1177855,16.7
31,Duration_hours__c,4552711,7051929,64.6,2499218,35.4
32,End_Time__c,4552711,7051929,64.6,2499218,35.4
33,Operation_Description__c,4192711,7051929,59.5,2859218,40.5
34,Skill__c,4016706,7051929,57.0,3035223,43.0
35,Prior_SAP_Employee_Number__c,3878551,7051929,55.0,3173378,45.0
36,SAP_Employee_Number__c,3854159,7051929,54.7,3197770,45.3
37,Client_Start_Time__c,3635015,7051929,51.5,3416914,48.5
38,Client_End_Time__c,3388592,7051929,48.1,3663337,51.9
39,Work_Center__c,3266215,7051929,46.3,3785714,53.7
40,Activity_Type__c,2820029,7051929,40.0,4231900,60.0
41,FSE_Name__c,2291446,7051929,32.5,4760483,67.5
42,FSE_Number__c,2285857,7051929,32.4,4766072,67.6
43,Click_Status_Changed_Date_Time__c,2188302,7051929,31.0,4863627,69.0
44,Click_Status__c,2186909,7051929,31.0,4865020,69.0
45,Actual_End_Date_Time__c,2137311,7051929,30.3,4914618,69.7
46,Actual_Start_Date_Time__c,2139796,7051929,30.3,4912133,69.7
47,SAP_Labor_Activity_Code__c,2100472,7051929,29.8,4951457,70.2
48,Client_Actual_End_Date_Time__c,2057496,7051929,29.2,4994433,70.8
49,Client_Actual_Start_Date_Time__c,2059980,7051929,29.2,4991949,70.8
50,Onsite_Duration__c,1776076,7051929,25.2,5275853,74.8
51,Number_of_Engineers__c,1758881,7051929,24.9,5293048,75.1
52,EMS_Appointment_Scheduling_Status__c,241992,7051929,3.4,6809937,96.6
53,EMS_Appointed_By_Code_1_ID__c,185244,7051929,2.6,6866685,97.4
54,ConnectionReceivedId,0,7051929,0.0,7051929,100.0
55,ConnectionSentId,0,7051929,0.0,7051929,100.0
56,Operation_Type__c,2,7051929,0.0,7051927,100.0
57,Work_Performed__c,0,7051929,0.0,7051929,100.0
58,LastReferencedDate,16,7051929,0.0,7051913,100.0
59,LastViewedDate,16,7051929,0.0,7051913,100.0
60,FSE_WorkCenter__c,0,7051929,0.0,7051929,100.0
