Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,833058,833058,100.0,0,0.0
2,ADLS_LOADED_DATE,833058,833058,100.0,0,0.0
3,SVMXC__Select__c,833058,833058,100.0,0,0.0
4,SVMXC__Stockable__c,833058,833058,100.0,0,0.0
5,SVMXC__Inherit_Parent_Warranty__c,833058,833058,100.0,0,0.0
6,SVMXC__Enable_Serialized_Tracking__c,833058,833058,100.0,0,0.0
7,Weight__c,832957,833058,100.0,101,0.0
8,EMS_Product_Upgraded__c,833058,833058,100.0,0,0.0
9,System_Language__c,833056,833058,100.0,2,0.0
10,Multivendor_Flag__c,833058,833058,100.0,0,0.0
11,Local_Watch_List_Flag__c,833058,833058,100.0,0,0.0
12,Global_Watch_List_Flag__c,833058,833058,100.0,0,0.0
13,SAP_External_ID__c,833056,833058,100.0,2,0.0
14,Complaint_Reporting_System__c,833058,833058,100.0,0,0.0
15,ESMX_Record_Modified__c,833058,833058,100.0,0,0.0
16,SVMXC__SM_Enable_Batch_Lot_Tracking__c,833058,833058,100.0,0,0.0
17,SVMXC__Replacement_Available__c,833058,833058,100.0,0,0.0
18,IsArchived,833058,833058,100.0,0,0.0
19,Unit_of_Measure__c,832957,833058,100.0,101,0.0
20,ProductCode,833056,833058,100.0,2,0.0
21,IsActive,833058,833058,100.0,0,0.0
22,CreatedDate,833058,833058,100.0,0,0.0
23,CreatedById,833058,833058,100.0,0,0.0
24,LastModifiedDate,833058,833058,100.0,0,0.0
25,LastModifiedById,833058,833058,100.0,0,0.0
26,IsDeleted,833058,833058,100.0,0,0.0
27,SystemModstamp,833058,833058,100.0,0,0.0
28,Name,833058,833058,100.0,0,0.0
29,LAST_UPDATED_DATE,833058,833058,100.0,0,0.0
30,Weight_Unit__c,803314,833058,96.4,29744,3.6
31,Product_Hierarchy_Basic__c,706982,833058,84.9,126076,15.1
32,Sales_Mag__c,707027,833058,84.9,126031,15.1
33,Mag_Code__c,676434,833058,81.2,156624,18.8
34,Product_Modality__c,650338,833058,78.1,182720,21.9
35,Family,649679,833058,78.0,183379,22.0
36,ESMX_Lab_Office_Number_LU__c,604818,833058,72.6,228240,27.4
37,ESMX_Business_Group__c,593568,833058,71.3,239490,28.7
38,ESMX_ERO__c,593687,833058,71.3,239371,28.7
39,ESMX_Business_Unit__c,593687,833058,71.3,239371,28.7
40,ESMX_ProdToProduct_Hierarchy__c,562051,833058,67.5,271007,32.5
41,Contract_Coverage__c,481266,833058,57.8,351792,42.2
42,SVMXC__Product_Line__c,481188,833058,57.8,351870,42.2
43,ESMX_Serial_Number_Profile__c,375456,833058,45.1,457602,54.9
44,ESMX_Material_Availability__c,357116,833058,42.9,475942,57.1
45,ESMX_LHG_Description__c,355796,833058,42.7,477262,57.3
46,ESMX_Logistics_Handling_Group__c,354422,833058,42.5,478636,57.5
47,ESMX_Country_of_Origin__c,325050,833058,39.0,508008,61.0
48,Old_Product_Number__c,314529,833058,37.8,518529,62.2
49,ESMX_Lab_Office_Number__c,301669,833058,36.2,531389,63.8
50,ESMX_Trackwise_Ineligible__c,290865,833058,34.9,542193,65.1
51,SLI_to_SSD_Text__c,262665,833058,31.5,570393,68.5
52,SVMXC__Tracking__c,261441,833058,31.4,571617,68.6
53,Copy_of_SLI_to_SSD_Notes__c,261399,833058,31.4,571659,68.6
54,SVMXC__SM_Part_Procurable__c,218533,833058,26.2,614525,73.8
55,SVMXC__SM_Part_Repairable__c,218533,833058,26.2,614525,73.8
56,End_of_Life_EOL__c,207881,833058,25.0,625177,75.0
57,ESMX_Material_Authorization_Group__c,192554,833058,23.1,640504,76.9
58,number_of_search_product__c,187436,833058,22.5,645622,77.5
59,ESMX_DChain__c,185451,833058,22.3,647607,77.7
60,SVMXC__Unit_Of_Measure__c,143026,833058,17.2,690032,82.8
61,Traceability_Flag__c,105794,833058,12.7,727264,87.3
62,Trackwise_Date__c,39710,833058,4.8,793348,95.2
63,Hidden_Countries_for_CP__c,35928,833058,4.3,797130,95.7
64,SVMXC__SM_Life_Expectancy_Unit__c,22855,833058,2.7,810203,97.3
65,SAP_Product_Group_Description__c,11589,833058,1.4,821469,98.6
66,SAP_product_group__c,11592,833058,1.4,821466,98.6
67,Global_Product_Group__c,11724,833058,1.4,821334,98.6
68,Main_Sub_Block__c,5753,833058,0.7,827305,99.3
69,SLCP_Upgrade_Base_Product__c,3188,833058,0.4,829870,99.6
70,Global_Watch_List_Text__c,2304,833058,0.3,830754,99.7
71,Global_Watch_List_Indicator__c,2310,833058,0.3,830748,99.7
72,Radio_Frequency_Coil_Indicator__c,1649,833058,0.2,831409,99.8
73,Hazardous_Material__c,968,833058,0.1,832090,99.9
74,ESMX_Model_Number__c,481,833058,0.1,832577,99.9
75,LastReferencedDate,39,833058,0.0,833019,100.0
76,EOS__c,0,833058,0.0,833058,100.0
77,Business_Unit__c,205,833058,0.0,832853,100.0
78,Business_Line_Description__c,0,833058,0.0,833058,100.0
79,Business_Group__c,205,833058,0.0,832853,100.0
80,StockKeepingUnit,0,833058,0.0,833058,100.0
81,SVMXC__SM_External_ID__c,0,833058,0.0,833058,100.0
82,ConnectionSentId,0,833058,0.0,833058,100.0
83,ConnectionReceivedId,0,833058,0.0,833058,100.0
84,QuantityUnitOfMeasure,0,833058,0.0,833058,100.0
85,LastViewedDate,39,833058,0.0,833019,100.0
86,ESMX_Risk_Sharing_Model__c,0,833058,0.0,833058,100.0
87,SVMXC__SM_Expected_Margin__c,0,833058,0.0,833058,100.0
88,ESMX_Redaction_Ability__c,0,833058,0.0,833058,100.0
89,DisplayUrl,0,833058,0.0,833058,100.0
90,SVMXC__SM_Life_Expectancy__c,0,833058,0.0,833058,100.0
91,ExternalId,0,833058,0.0,833058,100.0
92,SVMXC__SM_End_of_Service_Life__c,0,833058,0.0,833058,100.0
93,SVMXC__SM_Expected_Uptime__c,0,833058,0.0,833058,100.0
94,RecordTypeId,0,833058,0.0,833058,100.0
95,ExternalDataSourceId,0,833058,0.0,833058,100.0
96,Description,1,833058,0.0,833057,100.0
97,Exchange_Price__c,0,833058,0.0,833058,100.0
98,ESMX_Software_Catalog_Deletion_Flag__c,0,833058,0.0,833058,100.0
99,MTTR__c,0,833058,0.0,833058,100.0
100,ESMX_MIC__c,0,833058,0.0,833058,100.0
101,Watch_List_Description__c,143,833058,0.0,832915,100.0
102,Sub_Modality_Field__c,20,833058,0.0,833038,100.0
103,Standard_Price__c,0,833058,0.0,833058,100.0
104,Software_Version_Number__c,1,833058,0.0,833057,100.0
105,SLI_to_SSD_NOTES__c,0,833058,0.0,833058,100.0
106,SVMXC__Product_Cost__c,0,833058,0.0,833058,100.0
107,SLCP_Indicator_del__c,6,833058,0.0,833052,100.0
108,SLCP_Indicator__c,330,833058,0.0,832728,100.0
109,Product_Group__c,0,833058,0.0,833058,100.0
110,Plant__c,199,833058,0.0,832859,100.0
111,PH4_Description__c,199,833058,0.0,832859,100.0
112,PH4_Code__c,199,833058,0.0,832859,100.0
113,ESMX_Default_Skill__c,1,833058,0.0,833057,100.0
114,ESMX_Logistic_handling__c,70,833058,0.0,832988,100.0
115,SVMXC__Product_Type__c,0,833058,0.0,833058,100.0
116,PH3_Description__c,199,833058,0.0,832859,100.0
117,PH3_Code__c,199,833058,0.0,832859,100.0
118,PH2_Description__c,199,833058,0.0,832859,100.0
119,PH2_Code__c,199,833058,0.0,832859,100.0
120,PH1_Description__c,198,833058,0.0,832860,100.0
121,PH1_Code__c,199,833058,0.0,832859,100.0
122,SVMXC__SM_Start_of_Service_Life__c,0,833058,0.0,833058,100.0
