Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,6300770,6300770,100.0,0,0.0
2,ESMX_Case_Subject__c,6300770,6300770,100.0,0,0.0
3,ESMX_Country__c,6299320,6300770,100.0,1450,0.0
4,ESMX_Block_Case_Closure__c,6300770,6300770,100.0,0,0.0
5,ESMX_Case_Event_Type__c,6299556,6300770,100.0,1214,0.0
6,ESMX_ActionOwnerIsCurrentUser__c,6300770,6300770,100.0,0,0.0
7,ESMX_Is_WD_Created__c,6300770,6300770,100.0,0,0.0
8,ESMX_Case_Escalated__c,6300770,6300770,100.0,0,0.0
9,ESMX_allow_owner_Change__c,6300770,6300770,100.0,0,0.0
10,ESMX_Restrict_L1_User__c,6300770,6300770,100.0,0,0.0
11,ESMX_Resource_Planner_Check__c,6300770,6300770,100.0,0,0.0
12,ESMX_PM_Planner_Check__c,6300770,6300770,100.0,0,0.0
13,ESMX_Owner_Matching__c,6300770,6300770,100.0,0,0.0
14,ESMX_Owner_Matches__c,6300770,6300770,100.0,0,0.0
15,ESMX_Is_Root_Cause_Products__c,6300770,6300770,100.0,0,0.0
16,IsDeleted,6300770,6300770,100.0,0,0.0
17,ESMX_Allow_L1_User__c,6300770,6300770,100.0,0,0.0
18,ESMX_T_V_Required__c,6300770,6300770,100.0,0,0.0
19,ESMX_Action_Progressing_Age__c,6300770,6300770,100.0,0,0.0
20,CreatedDate,6300770,6300770,100.0,0,0.0
21,LAST_UPDATED_DATE,6300770,6300770,100.0,0,0.0
22,Name,6300770,6300770,100.0,0,0.0
23,RecordTypeId,6300768,6300770,100.0,2,0.0
24,CreatedById,6300770,6300770,100.0,0,0.0
25,LastModifiedDate,6300770,6300770,100.0,0,0.0
26,LastModifiedById,6300770,6300770,100.0,0,0.0
27,SystemModstamp,6300770,6300770,100.0,0,0.0
28,ESMX_Processed__c,6300770,6300770,100.0,0,0.0
29,ADLS_LOADED_DATE,6300770,6300770,100.0,0,0.0
30,ESMX_T_M_IP__c,6300770,6300770,100.0,0,0.0
31,ESMX_Assigned_to_L3__c,6300770,6300770,100.0,0,0.0
32,SVMXC__Case__c,6300770,6300770,100.0,0,0.0
33,ESMX_Restrict_L2_Technician__c,6300770,6300770,100.0,0,0.0
34,ESMX_TPR_Review__c,6300770,6300770,100.0,0,0.0
35,ESMX_Completed_Total_Duration__c,6279746,6300770,99.7,21024,0.3
36,ESMX_BU_DecidedNot_to_Fix_Total_Duration__c,6279750,6300770,99.7,21020,0.3
37,ESMX_BUInvolvementNotReqdTotalDuration__c,6279750,6300770,99.7,21020,0.3
38,ESMX_Awaiting_R_D_Input_Total_Duration__c,6279746,6300770,99.7,21024,0.3
39,ESMX_Awaiting_R_D_Fix_Total_Duration__c,6279747,6300770,99.7,21023,0.3
40,ESMX_Action_Status__c,6279742,6300770,99.7,21028,0.3
41,Awaiting_Market_Input_Total_Duration__c,6279739,6300770,99.7,21031,0.3
42,ESMX_Event_Subtype__c,6274175,6300770,99.6,26595,0.4
43,ESMX_Investigated_Product_Code__c,6160294,6300770,97.8,140476,2.2
44,ESMX_Business_Unit__c,6066204,6300770,96.3,234566,3.7
45,ESMX_ERO__c,6066341,6300770,96.3,234429,3.7
46,ESMX_Business_Group__c,6066204,6300770,96.3,234566,3.7
47,ESMX_Customer_Temperature__c,5966619,6300770,94.7,334151,5.3
48,ESMX_Mass_Update_Reference_Line__c,5290557,6300770,84.0,1010213,16.0
49,ESMX_Select_Line__c,5290557,6300770,84.0,1010213,16.0
50,ESMX_SOSI__c,5290557,6300770,84.0,1010213,16.0
51,ESMX_Manual_IP_Processing__c,4297764,6300770,68.2,2003006,31.8
52,ESMX_In_Progress_Total_Duration__c,4257942,6300770,67.6,2042828,32.4
53,ESMX_New_Total_Duration__c,4232687,6300770,67.2,2068083,32.8
54,SVMXC__Line_Status__c,4010306,6300770,63.6,2290464,36.4
55,ESMX_Product_Name__c,3909251,6300770,62.0,2391519,38.0
56,SVMXC__Installed_Product__c,3909255,6300770,62.0,2391515,38.0
57,ESMX_IP_Status__c,3909254,6300770,62.0,2391516,38.0
58,ESMX_Modality__c,3907009,6300770,62.0,2393761,38.0
59,ESMX_Product_Code__c,3909251,6300770,62.0,2391519,38.0
60,PF_IPSite__c,3907347,6300770,62.0,2393423,38.0
61,ESMX_Serial_Number__c,3813167,6300770,60.5,2487603,39.5
62,ESMX_Action_Request_Created__c,3812421,6300770,60.5,2488349,39.5
63,ESMX_Product_Group__c,3573037,6300770,56.7,2727733,43.3
64,ESMX_Investigated_Product_Name__c,3447150,6300770,54.7,2853620,45.3
65,SVMXC__Product__c,3411443,6300770,54.1,2889327,45.9
66,ESMX_IPFunnctionalLocation__c,2986512,6300770,47.4,3314258,52.6
67,ESMX_TopLevel_IP_ProductCode__c,2502703,6300770,39.7,3798067,60.3
68,ESMX_Item_Number__c,2412080,6300770,38.3,3888690,61.7
69,ESMX_Sales_Order_Number__c,2412085,6300770,38.3,3888685,61.7
70,ESMX_Work_Detail__c,2294362,6300770,36.4,4006408,63.6
71,ESMX_ServiceStatus__c,2257518,6300770,35.8,4043252,64.2
72,ESMX_Action_Description__c,2223166,6300770,35.3,4077604,64.7
73,ESMX_Action_Due_Date__c,2209578,6300770,35.1,4091192,64.9
74,SVMXC__Product_Text__c,2204986,6300770,35.0,4095784,65.0
75,ESMX_Action_Owner_Role__c,2173218,6300770,34.5,4127552,65.5
76,ESMX_Account_Region__c,2158748,6300770,34.3,4142022,65.7
77,ESMX_Action_Owner__c,2107978,6300770,33.5,4192792,66.5
78,ESMX_Action_Owner_Name__c,2107978,6300770,33.5,4192792,66.5
79,ESMX_Response_Description__c,2090364,6300770,33.2,4210406,66.8
80,ESMX_Hub__c,2069172,6300770,32.8,4231598,67.2
81,ESMX_Completed_TimeStamp__c,1969510,6300770,31.3,4331260,68.7
82,ESMX_Action_Request_Age__c,1963945,6300770,31.2,4336825,68.8
83,ESMX_Action_Completion_Date__c,1898069,6300770,30.1,4402701,69.9
84,Esmx_PM_Service_Activity__c,1654526,6300770,26.3,4646244,73.7
85,SVMXC__Location__c,1652539,6300770,26.2,4648231,73.8
86,ESMX_UDI__c,1584389,6300770,25.1,4716381,74.9
87,ESMX_Software_Distribution_Status__c,1538535,6300770,24.4,4762235,75.6
88,ESMX_IP_External_Id__c,1507883,6300770,23.9,4792887,76.1
89,ESMX_DateTime_BUMandatory_assigned_to_L3__c,1091494,6300770,17.3,5209276,82.7
90,ESMX_FCO_Number__c,856460,6300770,13.6,5444310,86.4
91,ESMX_PM_History__c,685508,6300770,10.9,5615262,89.1
92,ESMX_Due_Date__c,659086,6300770,10.5,5641684,89.5
93,ESMX_Functional_Location_Name__c,602405,6300770,9.6,5698365,90.4
94,ESMX_IPRoomDepartment__c,598446,6300770,9.5,5702324,90.5
95,ESMX_Reason_for_Cancellation__c,439304,6300770,7.0,5861466,93.0
96,ESMX_Account_Name_Global__c,398073,6300770,6.3,5902697,93.7
97,ESMX_Action_Title__c,327499,6300770,5.2,5973271,94.8
98,ESMX_CIN__c,227540,6300770,3.6,6073230,96.4
99,ESMX_Labor_Hours__c,218500,6300770,3.5,6082270,96.5
100,ESMX_Service_Order__c,184211,6300770,2.9,6116559,97.1
101,ESMX_Event_Sub_type__c,94237,6300770,1.5,6206533,98.5
102,SVMXC__Serial_Number_List__c,96630,6300770,1.5,6204140,98.5
103,ESMX_Account__c,90268,6300770,1.4,6210502,98.6
104,PF_IPTechId__c,77883,6300770,1.2,6222887,98.8
105,ESMX_Investigated_Installed_Product__c,61600,6300770,1.0,6239170,99.0
106,ESMX_TechIdentNo__c,60958,6300770,1.0,6239812,99.0
107,ESMX_New_TimeStamp__c,62947,6300770,1.0,6237823,99.0
108,ESMX_Action_Request_Initial_Response__c,59726,6300770,0.9,6241044,99.1
109,ESMX_Action_Request_Accepted__c,59730,6300770,0.9,6241040,99.1
110,ESMX_Action_Req_Age__c,58671,6300770,0.9,6242099,99.1
111,ESMX_In_Progress_TimeStamp__c,58981,6300770,0.9,6241789,99.1
