Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,50863,50863,100.0,0,0.0
2,SVMXC__ChecklistJSON__c,50859,50863,100.0,4,0.0
3,ADLS_LOADED_DATE,50863,50863,100.0,0,0.0
4,SVMXC__What_Id__c,50859,50863,100.0,4,0.0
5,SVMXC__Status__c,50861,50863,100.0,2,0.0
6,OwnerId,50863,50863,100.0,0,0.0
7,SVMXC__ChecklistProcessID__c,50857,50863,100.0,6,0.0
8,SVMXC__ChecklistMetaJSON__c,50859,50863,100.0,4,0.0
9,LAST_UPDATED_DATE,50863,50863,100.0,0,0.0
10,IsDeleted,50863,50863,100.0,0,0.0
11,SystemModstamp,50863,50863,100.0,0,0.0
12,LastModifiedById,50863,50863,100.0,0,0.0
13,LastModifiedDate,50863,50863,100.0,0,0.0
14,CreatedById,50863,50863,100.0,0,0.0
15,CreatedDate,50863,50863,100.0,0,0.0
16,Name,50863,50863,100.0,0,0.0
17,SVMXC__SM_Checklist_Group_Id__c,50691,50863,99.7,172,0.3
18,SVMXC__Completed_By__c,50714,50863,99.7,149,0.3
19,SVMXC__Completed_On__c,50714,50863,99.7,149,0.3
20,SVMXC__SM_Sequence__c,50691,50863,99.7,172,0.3
21,SVMXC__Account__c,43024,50863,84.6,7839,15.4
22,SVMXC__Installed_Product__c,42816,50863,84.2,8047,15.8
23,SVMXC__Location__c,42815,50863,84.2,8048,15.8
24,SVMXC__Work_Order__c,30502,50863,60.0,20361,40.0
25,SVMXC__SM_Product__c,0,50863,0.0,50863,100.0
26,SVMXC__SM_Work_Detail__c,0,50863,0.0,50863,100.0
27,SVMXC__SM_Parts_Order__c,0,50863,0.0,50863,100.0
28,ConnectionReceivedId,0,50863,0.0,50863,100.0
29,SVMXC__SM_Checklist_End_Latitude__c,0,50863,0.0,50863,100.0
30,SVMXC__SM_Checklist_End_Longitude__c,0,50863,0.0,50863,100.0
31,SVMXC__SM_Checklist_Start_Latitude__c,0,50863,0.0,50863,100.0
32,SVMXC__SM_Checklist_Start_Longitude__c,0,50863,0.0,50863,100.0
33,SVMXC__SM_Started_By__c,0,50863,0.0,50863,100.0
34,SVMXC__SM_Started_On__c,0,50863,0.0,50863,100.0
35,ConnectionSentId,0,50863,0.0,50863,100.0
36,LastActivityDate,0,50863,0.0,50863,100.0
