Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,7964697,7964697,100.0,0,0.0
2,IsDeleted,7964697,7964697,100.0,0,0.0
3,ParentId,7964697,7964697,100.0,0,0.0
4,CreatedById,7964697,7964697,100.0,0,0.0
5,CreatedDate,7964697,7964697,100.0,0,0.0
6,Field,7964697,7964697,100.0,0,0.0
7,DataType,7964697,7964697,100.0,0,0.0
8,ADLS_LOADED_DATE,7964697,7964697,100.0,0,0.0
9,LAST_UPDATED_DATE,7964697,7964697,100.0,0,0.0
10,OldValue,0,7964697,0.0,7964697,100.0
11,NewValue,0,7964697,0.0,7964697,100.0
