Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,1979423,1979423,100.0,0,0.0
2,SVMXC__PM_Plan__c,1979423,1979423,100.0,0,0.0
3,LAST_UPDATED_DATE,1979423,1979423,100.0,0,0.0
4,ADLS_LOADED_DATE,1979423,1979423,100.0,0,0.0
5,FSA_Downloadable__c,1979423,1979423,100.0,0,0.0
6,ESMX_Product_Code__c,1979342,1979423,100.0,81,0.0
7,ESMX_IP_Status__c,1979346,1979423,100.0,77,0.0
8,IsDeleted,1979423,1979423,100.0,0,0.0
9,SVMXC__Select__c,1979423,1979423,100.0,0,0.0
10,SVMXC__Product_Name__c,1979346,1979423,100.0,77,0.0
11,ESMX_IP_ServiceMax_ID__c,1979346,1979423,100.0,77,0.0
12,SystemModstamp,1979423,1979423,100.0,0,0.0
13,LastModifiedById,1979423,1979423,100.0,0,0.0
14,LastModifiedDate,1979423,1979423,100.0,0,0.0
15,CreatedById,1979423,1979423,100.0,0,0.0
16,CreatedDate,1979423,1979423,100.0,0,0.0
17,Name,1979423,1979423,100.0,0,0.0
18,ESMX_End_Date__c,1978382,1979423,99.9,1041,0.1
19,ESMX_Start_Date__c,1978403,1979423,99.9,1020,0.1
20,ESMX_Product_Modality__c,1972523,1979423,99.7,6900,0.3
21,ESMX_PM_Status__c,1963722,1979423,99.2,15701,0.8
22,ESMX_Serial_Number__c,1958307,1979423,98.9,21116,1.1
23,SVMXC__Location_Name__c,1929604,1979423,97.5,49819,2.5
24,ESMX_Account__c,1930559,1979423,97.5,48864,2.5
25,ESMX_Functional_Location_Description__c,1891632,1979423,95.6,87791,4.4
26,ESMX_Functional_Location__c,1883547,1979423,95.2,95876,4.8
27,ESMX_End_of_life__c,1553922,1979423,78.5,425501,21.5
28,ESMX_Detach_IP__c,1256599,1979423,63.5,722824,36.5
29,ESMX_Primary_FSE_Preferred_Technician__c,725378,1979423,36.6,1254045,63.4
30,ESMX_IP_Software_Version__c,423249,1979423,21.4,1556174,78.6
31,ESMX_Contact__c,181440,1979423,9.2,1797983,90.8
32,SVMXC__SM_Advanced_Expression__c,0,1979423,0.0,1979423,100.0
33,ESMX_PM_Description__c,0,1979423,0.0,1979423,100.0
34,LastActivityDate,2,1979423,0.0,1979421,100.0
35,ConnectionReceivedId,0,1979423,0.0,1979423,100.0
36,SVMXC__PM_Limit__c,0,1979423,0.0,1979423,100.0
37,SVMXC__PM_Frequency__c,0,1979423,0.0,1979423,100.0
38,SVMXC__SM_Status__c,0,1979423,0.0,1979423,100.0
39,SVMXC__PM_Cycle_Type__c,0,1979423,0.0,1979423,100.0
40,SVMXC__Next_PM_Cycle__c,0,1979423,0.0,1979423,100.0
41,ConnectionSentId,0,1979423,0.0,1979423,100.0
