Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,3421389,3421389,100.0,0,0.0
2,ADLS_LOADED_DATE,3421389,3421389,100.0,0,0.0
3,ESMX_Labor_Hours__c,3421389,3421389,100.0,0,0.0
4,ESMX_Location_Address__c,3421389,3421389,100.0,0,0.0
5,ESMX_ReadyforReschedled_Reschedled__c,3421389,3421389,100.0,0,0.0
6,SVMXC__PM_Schedule_Definition__c,3420491,3421389,100.0,898,0.0
7,ESMX_Norm_Hours__c,3421389,3421389,100.0,0,0.0
8,ESMX_Product_Code__c,3421310,3421389,100.0,79,0.0
9,SVMXC__Installed_Product__c,3421313,3421389,100.0,76,0.0
10,IsDeleted,3421389,3421389,100.0,0,0.0
11,SVMXC__PM_Plan__c,3421389,3421389,100.0,0,0.0
12,LAST_UPDATED_DATE,3421389,3421389,100.0,0,0.0
13,ESMX_Product_Description__c,3421310,3421389,100.0,79,0.0
14,SystemModstamp,3421389,3421389,100.0,0,0.0
15,LastModifiedById,3421389,3421389,100.0,0,0.0
16,LastModifiedDate,3421389,3421389,100.0,0,0.0
17,CreatedById,3421389,3421389,100.0,0,0.0
18,CreatedDate,3421389,3421389,100.0,0,0.0
19,Name,3421389,3421389,100.0,0,0.0
20,Esmx_PM_Service_Activity__c,3419253,3421389,99.9,2136,0.1
21,ESMX_Due_Date__c,3419540,3421389,99.9,1849,0.1
22,ESMX_PM_Plan_Status__c,3409924,3421389,99.7,11465,0.3
23,ESMX_Serial_Number__c,3395623,3421389,99.2,25766,0.8
24,ESMX_Skills__c,3365847,3421389,98.4,55542,1.6
25,SVMXC__PM_Coverage__c,3286339,3421389,96.1,135050,3.9
26,ESMX_Functional_Location__c,3168386,3421389,92.6,253003,7.4
27,SVMXC__SM_PM_Schedule__c,2750742,3421389,80.4,670647,19.6
28,ESMX_Due_Date_Text__c,2750729,3421389,80.4,670660,19.6
29,ESMX_PMSchedule_Due_Date__c,2750729,3421389,80.4,670660,19.6
30,ESMX_Schedule_Date__c,2750729,3421389,80.4,670660,19.6
31,SVMXC__Location__c,2361736,3421389,69.0,1059653,31.0
32,ESMX_Business_Group__c,2131728,3421389,62.3,1289661,37.7
33,SVMXC__SM_PM_Batch_ID__c,1288743,3421389,37.7,2132646,62.3
34,SVMXC__Work_Order_Created_on__c,1289598,3421389,37.7,2131791,62.3
35,SVMXC__Work_Order__c,1241427,3421389,36.3,2179962,63.7
36,SVMXC__SM_Actual_Scheduled_On_Date__c,644726,3421389,18.8,2776663,81.2
37,ESMX_Location_Based_Case_Line__c,604844,3421389,17.7,2816545,82.3
38,ESMX_Case__c,604905,3421389,17.7,2816484,82.3
39,ESMX_Case_Line__c,604850,3421389,17.7,2816539,82.3
40,ESMX_Service_Status__c,29332,3421389,0.9,3392057,99.1
41,ESMX_Location_Based__c,5,3421389,0.0,3421384,100.0
42,ESMX_Follow_Up_Work_Order__c,1,3421389,0.0,3421388,100.0
43,ESMX_Follow_Up_Case__c,0,3421389,0.0,3421389,100.0
44,SVMXC__Work_Order_Closed_on__c,2,3421389,0.0,3421387,100.0
45,ConnectionSentId,0,3421389,0.0,3421389,100.0
46,ConnectionReceivedId,0,3421389,0.0,3421389,100.0
47,LastActivityDate,3,3421389,0.0,3421386,100.0
48,SVMXC__SM_PM_Engine_Notes__c,0,3421389,0.0,3421389,100.0
