Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,1883020,1883020,100.0,0,0.0
2,ESMX_Confirmation_Text__c,1883020,1883020,100.0,0,0.0
3,LAST_UPDATED_DATE,1883020,1883020,100.0,0,0.0
4,ADLS_LOADED_DATE,1883020,1883020,100.0,0,0.0
5,ESMX_Additional_Visit_Manually_Created__c,1883020,1883020,100.0,0,0.0
6,FSA_Downloadable__c,1883020,1883020,100.0,0,0.0
7,ESMX_Confirmation_Text_Turkish__c,1883020,1883020,100.0,0,0.0
8,ESMX_Confirmation_Text_Arabic__c,1883020,1883020,100.0,0,0.0
9,ESMX_Confirmation_Text_Polish__c,1883020,1883020,100.0,0,0.0
10,IsDeleted,1883020,1883020,100.0,0,0.0
11,ESMX_Confirmation_Text_Czech__c,1883020,1883020,100.0,0,0.0
12,ESMX_Confirmation_Text_Spanish__c,1883020,1883020,100.0,0,0.0
13,ESMX_Due_Date__c,1882894,1883020,100.0,126,0.0
14,ESMX_Confirmed__c,1883020,1883020,100.0,0,0.0
15,ESMX_Confirmation_Text_Hungarian__c,1883020,1883020,100.0,0,0.0
16,SVMXC__Scheduled_On__c,1882876,1883020,100.0,144,0.0
17,SVMXC__PM_Schedule_Definition__c,1882675,1883020,100.0,345,0.0
18,SVMXC__PM_Plan__c,1883020,1883020,100.0,0,0.0
19,Name,1883020,1883020,100.0,0,0.0
20,CreatedDate,1883020,1883020,100.0,0,0.0
21,CreatedById,1883020,1883020,100.0,0,0.0
22,SystemModstamp,1883020,1883020,100.0,0,0.0
23,LastModifiedById,1883020,1883020,100.0,0,0.0
24,LastModifiedDate,1883020,1883020,100.0,0,0.0
25,ESMX_Service_Activity__c,1881025,1883020,99.9,1995,0.1
26,ESMX_Scheduled_Day_of_Week__c,1874776,1883020,99.6,8244,0.4
27,SVMXC__Last_Run_Date__c,1833119,1883020,97.3,49901,2.7
28,ESMX_Initial_Due_Date__c,1568602,1883020,83.3,314418,16.7
29,ESMX_Earliest_Proposed_Date__c,1365919,1883020,72.5,517101,27.5
30,ESMX_Latest_Proposed_Date__c,1365919,1883020,72.5,517101,27.5
31,SVMXC__SM_Work_Order_Generation_Status__c,643149,1883020,34.2,1239871,65.8
32,ESMX_Change_Reason__c,76986,1883020,4.1,1806034,95.9
33,SVMXC__SM_Status__c,1359,1883020,0.1,1881661,99.9
34,SVMXC__SM_Expression_Actual_Output_Value__c,0,1883020,0.0,1883020,100.0
35,SVMXC__SM_Expression_Display_Value__c,0,1883020,0.0,1883020,100.0
36,SVMXC__SM_Expression_Internal_Value__c,0,1883020,0.0,1883020,100.0
37,SVMXC__SM_PM_Coverage__c,0,1883020,0.0,1883020,100.0
38,SVMXC__SM_Sequence__c,0,1883020,0.0,1883020,100.0
39,SVMXC__SM_Work_Order_Purpose__c,0,1883020,0.0,1883020,100.0
40,PM_Visit_Description__c,472,1883020,0.0,1882548,100.0
41,LastActivityDate,2,1883020,0.0,1883018,100.0
42,ConnectionReceivedId,0,1883020,0.0,1883020,100.0
43,ConnectionSentId,0,1883020,0.0,1883020,100.0
44,SVMXC__SM_Sort_Order__c,0,1883020,0.0,1883020,100.0
45,SVMXC__SM_Advanced_Expression__c,0,1883020,0.0,1883020,100.0
