Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,1809854,1809854,100.0,0,0.0
2,ESMX_Market_Limit_vs_Total_Gross_Price__c,1809854,1809854,100.0,0,0.0
3,ESMX_Credit_Manager__c,1809854,1809854,100.0,0,0.0
4,ESMX_BackUp_Queue_Processed__c,1809854,1809854,100.0,0,0.0
5,Total_Valid_Line_Count_Price__c,1809854,1809854,100.0,0,0.0
6,ESMX_Total_Valid_Line_Count__c,1809854,1809854,100.0,0,0.0
7,ESMX_Total_VAT_2__c,1809854,1809854,100.0,0,0.0
8,ESMX_Total_VAT_1__c,1809854,1809854,100.0,0,0.0
9,ESMX_Total_Price__c,1809854,1809854,100.0,0,0.0
10,ESMX_Total_Net_Price__c,1809854,1809854,100.0,0,0.0
11,ESMX_Total_Discount__c,1809854,1809854,100.0,0,0.0
12,OwnerId,1809854,1809854,100.0,0,0.0
13,ESMX_Total_discount_percentage__c,1809854,1809854,100.0,0,0.0
14,ESMX_Total_VAT_2_Rate__c,1809854,1809854,100.0,0,0.0
15,ESMX_Total_VAT_1_Rate__c,1809854,1809854,100.0,0,0.0
16,ESMX_Service_Quote_Attachment_url__c,1809854,1809854,100.0,0,0.0
17,ESMX_Resend_Debit_Memo_To_SAP__c,1809854,1809854,100.0,0,0.0
18,ESMX_Related_to_Sold_to_Account__c,1809854,1809854,100.0,0,0.0
19,ESMX_Prepayment_Rate__c,1809483,1809854,100.0,371,0.0
20,ESMX_IsQuoteEditable__c,1809854,1809854,100.0,0,0.0
21,ESMX_Hide_Quote_title__c,1809854,1809854,100.0,0,0.0
22,ESMX_IsQuoteApprover__c,1809854,1809854,100.0,0,0.0
23,ESMX_Total_Gross_Price__c,1809854,1809854,100.0,0,0.0
24,ESMX_Prepayment_Received__c,1809854,1809854,100.0,0,0.0
25,ESMX_Exclude_Tax_in_CFD__c,1809854,1809854,100.0,0,0.0
26,LAST_UPDATED_DATE,1809854,1809854,100.0,0,0.0
27,ADLS_LOADED_DATE,1809854,1809854,100.0,0,0.0
28,ESMX_Total_Tax_6__c,1809854,1809854,100.0,0,0.0
29,ESMX_Total_Tax_5__c,1809854,1809854,100.0,0,0.0
30,ESMX_Total_Tax_4__c,1809854,1809854,100.0,0,0.0
31,ESMX_Total_Tax_3__c,1809854,1809854,100.0,0,0.0
32,ESMX_Total_Alternate_Tax__c,1809854,1809854,100.0,0,0.0
33,ESMX_Total_Tax_6_Rate__c,1809854,1809854,100.0,0,0.0
34,ESMX_Total_Tax_5_Rate__c,1809854,1809854,100.0,0,0.0
35,ESMX_Total_Tax_4_Rate__c,1809854,1809854,100.0,0,0.0
36,ESMX_Total_Tax_3_Rate__c,1809854,1809854,100.0,0,0.0
37,ESMX_is_Credited__c,1809854,1809854,100.0,0,0.0
38,ESMX_Is_Quote_Admin__c,1809854,1809854,100.0,0,0.0
39,ESMX_Change_IP_Check__c,1809854,1809854,100.0,0,0.0
40,ESMX_Total_Covered_By_Contracts__c,1809854,1809854,100.0,0,0.0
41,ESMX_Total_Agreement_Discounts__c,1809854,1809854,100.0,0,0.0
42,ESMX_New_Total_Discounts__c,1809854,1809854,100.0,0,0.0
43,ESMX_Locally_Approved__c,1809854,1809854,100.0,0,0.0
44,ESMX_Globally_Approved__c,1809854,1809854,100.0,0,0.0
45,ESMX_Hide_Parts__c,1809854,1809854,100.0,0,0.0
46,ESMX_isCanceled__c,1809854,1809854,100.0,0,0.0
47,ESMX_Owner_Name__c,1809854,1809854,100.0,0,0.0
48,SVMXC__Company__c,1809525,1809854,100.0,329,0.0
49,Quote_Amount__c,1809854,1809854,100.0,0,0.0
50,Total_Line_Price__c,1809854,1809854,100.0,0,0.0
51,Currency__c,1809693,1809854,100.0,161,0.0
52,ESMX_Block_Invoice__c,1809854,1809854,100.0,0,0.0
53,IsDeleted,1809854,1809854,100.0,0,0.0
54,Name,1809854,1809854,100.0,0,0.0
55,ESMX_Safety_Questions_Submitted__c,1809854,1809854,100.0,0,0.0
56,RecordTypeId,1809854,1809854,100.0,0,0.0
57,ESMX_Special_Terms_Conditions_Added__c,1809854,1809854,100.0,0,0.0
58,CreatedDate,1809854,1809854,100.0,0,0.0
59,ESMX_Quote_Created_from_Case__c,1809854,1809854,100.0,0,0.0
60,ESMX_Owner_Email__c,1809854,1809854,100.0,0,0.0
61,CreatedById,1809854,1809854,100.0,0,0.0
62,LastModifiedDate,1809854,1809854,100.0,0,0.0
63,SVMXC__Status__c,1809854,1809854,100.0,0,0.0
64,LastModifiedById,1809854,1809854,100.0,0,0.0
65,SystemModstamp,1809854,1809854,100.0,0,0.0
66,ESMX_Valid_Until_Date_for_Amend_Quote__c,1809854,1809854,100.0,0,0.0
67,SVMXC__EndpointURL__c,1809854,1809854,100.0,0,0.0
68,ESMX_Customer_Language__c,1809469,1809854,100.0,385,0.0
69,SVMXC__Valid_Until__c,1808586,1809854,99.9,1268,0.1
70,ESMX_Customer_PO__c,1808294,1809854,99.9,1560,0.1
71,ESMX_Proof_of_Acceptance__c,1808294,1809854,99.9,1560,0.1
72,ESMX_Prepayment_Amount__c,1808737,1809854,99.9,1117,0.1
73,SVMXC__Contact__c,1807580,1809854,99.9,2274,0.1
74,ESMX_Event_Type__c,1804906,1809854,99.7,4948,0.3
75,ESMX_Decisions_Integration_Status__c,1805315,1809854,99.7,4539,0.3
76,ESMX_Special_Terms_Conditions__c,1798666,1809854,99.4,11188,0.6
77,ESMX_SAP_Invoice_Currency__c,1794561,1809854,99.2,15293,0.8
78,ESMX_Days_Until_Expiration__c,1795510,1809854,99.2,14344,0.8
79,ESMX_Quote_Type__c,1793153,1809854,99.1,16701,0.9
80,ESMX_Bill_To_Account__c,1793267,1809854,99.1,16587,0.9
81,ESMX_ResendToSAPCount_DebitMemo__c,1791071,1809854,99.0,18783,1.0
82,ESMX_AccountCountry2__c,1791430,1809854,99.0,18424,1.0
83,ESMX_Quote_title__c,1788979,1809854,98.8,20875,1.2
84,ESMX_Payor__c,1783042,1809854,98.5,26812,1.5
85,ESMX_Sales_Org__c,1728043,1809854,95.5,81811,4.5
86,ESMX_Term_and_Condition__c,1726654,1809854,95.4,83200,4.6
87,ESMX_Business_Group__c,1714413,1809854,94.7,95441,5.3
88,ESMX_Ship_To_Account__c,1712569,1809854,94.6,97285,5.4
89,ESMX_Original_Quote_Created_Date__c,1711277,1809854,94.6,98577,5.4
90,ESMX_Credit_Limit__c,1704908,1809854,94.2,104946,5.8
91,ESMX_Credit_Exposure__c,1704908,1809854,94.2,104946,5.8
92,ESMX_Potential_Credit_Limit_Exposure__c,1704908,1809854,94.2,104946,5.8
93,ESMX_Quote_Line_Count__c,1684273,1809854,93.1,125581,6.9
94,ESMX_PartsOrderCreatedForDX__c,1684273,1809854,93.1,125581,6.9
95,ESMX_SAP_Invoice_date__c,1660098,1809854,91.7,149756,8.3
96,ESMX_SAP_Account_number_Acc__c,1608897,1809854,88.9,200957,11.1
97,ESMX_Sales_Deal_Applicable__c,1609794,1809854,88.9,200060,11.1
98,ESMX_SAP_Account_number_BillTo__c,1608929,1809854,88.9,200925,11.1
99,ESMX_SAP_Account_number_Payor__c,1608922,1809854,88.9,200932,11.1
100,ESMX_SAP_Account_number_ShipTo__c,1608745,1809854,88.9,201109,11.1
101,ESMX_Quote_Released_By__c,1601666,1809854,88.5,208188,11.5
102,ESMX_Territory__c,1539864,1809854,85.1,269990,14.9
103,ESMX_Work_Center__c,1493695,1809854,82.5,316159,17.5
104,ESMX_Customer_Purchase_Order_Number__c,1453953,1809854,80.3,355901,19.7
105,ESMX_Case__c,1366866,1809854,75.5,442988,24.5
106,ESMX_Case_Status__c,1366866,1809854,75.5,442988,24.5
107,ESMX_FSA_CaseNumber__c,1366866,1809854,75.5,442988,24.5
108,ESMX_Quote_End_text__c,1365119,1809854,75.4,444735,24.6
109,ESMX_SAP_Debit_Memo_Number__c,1362512,1809854,75.3,447342,24.7
110,ESMX_Debit_Memo_Integration_Status__c,1353562,1809854,74.8,456292,25.2
111,ESMX_FSA_Product__c,1253300,1809854,69.2,556554,30.8
112,ESMX_FSA_Serial_Number__c,1236265,1809854,68.3,573589,31.7
113,ESMX_Quote_Market_Limit__c,1176646,1809854,65.0,633208,35.0
114,ESMX_Agreement_Template_ID__c,1172612,1809854,64.8,637242,35.2
115,ESMX_Vat_Date__c,1088120,1809854,60.1,721734,39.9
116,ESMX_FollowUp_Action__c,1077544,1809854,59.5,732310,40.5
117,ESMX_Approved_Total_Gross_Price__c,895173,1809854,49.5,914681,50.5
118,ESMX_Invoicing_Status__c,827323,1809854,45.7,982531,54.3
119,ESMX_Invoicing_Number__c,809527,1809854,44.7,1000327,55.3
120,ESMX_Material_Pricing_Group__c,553578,1809854,30.6,1256276,69.4
121,ESMX_Is_Quote_template__c,516067,1809854,28.5,1293787,71.5
122,ESMX_Tech_Id__c,487536,1809854,26.9,1322318,73.1
123,ESMX_Quote_Intro_text__c,427450,1809854,23.6,1382404,76.4
124,ESMX_Block_Invoice_Reason__c,388808,1809854,21.5,1421046,78.5
125,LastActivityDate,348009,1809854,19.2,1461845,80.8
126,ESMX_Owner_Mobile__c,339102,1809854,18.7,1470752,81.3
127,SVMXC__Revised_From__c,309474,1809854,17.1,1500380,82.9
128,ESMX_Room_Dept__c,251898,1809854,13.9,1557956,86.1
129,ESMX_Sales_Deal_Payor__c,222439,1809854,12.3,1587415,87.7
130,ESMX_Sales_Deal_BillTo__c,216692,1809854,12.0,1593162,88.0
131,ESMX_Sales_Deal_Acc__c,186931,1809854,10.3,1622923,89.7
132,ESMX_Additional_Header_Text_Information__c,178094,1809854,9.8,1631760,90.2
133,ESMX_Sales_Deal_ShipTo__c,176043,1809854,9.7,1633811,90.3
134,ESMX_Owner_Phone__c,161655,1809854,8.9,1648199,91.1
135,ESMX_Customer_Product_Preference__c,132696,1809854,7.3,1677158,92.7
136,ESMX_Quote_Template__c,69816,1809854,3.9,1740038,96.1
137,ESMX_Quote_Template_Name__c,70122,1809854,3.9,1739732,96.1
138,ESMX_Integration_Message__c,63490,1809854,3.5,1746364,96.5
139,ESMX_Credit_Memo_Request_Number__c,38472,1809854,2.1,1771382,97.9
140,ESMX_Reason_for_Rejection__c,23484,1809854,1.3,1786370,98.7
141,Header__c,19143,1809854,1.1,1790711,98.9
142,Footer__c,19143,1809854,1.1,1790711,98.9
143,ESMX_SAP_Prepayment_Received__c,20013,1809854,1.1,1789841,98.9
144,ESMX_Approver__c,14062,1809854,0.8,1795792,99.2
145,ESMX_Sales_Deal_Contract__c,12593,1809854,0.7,1797261,99.3
146,ESMX_Move_To_Backup_TimeStamp__c,13376,1809854,0.7,1796478,99.3
147,ESMX_Contract_Number__c,12593,1809854,0.7,1797261,99.3
148,ESMX_Prepayment_Document_Reference__c,12407,1809854,0.7,1797447,99.3
149,SVMXC__SESSION_ID__c,13076,1809854,0.7,1796778,99.3
150,ESMX_Approval_Submitted_TimeStamp__c,13376,1809854,0.7,1796478,99.3
151,ESMX_Approved_Total_Price__c,12384,1809854,0.7,1797470,99.3
152,ESMX_Approver_Name_CFD__c,10511,1809854,0.6,1799343,99.4
153,ESMX_Decisions_PST_Integration_status__c,11381,1809854,0.6,1798473,99.4
154,ESMX_Approval_Status__c,11709,1809854,0.6,1798145,99.4
155,ESMX_Prepayment_Discount__c,9461,1809854,0.5,1800393,99.5
156,ESMX_Queue_Id__c,9827,1809854,0.5,1800027,99.5
157,ESMX_Prepayment_Type__c,9470,1809854,0.5,1800384,99.5
158,ESMX_Prepayment_Required__c,9816,1809854,0.5,1800038,99.5
159,SVMXC__Discount__c,6589,1809854,0.4,1803265,99.6
160,SVMXC__Discount_Type__c,6588,1809854,0.4,1803266,99.6
161,ESMX_DMR_Closure_Integration_message__c,5874,1809854,0.3,1803980,99.7
162,ESMX_Approver_Role__c,4527,1809854,0.3,1805327,99.7
163,ESMX_Customer_Tax_Classification_1__c,3266,1809854,0.2,1806588,99.8
164,ESMX_Approver_Name__c,2538,1809854,0.1,1807316,99.9
165,ESMX_Customer_comments__c,0,1809854,0.0,1809854,100.0
166,ESMX_Decisions_Resent_Count__c,9,1809854,0.0,1809845,100.0
167,ESMX_One_to_Many_Products__c,418,1809854,0.0,1809436,100.0
168,ESMX_Bill_To_Contact__c,0,1809854,0.0,1809854,100.0
169,ESMX_PST_Integration_Status__c,0,1809854,0.0,1809854,100.0
170,ESMX_Labor_Activity_Type__c,0,1809854,0.0,1809854,100.0
171,Invoice_Currency__c,0,1809854,0.0,1809854,100.0
172,ESMX_Debit_Memo_Request_Number__c,559,1809854,0.0,1809295,100.0
173,ESMX_Customer_Tax_Classification_2__c,3,1809854,0.0,1809851,100.0
174,ESMX_Approver_Phone__c,36,1809854,0.0,1809818,100.0
175,ConnectionSentId,0,1809854,0.0,1809854,100.0
176,ESMX_External_Approver_Email__c,0,1809854,0.0,1809854,100.0
177,SVMXC__Service_Order__c,155,1809854,0.0,1809699,100.0
178,LastViewedDate,90,1809854,0.0,1809764,100.0
179,LastReferencedDate,90,1809854,0.0,1809764,100.0
180,ConnectionReceivedId,0,1809854,0.0,1809854,100.0
181,SVMXC__Quote_Amount2__c,57,1809854,0.0,1809797,100.0
182,ESMX_Sold_to_Location__c,0,1809854,0.0,1809854,100.0
183,ESMX_Total_Agreement_Discount__c,0,1809854,0.0,1809854,100.0
184,SVMXC__Total_Line_Price2__c,57,1809854,0.0,1809797,100.0
