Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,39716,39716,100.0,0,0.0
2,SVMXC__Service_Group__c,39716,39716,100.0,0,0.0
3,SVMXC__Third_Party__c,39716,39716,100.0,0,0.0
4,ESMX_My_Technician__c,39716,39716,100.0,0,0.0
5,ESMX_My_Tool__c,39716,39716,100.0,0,0.0
6,ESMX_Type__c,39713,39716,100.0,3,0.0
7,IsDeleted,39716,39716,100.0,0,0.0
8,SVMXC__Enable_Scheduling__c,39716,39716,100.0,0,0.0
9,SVMXC__Break_Type__c,39716,39716,100.0,0,0.0
10,ESMX_Same_as_Work_Address__c,39716,39716,100.0,0,0.0
11,ESMX_Skill_Responsibility__c,39716,39716,100.0,0,0.0
12,ESMX_Shared_Tool__c,39716,39716,100.0,0,0.0
13,SVMXC__Role__c,39712,39716,100.0,4,0.0
14,SVMXC__Active__c,39716,39716,100.0,0,0.0
15,ESMX_Calibration_Date_CSR__c,39716,39716,100.0,0,0.0
16,ESMX_Full_time_Reporting_Required__c,39716,39716,100.0,0,0.0
17,ESMX_Do_not_send_to_PA__c,39716,39716,100.0,0,0.0
18,Name,39716,39716,100.0,0,0.0
19,RecordTypeId,39715,39716,100.0,1,0.0
20,CreatedDate,39716,39716,100.0,0,0.0
21,CreatedById,39716,39716,100.0,0,0.0
22,LastModifiedDate,39716,39716,100.0,0,0.0
23,LastModifiedById,39716,39716,100.0,0,0.0
24,SVMXC__Select__c,39716,39716,100.0,0,0.0
25,SystemModstamp,39716,39716,100.0,0,0.0
26,LAST_UPDATED_DATE,39716,39716,100.0,0,0.0
27,ADLS_LOADED_DATE,39716,39716,100.0,0,0.0
28,ESMX_Escalation_Notification_Preference__c,39716,39716,100.0,0,0.0
29,ESMX_Check_Open_WOs__c,39508,39716,99.5,208,0.5
30,Technician_Manager__c,30637,39716,77.1,9079,22.9
31,Device_Description__c,26596,39716,67.0,13120,33.0
32,Serial_Asset_Number__c,26585,39716,66.9,13131,33.1
33,Model_Number__c,26577,39716,66.9,13139,33.1
34,Calibration_Due_Date__c,26087,39716,65.7,13629,34.3
35,ESMX_Tool_Code__c,26059,39716,65.6,13657,34.4
36,ESMX_Tool_Owner__c,22235,39716,56.0,17481,44.0
37,SVMXC__Country__c,20371,39716,51.3,19345,48.7
38,SVMXC__Email__c,20318,39716,51.2,19398,48.8
39,ESMX_LMS_ID__c,13054,39716,32.9,26662,67.1
40,SVMXC__Street__c,13072,39716,32.9,26644,67.1
41,SVMXC__Working_Hours__c,13055,39716,32.9,26661,67.1
42,ESMX_Business_Group__c,13015,39716,32.8,26701,67.2
43,ESMX_Mobile_Phone__c,13007,39716,32.8,26709,67.2
44,ESMX_User_ID__c,12894,39716,32.5,26822,67.5
45,ESMX_Union__c,12852,39716,32.4,26864,67.6
46,SVMXC__Salesforce_User__c,12884,39716,32.4,26832,67.6
47,ESMX_SAP_Work_Center__c,12879,39716,32.4,26837,67.6
48,ESMX_Service_Manager__c,12683,39716,31.9,27033,68.1
49,SVMXC__Longitude_Home__c,12674,39716,31.9,27042,68.1
50,SVMXC__Latitude_Home__c,12674,39716,31.9,27042,68.1
51,ESMX_Home_Address__Latitude__s,12566,39716,31.6,27150,68.4
52,ESMX_Global_Employee_ID__c,12534,39716,31.6,27182,68.4
53,ESMX_Home_Address__Longitude__s,12566,39716,31.6,27150,68.4
54,ESMX_Payroll_Employee_ID__c,12437,39716,31.3,27279,68.7
55,ESMX_Support_Tier__c,12397,39716,31.2,27319,68.8
56,ESMX_User_Code_1__c,12402,39716,31.2,27314,68.8
57,SVMXC__Zip__c,12342,39716,31.1,27374,68.9
58,ESMX_Support_Level__c,12073,39716,30.4,27643,69.6
59,ESMX_Business_Region__c,12016,39716,30.3,27700,69.7
60,SVMXC__City__c,11864,39716,29.9,27852,70.1
61,ESMX_Business_Unit__c,11515,39716,29.0,28201,71.0
62,SVMXC__State__c,9695,39716,24.4,30021,75.6
63,ESMX_Self_Dispatch_Event_Types__c,9284,39716,23.4,30432,76.6
64,ESMX_Create_Self_Dispatch_Appointments__c,9284,39716,23.4,30432,76.6
65,ESMX_Edit_Appointments__c,9284,39716,23.4,30432,76.6
66,LastActivityDate,8384,39716,21.1,31332,78.9
67,ESMX_Friday_Hours__c,8005,39716,20.2,31711,79.8
68,ESMX_Thursday_Hours__c,8005,39716,20.2,31711,79.8
69,ESMX_Monday_Hours__c,8004,39716,20.2,31712,79.8
70,ESMX_Tuesday_Hours__c,8005,39716,20.2,31711,79.8
71,ESMX_Wednesday_Hours__c,8005,39716,20.2,31711,79.8
72,ESMX_Sunday_Hours__c,7983,39716,20.1,31733,79.9
73,ESMX_Saturday_Hours__c,7983,39716,20.1,31733,79.9
74,SVMXC__Inventory_Location__c,7854,39716,19.8,31862,80.2
75,ESMX_Transfer_Appointments__c,7589,39716,19.1,32127,80.9
