Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,60302,60302,100.0,0,0.0
2,SVMXC__Service_Group__c,60302,60302,100.0,0,0.0
3,ADLS_LOADED_DATE,60302,60302,100.0,0,0.0
4,Serial_Asset_Number__c,60301,60302,100.0,1,0.0
5,ESMX_Shared_Tool__c,60302,60302,100.0,0,0.0
6,ESMX_Role__c,60302,60302,100.0,0,0.0
7,ESMX_Active__c,60302,60302,100.0,0,0.0
8,IsDeleted,60302,60302,100.0,0,0.0
9,SVMXC__Select__c,60302,60302,100.0,0,0.0
10,SVMXC__Product__c,60295,60302,100.0,7,0.0
11,Calibration_Due_Date__c,60302,60302,100.0,0,0.0
12,LAST_UPDATED_DATE,60302,60302,100.0,0,0.0
13,SystemModstamp,60302,60302,100.0,0,0.0
14,CreatedById,60302,60302,100.0,0,0.0
15,LastModifiedDate,60302,60302,100.0,0,0.0
16,CreatedDate,60302,60302,100.0,0,0.0
17,LastModifiedById,60302,60302,100.0,0,0.0
18,RecordTypeId,60302,60302,100.0,0,0.0
19,Name,60302,60302,100.0,0,0.0
20,Device_Description__c,60041,60302,99.6,261,0.4
21,ESMX_Tool_Code__c,60040,60302,99.6,262,0.4
22,Model_Number__c,59259,60302,98.3,1043,1.7
23,ESMX_UniqueKeyCombination__c,57066,60302,94.6,3236,5.4
24,ESMX_Tool_Owner__c,33706,60302,55.9,26596,44.1
25,SVMXC__Group_Member__c,26776,60302,44.4,33526,55.6
26,ESMX_Vendor__c,0,60302,0.0,60302,100.0
27,ESMX_Technician_Team__c,0,60302,0.0,60302,100.0
28,ESMX_Support_Tier__c,0,60302,0.0,60302,100.0
29,ESMX_Support_Level__c,1,60302,0.0,60301,100.0
30,LastReferencedDate,10,60302,0.0,60292,100.0
31,ESMX_Service_Manager__c,4,60302,0.0,60298,100.0
32,ConnectionReceivedId,0,60302,0.0,60302,100.0
33,ESMX_Business_Unit__c,4,60302,0.0,60298,100.0
34,ESMX_Business_Region__c,5,60302,0.0,60297,100.0
35,ESMX_Business_Group__c,6,60302,0.0,60296,100.0
36,LastActivityDate,0,60302,0.0,60302,100.0
37,SVMXC__Product_Line__c,0,60302,0.0,60302,100.0
38,SVMXC__Product_Family__c,0,60302,0.0,60302,100.0
39,LastViewedDate,10,60302,0.0,60292,100.0
40,ConnectionSentId,0,60302,0.0,60302,100.0
41,ESMX_LMS_ID__c,0,60302,0.0,60302,100.0
