Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,Id,49035,49035,100.0,0,0.0
2,OwnerId,49035,49035,100.0,0,0.0
3,SVMXC__Preferred_Tech_Enabled__c,49035,49035,100.0,0,0.0
4,SVMXC__Product_Match_Enabled__c,49035,49035,100.0,0,0.0
5,SVMXC__Record_Type_Name__c,49035,49035,100.0,0,0.0
6,SVMXC__Resolve_Unexpected_SN_To_IB__c,49035,49035,100.0,0,0.0
7,SVMXC__Retain_Appointment__c,49035,49035,100.0,0,0.0
8,SVMXC__Retain_Assignment__c,49035,49035,100.0,0,0.0
9,SVMXC__Runs_Every_Friday__c,49035,49035,100.0,0,0.0
10,SVMXC__Runs_Every_Monday__c,49035,49035,100.0,0,0.0
11,SVMXC__Runs_Every_Saturday__c,49035,49035,100.0,0,0.0
12,SVMXC__Runs_Every_Sunday__c,49035,49035,100.0,0,0.0
13,SVMXC__Capture_Log__c,49035,49035,100.0,0,0.0
14,SVMXC__Runs_Every_Thursday__c,49035,49035,100.0,0,0.0
15,SVMXC__Runs_Every_Tuesday__c,49035,49035,100.0,0,0.0
16,SVMXC__Calendar_End_Type__c,49035,49035,100.0,0,0.0
17,SVMXC__Runs_Every_Wednesday__c,49035,49035,100.0,0,0.0
18,SVMXC__Schedule_Event__c,49035,49035,100.0,0,0.0
19,SVMXC__Include_Parent__c,49035,49035,100.0,0,0.0
20,SVMXC__Default_On__c,49035,49035,100.0,0,0.0
21,SVMXC__Open_As_Full_Window__c,49035,49035,100.0,0,0.0
22,SVMXC__Setting_Unique_ID__c,49035,49035,100.0,0,0.0
23,SVMXC__Normalized_Total_Distance__c,49035,49035,100.0,0,0.0
24,SVMXC__Include_Product__c,49035,49035,100.0,0,0.0
25,SVMXC__Include_Top_Level__c,49035,49035,100.0,0,0.0
26,SVMXC__IsDefault__c,49035,49035,100.0,0,0.0
27,SVMXC__IsGlobal__c,49035,49035,100.0,0,0.0
28,SVMXC__Expertise_Match_Enabled__c,49035,49035,100.0,0,0.0
29,SVMXC__IsPrivate__c,49035,49035,100.0,0,0.0
30,SVMXC__IsStandalone__c,49035,49035,100.0,0,0.0
31,SVMXC__IsStandard__c,49035,49035,100.0,0,0.0
32,SVMXC__Enable_Sub_Process__c,49035,49035,100.0,0,0.0
33,SVMXC__Enable_Confirmation_Dialog__c,49035,49035,100.0,0,0.0
34,SVMXC__Enable_Attachment__c,49035,49035,100.0,0,0.0
35,SVMXC__Match_Account__c,49035,49035,100.0,0,0.0
36,SVMXC__Match_Contact__c,49035,49035,100.0,0,0.0
37,SVMXC__Match_Location__c,49035,49035,100.0,0,0.0
38,SVMXC__Mode_Of_Execution__c,49032,49035,100.0,3,0.0
39,SVMXC__Normalized_Route_Time__c,49035,49035,100.0,0,0.0
40,SVMXC__Normalized_Time_Window__c,49035,49035,100.0,0,0.0
41,SVMXC__Select__c,49035,49035,100.0,0,0.0
42,SVMXC__Select_Template_At_Runtime__c,49035,49035,100.0,0,0.0
43,SVMXC__Show_Scrollbars__c,49035,49035,100.0,0,0.0
