Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,6209,6209,100.0,0,0.0
2,kondm,6209,6209,100.0,0,0.0
3,knumh,6209,6209,100.0,0,0.0
4,kbstat,6209,6209,100.0,0,0.0
5,datab,6209,6209,100.0,0,0.0
6,datbi,6209,6209,100.0,0,0.0
7,kfrst,6209,6209,100.0,0,0.0
8,extwg,6209,6209,100.0,0,0.0
9,kunnr,6209,6209,100.0,0,0.0
10,mandt,6209,6209,100.0,0,0.0
11,spart,6209,6209,100.0,0,0.0
12,vtweg,6209,6209,100.0,0,0.0
13,vkorg,6209,6209,100.0,0,0.0
14,knuma_ag,6209,6209,100.0,0,0.0
15,kschl,6209,6209,100.0,0,0.0
16,kappl,6209,6209,100.0,0,0.0
17,src_commit_time,6209,6209,100.0,0,0.0
