Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,127598,127598,100.0,0,0.0
2,mandt,127598,127598,100.0,0,0.0
3,kappl,127598,127598,100.0,0,0.0
4,kschl,127598,127598,100.0,0,0.0
5,land1,127598,127598,100.0,0,0.0
6,regio,127598,127598,100.0,0,0.0
7,bukrs,127598,127598,100.0,0,0.0
8,kunnr,127598,127598,100.0,0,0.0
9,idcheck,127598,127598,100.0,0,0.0
10,steuc,127598,127598,100.0,0,0.0
11,kfrst,127598,127598,100.0,0,0.0
12,datbi,127598,127598,100.0,0,0.0
13,datab,127598,127598,100.0,0,0.0
14,kbstat,127598,127598,100.0,0,0.0
15,knumh,127598,127598,100.0,0,0.0
16,src_commit_time,127598,127598,100.0,0,0.0
