Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,12336,12336,100.0,0,0.0
2,client,12336,12336,100.0,0,0.0
3,addrnumber,12336,12336,100.0,0,0.0
4,persnumber,12336,12336,100.0,0,0.0
5,date_from,12336,12336,100.0,0,0.0
6,consnumber,12336,12336,100.0,0,0.0
7,flgdefault,12336,12336,100.0,0,0.0
8,flg_nouse,12336,12336,100.0,0,0.0
9,home_flag,12336,12336,100.0,0,0.0
10,print_dest,12336,12336,100.0,0,0.0
11,dft_receiv,12336,12336,100.0,0,0.0
12,valid_from,12336,12336,100.0,0,0.0
13,valid_to,12336,12336,100.0,0,0.0
14,src_commit_time,12336,12336,100.0,0,0.0
