Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,6218421,6218421,100.0,0,0.0
2,bknt2,6218421,6218421,100.0,0,0.0
3,ch_proc,6218421,6218421,100.0,0,0.0
4,objtype,6218421,6218421,100.0,0,0.0
5,objnr,6218421,6218421,100.0,0,0.0
6,auschl,6218421,6218421,100.0,0,0.0
7,bschl2,6218421,6218421,100.0,0,0.0
8,bschl1,6218421,6218421,100.0,0,0.0
9,losbs,6218421,6218421,100.0,0,0.0
10,losvn,6218421,6218421,100.0,0,0.0
11,txtsp,6218421,6218421,100.0,0,0.0
12,ltxa1,6218421,6218421,100.0,0,0.0
13,bknt1,6218421,6218421,100.0,0,0.0
14,mandt,6218421,6218421,100.0,0,0.0
15,bezfl,6218421,6218421,100.0,0,0.0
16,flgat,6218421,6218421,100.0,0,0.0
17,aennr,6218421,6218421,100.0,0,0.0
18,zaehl,6218421,6218421,100.0,0,0.0
19,plnfl,6218421,6218421,100.0,0,0.0
20,plnal,6218421,6218421,100.0,0,0.0
21,plnnr,6218421,6218421,100.0,0,0.0
22,plnty,6218421,6218421,100.0,0,0.0
23,aplzl,6218421,6218421,100.0,0,0.0
24,aufpl,6218421,6218421,100.0,0,0.0
25,src_commit_time,6218421,6218421,100.0,0,0.0
