Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,85,85,100.0,0,0.0
2,mandt,85,85,100.0,0,0.0
3,ord42,85,85,100.0,0,0.0
4,ord43,85,85,100.0,0,0.0
5,ord44,85,85,100.0,0,0.0
6,izwek,85,85,100.0,0,0.0
7,herst,85,85,100.0,0,0.0
8,meins,85,85,100.0,0,0.0
9,feins,85,85,100.0,0,0.0
10,inken,85,85,100.0,0,0.0
11,fiamt,85,85,100.0,0,0.0
12,stadt,85,85,100.0,0,0.0
13,anltp,85,85,100.0,0,0.0
14,xuntv,85,85,100.0,0,0.0
15,xaktiv,85,85,100.0,0,0.0
16,leafi,85,85,100.0,0,0.0
17,lejar,85,85,100.0,0,0.0
18,leper,85,85,100.0,0,0.0
19,lryth,85,85,100.0,0,0.0
20,lmzin,85,85,100.0,0,0.0
21,leanz,85,85,100.0,0,0.0
22,letxt,85,85,100.0,0,0.0
23,aimmo,85,85,100.0,0,0.0
24,gdlgrp,85,85,100.0,0,0.0
25,xerwrt,85,85,100.0,0,0.0
26,xanlgr,85,85,100.0,0,0.0
27,xinvm,85,85,100.0,0,0.0
28,leart,85,85,100.0,0,0.0
29,abgsl,85,85,100.0,0,0.0
30,ord41,85,85,100.0,0,0.0
31,invsl,85,85,100.0,0,0.0
32,xvrmw,85,85,100.0,0,0.0
33,begru,85,85,100.0,0,0.0
34,anlkl,85,85,100.0,0,0.0
35,ernam,85,85,100.0,0,0.0
36,erdat,85,85,100.0,0,0.0
37,aenam,85,85,100.0,0,0.0
38,aedat,85,85,100.0,0,0.0
39,xloev,85,85,100.0,0,0.0
40,xspea,85,85,100.0,0,0.0
41,xopvw,85,85,100.0,0,0.0
42,numkr,85,85,100.0,0,0.0
43,ktogr,85,85,100.0,0,0.0
44,ankar,85,85,100.0,0,0.0
45,felei,85,85,100.0,0,0.0
46,zuawa,85,85,100.0,0,0.0
47,vmgli,85,85,100.0,0,0.0
48,gsber,85,85,100.0,0,0.0
49,werks,85,85,100.0,0,0.0
50,kostl,85,85,100.0,0,0.0
51,lstar,85,85,100.0,0,0.0
52,aneqk,85,85,100.0,0,0.0
53,aneqs,85,85,100.0,0,0.0
54,mackz,85,85,100.0,0,0.0
55,land1,85,85,100.0,0,0.0
56,lifnr,85,85,100.0,0,0.0
57,liefe,85,85,100.0,0,0.0
58,anlue,85,85,100.0,0,0.0
59,eigkz,85,85,100.0,0,0.0
60,src_commit_time,85,85,100.0,0,0.0
