Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,22080,22080,100.0,0,0.0
2,saprz,22080,22080,100.0,0,0.0
3,maxdp,22080,22080,100.0,0,0.0
4,invsl,22080,22080,100.0,0,0.0
5,afasl,22080,22080,100.0,0,0.0
6,ndjar,22080,22080,100.0,0,0.0
7,ndper,22080,22080,100.0,0,0.0
8,naprz,22080,22080,100.0,0,0.0
9,wbind,22080,22080,100.0,0,0.0
10,mindp,22080,22080,100.0,0,0.0
11,alind,22080,22080,100.0,0,0.0
12,aprop,22080,22080,100.0,0,0.0
13,xunta,22080,22080,100.0,0,0.0
14,xafbe,22080,22080,100.0,0,0.0
15,anlgr,22080,22080,100.0,0,0.0
16,j_1aarvkey,22080,22080,100.0,0,0.0
17,maxdj,22080,22080,100.0,0,0.0
18,mindj,22080,22080,100.0,0,0.0
19,mandt,22080,22080,100.0,0,0.0
20,erdat,22080,22080,100.0,0,0.0
21,anlkl,22080,22080,100.0,0,0.0
22,afapl,22080,22080,100.0,0,0.0
23,afabe,22080,22080,100.0,0,0.0
24,bdatu,22080,22080,100.0,0,0.0
25,adatu,22080,22080,100.0,0,0.0
26,ernam,22080,22080,100.0,0,0.0
27,aenam,22080,22080,100.0,0,0.0
28,xgwgk,22080,22080,100.0,0,0.0
29,aedat,22080,22080,100.0,0,0.0
30,xspeb,22080,22080,100.0,0,0.0
31,xloev,22080,22080,100.0,0,0.0
32,felei,22080,22080,100.0,0,0.0
33,ktogr,22080,22080,100.0,0,0.0
34,xnega,22080,22080,100.0,0,0.0
35,src_commit_time,22080,22080,100.0,0,0.0
