Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,124435,124435,100.0,0,0.0
2,geber2,124435,124435,100.0,0,0.0
3,ipsnr,124435,124435,100.0,0,0.0
4,kfzkz,124435,124435,100.0,0,0.0
5,pernr,124435,124435,100.0,0,0.0
6,kostlv,124435,124435,100.0,0,0.0
7,fistl,124435,124435,100.0,0,0.0
8,geber,124435,124435,100.0,0,0.0
9,fkber,124435,124435,100.0,0,0.0
10,grant_nbr,124435,124435,100.0,0,0.0
11,fkber2,124435,124435,100.0,0,0.0
12,anupd,124435,124435,100.0,0,0.0
13,grant_nbr2,124435,124435,100.0,0,0.0
14,fistl2,124435,124435,100.0,0,0.0
15,imkey,124435,124435,100.0,0,0.0
16,ps_psp_pnr2,124435,124435,100.0,0,0.0
17,budget_pd,124435,124435,100.0,0,0.0
18,budget_pd2,124435,124435,100.0,0,0.0
19,segment,124435,124435,100.0,0,0.0
20,prctr,124435,124435,100.0,0,0.0
21,txjcd,124435,124435,100.0,0,0.0
22,tplnr,124435,124435,100.0,0,0.0
23,mandt,124435,124435,100.0,0,0.0
24,lstar,124435,124435,100.0,0,0.0
25,bukrs,124435,124435,100.0,0,0.0
26,anln1,124435,124435,100.0,0,0.0
27,anln2,124435,124435,100.0,0,0.0
28,bdatu,124435,124435,100.0,0,0.0
29,adatu,124435,124435,100.0,0,0.0
30,kostl,124435,124435,100.0,0,0.0
31,werks,124435,124435,100.0,0,0.0
32,gsber,124435,124435,100.0,0,0.0
33,msfak,124435,124435,100.0,0,0.0
34,tplkz,124435,124435,100.0,0,0.0
35,xstil,124435,124435,100.0,0,0.0
36,stort,124435,124435,100.0,0,0.0
37,caufn,124435,124435,100.0,0,0.0
38,plan1,124435,124435,100.0,0,0.0
39,plan2,124435,124435,100.0,0,0.0
40,raumn,124435,124435,100.0,0,0.0
41,iaufn,124435,124435,100.0,0,0.0
42,iproj,124435,124435,100.0,0,0.0
43,src_commit_time,124435,124435,100.0,0,0.0
