Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,9995725,95221120,100.0,0,0.0
2,mandt,9995725,95221120,100.0,0,0.0
3,ebeln,9995725,95221120,100.0,0,0.0
4,ebelp,9995725,95221120,100.0,0,0.0
5,elikz,9995725,95221120,100.0,0,0.0
6,wempf,9995725,95221120,100.0,0,0.0
7,ablad,9995725,95221120,100.0,0,0.0
8,aufnr,9995725,95221120,100.0,0,0.0
9,rsnum,9995725,95221120,100.0,0,0.0
10,rspos,9995725,95221120,100.0,0,0.0
11,rsart,9995725,95221120,100.0,0,0.0
12,kzear,9995725,95221120,100.0,0,0.0
13,kzbew,9995725,95221120,100.0,0,0.0
14,weunb,9995725,95221120,100.0,0,0.0
15,ps_psp_pnr,9995725,95221120,100.0,0,0.0
16,nplnr,9995725,95221120,100.0,0,0.0
17,aufpl,9995725,95221120,100.0,0,0.0
18,aplzl,9995725,95221120,100.0,0,0.0
19,sakto,9995725,95221120,100.0,0,0.0
20,kokrs,9995725,95221120,100.0,0,0.0
21,wty_ind,9995725,95221120,100.0,0,0.0
22,erfme,9995725,95221120,100.0,0,0.0
23,erfmg,9995725,95221120,100.0,0,0.0
24,meins,9995725,95221120,100.0,0,0.0
25,lgort,9995725,95221120,100.0,0,0.0
26,mblnr,9995725,95221120,100.0,0,0.0
27,mjahr,9995725,95221120,100.0,0,0.0
28,zeile,9995725,95221120,100.0,0,0.0
29,bldat,9995725,95221120,100.0,0,0.0
30,budat,9995725,95221120,100.0,0,0.0
31,bwart,9995725,95221120,100.0,0,0.0
32,matnr,9995725,95221120,100.0,0,0.0
33,werks,9995725,95221120,100.0,0,0.0
34,charg,9995725,95221120,100.0,0,0.0
35,menge,9995725,95221120,100.0,0,0.0
36,sobkz,9995725,95221120,100.0,0,0.0
37,lifnr,9995725,95221120,100.0,0,0.0
38,kdauf,9995725,95221120,100.0,0,0.0
39,kdpos,9995725,95221120,100.0,0,0.0
40,shkzg,9995725,95221120,100.0,0,0.0
41,dmbtr,9995725,95221120,100.0,0,0.0
42,waers,9995725,95221120,100.0,0,0.0
43,bwtar,9995725,95221120,100.0,0,0.0
44,src_commit_time,9995725,95221120,100.0,0,0.0
