Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,10000828,98910790,100.0,0,0.0
2,mandt,10000828,98910790,100.0,0,0.0
3,fkber,10000828,98910790,100.0,0,0.0
4,grant_nbr,10000828,98910790,100.0,0,0.0
5,intreno,10000828,98910790,100.0,0,0.0
6,dabrz,10000828,98910790,100.0,0,0.0
7,imkey,10000828,98910790,100.0,0,0.0
8,bewar,10000828,98910790,100.0,0,0.0
9,ppdif3,10000828,98910790,100.0,0,0.0
10,ppdif2,10000828,98910790,100.0,0,0.0
11,ppdiff,10000828,98910790,100.0,0,0.0
12,bupla,10000828,98910790,100.0,0,0.0
13,xref3,10000828,98910790,100.0,0,0.0
14,ccbtc,10000828,98910790,100.0,0,0.0
15,rfzei,10000828,98910790,100.0,0,0.0
16,xnegp,10000828,98910790,100.0,0,0.0
17,pswbt,10000828,98910790,100.0,0,0.0
18,xarch,10000828,98910790,100.0,0,0.0
19,xstov,10000828,98910790,100.0,0,0.0
20,prctr,10000828,98910790,100.0,0,0.0
21,projk,10000828,98910790,100.0,0,0.0
22,fipos,10000828,98910790,100.0,0,0.0
23,fistl,10000828,98910790,100.0,0,0.0
24,geber,10000828,98910790,100.0,0,0.0
25,pbudget_pd,10000828,98910790,100.0,0,0.0
26,_dataaging,10000828,98910790,100.0,0,0.0
27,ghkon,10000828,98910790,100.0,0,0.0
28,gkart,10000828,98910790,100.0,0,0.0
29,gkont,10000828,98910790,100.0,0,0.0
30,kidno,10000828,98910790,100.0,0,0.0
31,propmano,10000828,98910790,100.0,0,0.0
32,qsskz,10000828,98910790,100.0,0,0.0
33,prodper,10000828,98910790,100.0,0,0.0
34,budget_pd,10000828,98910790,100.0,0,0.0
35,pprct,10000828,98910790,100.0,0,0.0
36,measure,10000828,98910790,100.0,0,0.0
37,pgrant_nbr,10000828,98910790,100.0,0,0.0
38,pgeber,10000828,98910790,100.0,0,0.0
39,psegment,10000828,98910790,100.0,0,0.0
40,segment,10000828,98910790,100.0,0,0.0
41,uzawe,10000828,98910790,100.0,0,0.0
42,auggj,10000828,98910790,100.0,0,0.0
43,buzid,10000828,98910790,100.0,0,0.0
44,xragl,10000828,98910790,100.0,0,0.0
45,rdif3,10000828,98910790,100.0,0,0.0
46,bdif3,10000828,98910790,100.0,0,0.0
47,bldat,10000828,98910790,100.0,0,0.0
48,mwskz,10000828,98910790,100.0,0,0.0
49,gsber,10000828,98910790,100.0,0,0.0
50,shkzg,10000828,98910790,100.0,0,0.0
51,bschl,10000828,98910790,100.0,0,0.0
52,monat,10000828,98910790,100.0,0,0.0
53,blart,10000828,98910790,100.0,0,0.0
54,xblnr,10000828,98910790,100.0,0,0.0
55,waers,10000828,98910790,100.0,0,0.0
56,budat,10000828,98910790,100.0,0,0.0
57,dmbtr,10000828,98910790,100.0,0,0.0
58,buzei,10000828,98910790,100.0,0,0.0
59,belnr,10000828,98910790,100.0,0,0.0
60,gjahr,10000828,98910790,100.0,0,0.0
61,zuonr,10000828,98910790,100.0,0,0.0
62,augbl,10000828,98910790,100.0,0,0.0
63,augdt,10000828,98910790,100.0,0,0.0
64,hkont,10000828,98910790,100.0,0,0.0
65,bukrs,10000828,98910790,100.0,0,0.0
66,fkont,10000828,98910790,100.0,0,0.0
67,wrbtr,10000828,98910790,100.0,0,0.0
68,mwst3,10000828,98910790,100.0,0,0.0
69,bstat,10000828,98910790,100.0,0,0.0
70,mwst2,10000828,98910790,100.0,0,0.0
71,dmbe3,10000828,98910790,100.0,0,0.0
72,dmbe2,10000828,98910790,100.0,0,0.0
73,wverw,10000828,98910790,100.0,0,0.0
74,pswsl,10000828,98910790,100.0,0,0.0
75,vbund,10000828,98910790,100.0,0,0.0
76,bdif2,10000828,98910790,100.0,0,0.0
77,bdiff,10000828,98910790,100.0,0,0.0
78,valut,10000828,98910790,100.0,0,0.0
79,mwsts,10000828,98910790,100.0,0,0.0
80,xopvw,10000828,98910790,100.0,0,0.0
81,zfbdt,10000828,98910790,100.0,0,0.0
82,kostl,10000828,98910790,100.0,0,0.0
83,werks,10000828,98910790,100.0,0,0.0
84,aufnr,10000828,98910790,100.0,0,0.0
85,projn,10000828,98910790,100.0,0,0.0
86,sgtxt,10000828,98910790,100.0,0,0.0
87,wmwst,10000828,98910790,100.0,0,0.0
88,src_commit_time,10000828,98910790,100.0,0,0.0
